設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,25540,11148,79,11390,114,2,2,1,3,38,170,490,267,5,92.83,43.65,0.31,44.6,0.45,0.01,0.01,0.0,0.01,0.15,0.67,1.92,1.05,0.02,12,0,12,0,0,9,8,4,40,1,2,0,5,8,144,1,1,12,19,1.09,0.05,0.0,0.05,0.0,0.0,0.04,0.03,0.02,0.16,0.0,0.01,0.0,0.02,0.03,0.56,0.0,0.0,0.05,0.07,4,82,27,1211,3,8,19,0.02,0.32,0.11,4.74,0.01,0.03,0.07
國立,綜合高中,學術學程,3346,739,27,2126,35,0,0,0,0,0,20,52,53,0,91.21,22.09,0.81,63.54,1.05,0.0,0.0,0.0,0.0,0.0,0.6,1.55,1.58,0.0,1,0,0,1,1,0,13,0,17,1,0,0,3,13,21,0,1,6,5,2.48,0.03,0.0,0.0,0.03,0.03,0.0,0.39,0.0,0.51,0.03,0.0,0.0,0.09,0.39,0.63,0.0,0.03,0.18,0.15,5,27,8,133,0,3,4,0.15,0.81,0.24,3.97,0.0,0.09,0.12
國立,綜合高中,機械群,108,34,0,56,2,0,0,0,0,0,0,1,0,0,86.11,31.48,0.0,51.85,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,12.96,1.85,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,動力機械群,12,0,5,3,0,0,0,0,0,0,0,1,0,0,75.0,0.0,41.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,8.33,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,電機與電子群,139,55,0,66,0,0,0,0,0,0,0,0,0,0,87.05,39.57,0.0,47.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,9.35,0.72,0.0,3.6,0.0,0.0,0.72,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0.72,0.72,0.72,0.72,0.0,0.0,0.72
國立,綜合高中,化工群,43,22,0,21,0,0,0,0,0,0,0,0,0,0,100.0,51.16,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,土木與建築群,81,46,1,27,0,0,0,0,0,0,0,0,1,0,92.59,56.79,1.23,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1.23,0.0,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,商業與管理群,537,149,7,315,10,3,0,0,0,0,0,6,2,0,91.62,27.75,1.3,58.66,1.86,0.56,0.0,0.0,0.0,0.0,0.0,1.12,0.37,0.0,0,0,0,0,0,0,6,1,3,0,0,0,1,7,9,0,0,0,3,5.59,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.19,0.56,0.0,0.0,0.0,0.19,1.3,1.68,0.0,0.0,0.0,0.56,0,5,5,3,0,0,0,0.0,0.93,0.93,0.56,0.0,0.0,0.0
國立,綜合高中,外語群,122,19,0,95,0,0,0,0,0,0,0,0,0,0,93.44,15.57,0.0,77.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0,1,0,2,0,0,0,0.0,0.82,0.0,1.64,0.0,0.0,0.0
國立,綜合高中,設計群,128,3,2,108,4,0,0,0,0,0,0,1,0,0,92.19,2.34,1.56,84.38,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.56,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.78,0.78,0,0,3,1,0,0,0,0.0,0.0,2.34,0.78,0.0,0.0,0.0
