設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,,34986,16622,89,15794,125,0,0,1,1,49,433,421,221,2,96.4900245813,47.5104327445,0.2543874693,45.1437717944,0.3572857715,0.0,0.0,0.0028582862,0.0028582862,0.1400560224,1.2376379123,1.2033384782,0.6316812439,0.0057165723,6,1,10,1,0,5,10,3,51,0,0,0,9,17,122,1,0,5,26,0.7631624078,0.017149717,0.0028582862,0.0285828617,0.0028582862,0.0,0.0142914309,0.0285828617,0.0085748585,0.1457725948,0.0,0.0,0.0,0.0257245755,0.0485908649,0.3487109129,0.0028582862,0.0,0.0142914309,0.0743154405,2,103,13,731,4,10,23,0.0057165723,0.2944034757,0.0371577202,2.0894071914,0.0114331447,0.0285828617,0.0657405819
國立,專業群(職業)科,機械群,4426,1455,338,1740,225,21,2,2,4,0,3,98,0,7,88.0027112517,32.8739267962,7.6366922729,39.3131495707,5.0835969272,0.4744690465,0.0451875282,0.0451875282,0.0903750565,0.0,0.0677812924,2.2141888839,0.0,0.1581563488,14,0,97,0,0,14,13,6,39,2,1,1,26,6,52,0,1,9,18,6.7555354722,0.3163126977,0.0,2.1915951197,0.0,0.0,0.3163126977,0.2937189336,0.1355625847,0.8811568007,0.0451875282,0.0225937641,0.0225937641,0.5874378671,0.1355625847,1.1748757343,0.0,0.0225937641,0.2033438771,0.4066877542,14,106,8,47,2,1,9,0.3163126977,2.3949389968,0.180750113,1.0619069137,0.0451875282,0.0225937641,0.2033438771
國立,專業群(職業)科,動力機械群,1283,249,100,445,109,10,0,1,2,0,0,32,1,0,73.9672642245,19.4076383476,7.7942322681,34.6843335931,8.4957131723,0.7794232268,0.0,0.0779423227,0.1558846454,0.0,0.0,2.4941543258,0.0779423227,0.0,11,0,28,0,0,8,6,13,16,0,0,2,59,6,25,0,1,2,18,15.1987529228,0.8573655495,0.0,2.1823850351,0.0,0.0,0.6235385814,0.4676539361,1.0132501949,1.2470771629,0.0,0.0,0.1558846454,4.5985970382,0.4676539361,1.948558067,0.0,0.0779423227,0.1558846454,1.4029618083,8,91,15,9,1,0,4,0.6235385814,7.092751364,1.1691348402,0.7014809041,0.0779423227,0.0,0.3117692907
國立,專業群(職業)科,電機與電子群,5081,1735,168,2256,162,10,5,3,9,0,11,108,1,3,87.9944892738,34.1468214918,3.306435741,44.4007085219,3.1883487502,0.1968116512,0.0984058256,0.0590434954,0.1771304861,0.0,0.2164928164,2.1255658335,0.0196811651,0.0590434954,9,2,45,13,2,13,20,4,47,7,0,0,41,5,69,0,4,8,22,6.1208423539,0.1771304861,0.0393623302,0.8856524306,0.2558551466,0.0393623302,0.2558551466,0.3936233025,0.0787246605,0.9250147609,0.1377681559,0.0,0.0,0.8069277701,0.0984058256,1.3580003936,0.0,0.0787246605,0.157449321,0.4329856327,15,140,26,62,4,2,25,0.2952174769,2.7553631175,0.5117102932,1.2202322377,0.0787246605,0.0393623302,0.4920291281
國立,專業群(職業)科,化工群,1217,551,32,511,15,3,1,1,3,0,0,26,0,1,94.0016433854,45.2752670501,2.6294165982,41.9884963024,1.2325390304,0.2465078061,0.0821692687,0.0821692687,0.2465078061,0.0,0.0,2.136400986,0.0,0.0821692687,0,0,8,0,0,0,4,2,6,0,0,0,3,2,3,0,0,2,2,2.6294165982,0.0,0.0,0.6573541495,0.0,0.0,0.0,0.3286770748,0.1643385374,0.4930156122,0.0,0.0,0.0,0.2465078061,0.1643385374,0.2465078061,0.0,0.0,0.1643385374,0.1643385374,4,21,2,9,0,0,1,0.3286770748,1.7255546426,0.1643385374,0.7395234182,0.0,0.0,0.0821692687
國立,專業群(職業)科,土木與建築群,1255,346,46,635,23,21,0,4,2,0,2,14,0,0,87.0916334661,27.5697211155,3.6653386454,50.5976095618,1.8326693227,1.6733067729,0.0,0.3187250996,0.1593625498,0.0,0.1593625498,1.1155378486,0.0,0.0,2,0,15,0,0,12,6,1,19,0,0,0,4,0,33,0,0,4,9,8.3665338645,0.1593625498,0.0,1.1952191235,0.0,0.0,0.9561752988,0.4780876494,0.0796812749,1.5139442231,0.0,0.0,0.0,0.3187250996,0.0,2.6294820717,0.0,0.0,0.3187250996,0.7171314741,3,23,3,16,0,0,3,0.2390438247,1.8326693227,0.2390438247,1.2749003984,0.0,0.0,0.2390438247
國立,專業群(職業)科,商業與管理群,8054,2734,270,4339,106,6,8,0,1,1,9,81,9,4,93.9657313136,33.9458654085,3.3523714924,53.8738515024,1.3161162155,0.0744971443,0.0993295257,0.0,0.0124161907,0.0124161907,0.1117457164,1.0057114477,0.1117457164,0.0496647629,1,0,20,1,0,5,28,1,72,0,1,0,9,13,36,0,6,20,22,2.9178048175,0.0124161907,0.0,0.2483238143,0.0124161907,0.0,0.0620809536,0.34765334,0.0124161907,0.8939657313,0.0,0.0124161907,0.0,0.1117457164,0.1614104793,0.4469828657,0.0,0.0744971443,0.2483238143,0.2731561957,5,77,41,40,5,1,40,0.0620809536,0.9560466849,0.5090638192,0.4966476285,0.0620809536,0.0124161907,0.4966476285
國立,專業群(職業)科,外語群,942,534,10,359,7,1,0,0,0,0,2,7,0,0,97.6645435244,56.6878980892,1.0615711253,38.110403397,0.7430997877,0.1061571125,0.0,0.0,0.0,0.0,0.2123142251,0.7430997877,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0.6369426752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3184713376,0.0,0.0,0.0,0.0,0.0,0.1061571125,0.0,0.0,0.0,0.2123142251,1,4,3,5,0,0,0,0.1061571125,0.4246284501,0.3184713376,0.5307855626,0.0,0.0,0.0
國立,專業群(職業)科,設計群,1193,267,31,769,30,1,0,0,2,0,1,11,3,0,93.461860855,22.3805532272,2.5984911987,64.4593461861,2.5146689019,0.0838222967,0.0,0.0,0.1676445935,0.0,0.0838222967,0.922045264,0.2514668902,0.0,1,0,0,0,0,3,5,0,10,1,2,0,5,1,7,0,1,0,5,3.436714166,0.0838222967,0.0,0.0,0.0,0.0,0.2514668902,0.4191114837,0.0,0.8382229673,0.0838222967,0.1676445935,0.0,0.4191114837,0.0838222967,0.5867560771,0.0,0.0838222967,0.0,0.4191114837,0,7,7,11,0,1,5,0.0,0.5867560771,0.5867560771,0.922045264,0.0,0.0838222967,0.4191114837
國立,專業群(職業)科,農業群,1819,513,108,773,40,37,1,1,0,0,2,14,3,1,82.0780648708,28.202308961,5.9373282023,42.4958768554,2.1990104453,2.0340846619,0.0549752611,0.0549752611,0.0,0.0,0.1099505223,0.7696536559,0.1649257834,0.0549752611,54,2,5,3,2,4,13,2,35,1,1,0,14,7,63,0,4,6,16,12.7542605827,2.9686641012,0.1099505223,0.2748763057,0.1649257834,0.1099505223,0.2199010445,0.7146783947,0.1099505223,1.9241341396,0.0549752611,0.0549752611,0.0,0.7696536559,0.3848268279,3.4634414513,0.0,0.2199010445,0.3298515668,0.8796041781,4,35,20,9,3,2,12,0.2199010445,1.9241341396,1.0995052226,0.4947773502,0.1649257834,0.1099505223,0.6597031336
國立,專業群(職業)科,食品群,1414,293,109,719,54,1,1,1,0,0,0,15,1,0,84.441301273,20.7213578501,7.7086280057,50.8486562942,3.8189533239,0.0707213579,0.0707213579,0.0707213579,0.0,0.0,0.0,1.0608203678,0.0707213579,0.0,2,0,16,0,0,1,14,1,63,0,1,1,3,1,30,1,5,0,21,11.315417256,0.1414427157,0.0,1.1315417256,0.0,0.0,0.0707213579,0.9900990099,0.0707213579,4.4554455446,0.0,0.0707213579,0.0707213579,0.2121640736,0.0707213579,2.1216407355,0.0707213579,0.3536067893,0.0,1.4851485149,5,29,9,3,0,0,4,0.3536067893,2.0509193777,0.6364922207,0.2121640736,0.0,0.0,0.2828854314
國立,專業群(職業)科,家政群,1428,263,36,911,34,18,3,0,1,0,0,7,1,0,89.2156862745,18.4173669468,2.5210084034,63.7955182073,2.380952381,1.2605042017,0.2100840336,0.0,0.0700280112,0.0,0.0,0.4901960784,0.0700280112,0.0,0,0,3,0,0,0,7,1,32,0,0,0,13,0,15,0,4,12,22,7.6330532213,0.0,0.0,0.2100840336,0.0,0.0,0.0,0.4901960784,0.0700280112,2.2408963585,0.0,0.0,0.0,0.9103641457,0.0,1.0504201681,0.0,0.2801120448,0.8403361345,1.5406162465,5,8,14,4,0,0,5,0.350140056,0.5602240896,0.9803921569,0.2801120448,0.0,0.0,0.350140056
國立,專業群(職業)科,餐旅群,1043,308,25,555,10,0,1,1,0,0,0,7,0,1,87.0565675935,29.5302013423,2.3969319271,53.2118887824,0.9587727709,0.0,0.0958772771,0.0958772771,0.0,0.0,0.0,0.6711409396,0.0,0.0958772771,0,0,0,0,0,0,8,1,47,1,0,0,6,0,12,0,1,4,5,8.1495685523,0.0,0.0,0.0,0.0,0.0,0.0,0.7670182167,0.0958772771,4.506232023,0.0958772771,0.0,0.0,0.5752636625,0.0,1.150527325,0.0,0.0958772771,0.3835091083,0.4793863854,4,12,10,6,2,1,5,0.3835091083,1.150527325,0.9587727709,0.5752636625,0.1917545542,0.0958772771,0.4793863854
國立,專業群(職業)科,水產群,298,131,8,45,3,0,0,1,0,0,0,2,0,0,63.7583892617,43.9597315436,2.6845637584,15.1006711409,1.0067114094,0.0,0.0,0.3355704698,0.0,0.0,0.0,0.6711409396,0.0,0.0,5,0,5,0,0,0,12,1,14,0,0,0,0,1,16,0,2,2,10,22.8187919463,1.677852349,0.0,1.677852349,0.0,0.0,0.0,4.0268456376,0.3355704698,4.6979865772,0.0,0.0,0.0,0.0,0.3355704698,5.3691275168,0.0,0.6711409396,0.6711409396,3.355704698,0,23,9,6,1,0,1,0.0,7.7181208054,3.0201342282,2.0134228188,0.3355704698,0.0,0.3355704698
國立,專業群(職業)科,海事群,277,83,10,55,4,0,0,2,0,0,0,2,0,0,56.3176895307,29.963898917,3.6101083032,19.8555956679,1.4440433213,0.0,0.0,0.7220216606,0.0,0.0,0.0,0.7220216606,0.0,0.0,5,0,3,3,0,2,10,12,9,3,0,0,0,0,8,0,0,1,4,21.6606498195,1.8050541516,0.0,1.083032491,1.083032491,0.0,0.7220216606,3.6101083032,4.3321299639,3.2490974729,1.083032491,0.0,0.0,0.0,0.0,2.8880866426,0.0,0.0,0.3610108303,1.4440433213,5,45,7,3,0,0,1,1.8050541516,16.2454873646,2.5270758123,1.083032491,0.0,0.0,0.3610108303
國立,專業群(職業)科,藝術群,125,64,3,40,0,0,0,0,0,0,0,0,1,0,86.4,51.2,2.4,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,10,0,0,1,0.0,4.8,0.0,8.0,0.0,0.0,0.8
國立,專業群(職業)科,綜合,885,5,1,120,17,0,4,0,0,0,0,0,0,1,16.7231638418,0.5649717514,0.1129943503,13.5593220339,1.9209039548,0.0,0.4519774011,0.0,0.0,0.0,0.0,0.0,0.0,0.1129943503,12,1,78,7,1,13,30,5,128,3,0,1,26,70,0,1,4,19,75,53.5593220339,1.3559322034,0.1129943503,8.813559322,0.790960452,0.1129943503,1.4689265537,3.3898305085,0.5649717514,14.4632768362,0.3389830508,0.0,0.1129943503,2.9378531073,7.9096045198,0.0,0.1129943503,0.4519774011,2.1468926554,8.4745762712,42,4,134,2,13,0,32,4.7457627119,0.4519774011,15.1412429379,0.2259887006,1.4689265537,0.0,3.615819209
國立,綜合高中,,5762,1347,71,3814,20,0,0,0,0,1,86,83,34,27,95.1579312739,23.3772995488,1.2322110378,66.1922943422,0.3471017008,0.0,0.0,0.0,0.0,0.017355085,1.4925373134,1.4404720583,0.5900728914,0.4685872961,3,0,6,1,0,2,1,1,14,1,1,0,2,4,29,0,1,12,7,1.4751822284,0.0520652551,0.0,0.1041305102,0.017355085,0.0,0.0347101701,0.017355085,0.017355085,0.2429711906,0.017355085,0.017355085,0.0,0.0347101701,0.0694203402,0.5032974662,0.0,0.017355085,0.2082610205,0.1214855953,0,36,7,101,0,1,8,0.0,0.6247830614,0.1214855953,1.752863589,0.0,0.017355085,0.1388406803
國立,綜合高中,機械群,276,76,12,142,11,1,0,0,0,0,0,6,0,0,89.8550724638,27.5362318841,4.347826087,51.4492753623,3.9855072464,0.3623188406,0.0,0.0,0.0,0.0,0.0,2.1739130435,0.0,0.0,0,0,6,0,0,1,0,0,0,1,0,0,4,1,8,0,1,1,0,8.3333333333,0.0,0.0,2.1739130435,0.0,0.0,0.3623188406,0.0,0.0,0.0,0.3623188406,0.0,0.0,1.4492753623,0.3623188406,2.8985507246,0.0,0.3623188406,0.3623188406,0.0,0,4,0,1,0,0,0,0.0,1.4492753623,0.0,0.3623188406,0.0,0.0,0.0
