設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,綜合高中,家政群,19,1,0,13,0,0,0,0,0,0,0,0,0,0,73.68,5.26,0.0,68.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,10.53,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,餐旅群,308,61,6,181,6,4,0,0,0,0,0,1,0,0,84.09,19.81,1.95,58.77,1.95,1.3,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,3,0,1,0,0,1,3,1,15,0,0,0,0,2,9,0,0,0,7,13.64,0.97,0.0,0.32,0.0,0.0,0.32,0.97,0.32,4.87,0.0,0.0,0.0,0.0,0.65,2.92,0.0,0.0,0.0,2.27,1,4,1,0,0,0,1,0.32,1.3,0.32,0.0,0.0,0.0,0.32
國立,綜合高中,水產群,21,9,0,4,0,0,0,0,0,0,0,0,0,0,61.9,42.86,0.0,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,33.33,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,19.05,0.0,0.0,0.0,4.76,0,0,0,1,0,0,0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
國立,綜合高中,藝術群,5,1,0,2,0,0,0,0,0,0,0,0,0,0,60.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立,綜合高中,其他(綜合),82,4,1,53,5,0,0,0,0,0,0,1,0,0,78.05,4.88,1.22,64.63,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0,0,3,0,0,0,0,1,2,0,0,0,1,0,5,0,0,1,0,15.85,0.0,0.0,3.66,0.0,0.0,0.0,0.0,1.22,2.44,0.0,0.0,0.0,1.22,0.0,6.1,0.0,0.0,1.22,0.0,0,1,2,0,0,0,0,0.0,1.22,2.44,0.0,0.0,0.0,0.0
國立,實用技能學程,機械群,278,24,9,120,30,0,0,1,2,0,0,3,0,0,67.99,8.63,3.24,43.17,10.79,0.0,0.0,0.36,0.72,0.0,0.0,1.08,0.0,0.0,2,0,20,0,0,0,7,1,11,1,0,0,0,2,9,0,0,0,2,19.78,0.72,0.0,7.19,0.0,0.0,0.0,2.52,0.36,3.96,0.36,0.0,0.0,0.0,0.72,3.24,0.0,0.0,0.0,0.72,0,12,0,2,0,0,2,0.0,4.32,0.0,0.72,0.0,0.0,0.72
國立,實用技能學程,動力機械群,117,3,2,31,11,0,0,0,0,0,0,0,0,0,40.17,2.56,1.71,26.5,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,7,0,0,1,0,6,4,0,0,0,10,0,15,0,0,1,8,48.72,4.27,0.0,5.98,0.0,0.0,0.85,0.0,5.13,3.42,0.0,0.0,0.0,8.55,0.0,12.82,0.0,0.0,0.85,6.84,0,1,6,2,0,0,0,0.0,0.85,5.13,1.71,0.0,0.0,0.0
國立,實用技能學程,電機與電子群,362,33,11,133,34,4,0,0,2,0,0,2,0,0,60.5,9.12,3.04,36.74,9.39,1.1,0.0,0.0,0.55,0.0,0.0,0.55,0.0,0.0,5,0,15,2,2,11,7,5,15,0,0,0,2,1,14,0,0,2,8,24.59,1.38,0.0,4.14,0.55,0.55,3.04,1.93,1.38,4.14,0.0,0.0,0.0,0.55,0.28,3.87,0.0,0.0,0.55,2.21,1,23,8,1,0,0,3,0.28,6.35,2.21,0.28,0.0,0.0,0.83
國立,實用技能學程,土木與建築群,69,6,2,30,6,0,0,0,0,0,0,0,0,0,63.77,8.7,2.9,43.48,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,0,6,4,0,0,0,0,0,0,0,4,0,1,0,0,26.09,1.45,0.0,2.9,0.0,0.0,8.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,1.45,0.0,0.0,1,2,1,0,0,0,1,1.45,2.9,1.45,0.0,0.0,0.0,1.45
國立,實用技能學程,商業與管理群,314,17,17,161,20,3,0,0,2,0,0,1,0,0,70.38,5.41,5.41,51.27,6.37,0.96,0.0,0.0,0.64,0.0,0.0,0.32,0.0,0.0,6,0,5,0,0,3,13,1,19,2,1,0,2,4,6,0,1,3,0,21.02,1.91,0.0,1.59,0.0,0.0,0.96,4.14,0.32,6.05,0.64,0.32,0.0,0.64,1.27,1.91,0.0,0.32,0.96,0.0,1,6,12,1,1,0,0,0.32,1.91,3.82,0.32,0.32,0.0,0.0
國立,實用技能學程,設計群,148,5,1,100,1,0,0,0,0,0,0,1,0,0,72.97,3.38,0.68,67.57,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,2,0,0,0,0,6,2,0,3,0,0,0,0,10,2,0,1,0,2,18.92,1.35,0.0,0.0,0.0,0.0,4.05,1.35,0.0,2.03,0.0,0.0,0.0,0.0,6.76,1.35,0.0,0.68,0.0,1.35,0,0,4,0,0,0,0,0.0,0.0,2.7,0.0,0.0,0.0,0.0
國立,實用技能學程,農業群,131,17,24,39,2,3,5,0,0,0,0,1,0,0,69.47,12.98,18.32,29.77,1.53,2.29,3.82,0.0,0.0,0.0,0.0,0.76,0.0,0.0,10,0,1,0,0,5,3,0,4,0,0,0,2,3,8,0,0,0,0,27.48,7.63,0.0,0.76,0.0,0.0,3.82,2.29,0.0,3.05,0.0,0.0,0.0,1.53,2.29,6.11,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,0.0,0.0,3.05,0.0,0.0,0.0,0.0
國立,實用技能學程,食品群,181,5,1,62,22,0,0,0,0,0,0,1,0,1,50.83,2.76,0.55,34.25,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,2,0,11,0,0,0,12,1,26,0,0,0,1,2,3,0,0,3,4,35.91,1.1,0.0,6.08,0.0,0.0,0.0,6.63,0.55,14.36,0.0,0.0,0.0,0.55,1.1,1.66,0.0,0.0,1.66,2.21,0,7,9,0,0,0,0,0.0,3.87,4.97,0.0,0.0,0.0,0.0
國立,實用技能學程,餐旅群,316,20,7,152,18,0,0,5,0,0,0,1,0,0,64.24,6.33,2.22,48.1,5.7,0.0,0.0,1.58,0.0,0.0,0.0,0.32,0.0,0.0,2,0,2,0,0,2,9,0,44,0,0,1,1,1,22,0,1,2,4,28.8,0.63,0.0,0.63,0.0,0.0,0.63,2.85,0.0,13.92,0.0,0.0,0.32,0.32,0.32,6.96,0.0,0.32,0.63,1.27,0,4,11,0,1,0,0,0.0,1.27,3.48,0.0,0.32,0.0,0.0
國立,實用技能學程,水產群,24,5,1,1,6,0,0,0,0,0,0,0,0,0,54.17,20.83,4.17,4.17,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,4.17,0,1,2,0,0,0,0,0.0,4.17,8.33,0.0,0.0,0.0,0.0
國立,實用技能學程,海事群,21,0,2,6,3,0,0,0,1,0,0,2,0,0,66.67,0.0,9.52,28.57,14.29,0.0,0.0,0.0,4.76,0.0,0.0,9.52,0.0,0.0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,28.57,0.0,0.0,4.76,4.76,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立,實用技能學程,美容造型群,157,11,3,55,17,3,5,0,3,0,0,0,0,0,61.78,7.01,1.91,35.03,10.83,1.91,3.18,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,2,0,13,0,0,0,1,10,2,0,0,2,20,33.76,0.0,0.0,1.27,0.0,0.64,0.0,1.27,0.0,8.28,0.0,0.0,0.0,0.64,6.37,1.27,0.0,0.0,1.27,12.74,2,1,3,0,0,0,1,1.27,0.64,1.91,0.0,0.0,0.0,0.64
國立,進修部,普通科,77,3,4,21,14,0,0,0,0,0,0,0,0,0,54.55,3.9,5.19,27.27,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,2,2,1,4,0,0,2,0,1,6,0,0,1,0,27.27,1.3,0.0,1.3,0.0,0.0,2.6,2.6,1.3,5.19,0.0,0.0,2.6,0.0,1.3,7.79,0.0,0.0,1.3,0.0,0,3,0,3,0,1,4,0.0,3.9,0.0,3.9,0.0,1.3,5.19
國立,進修部,機械群,250,10,15,32,54,0,0,1,1,0,0,1,0,0,45.6,4.0,6.0,12.8,21.6,0.0,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.0,3,0,54,3,1,5,2,3,12,2,0,0,0,1,1,0,1,5,13,42.4,1.2,0.0,21.6,1.2,0.4,2.0,0.8,1.2,4.8,0.8,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,5.2,1,14,9,0,0,0,1,0.4,5.6,3.6,0.0,0.0,0.0,0.4
國立,進修部,動力機械群,112,2,2,12,21,0,0,0,0,0,0,2,0,0,34.82,1.79,1.79,10.71,18.75,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0,0,12,1,0,2,4,2,5,1,0,0,4,0,5,0,0,7,13,50.0,0.0,0.0,10.71,0.89,0.0,1.79,3.57,1.79,4.46,0.89,0.0,0.0,3.57,0.0,4.46,0.0,0.0,6.25,11.61,0,8,5,1,0,0,1,0.0,7.14,4.46,0.89,0.0,0.0,0.89
國立,進修部,電機與電子群,299,4,22,20,40,0,6,0,0,0,0,3,0,8,34.45,1.34,7.36,6.69,13.38,0.0,2.01,0.0,0.0,0.0,0.0,1.0,0.0,2.68,9,1,26,5,1,12,11,9,17,2,0,0,11,3,7,0,2,5,17,46.15,3.01,0.33,8.7,1.67,0.33,4.01,3.68,3.01,5.69,0.67,0.0,0.0,3.68,1.0,2.34,0.0,0.67,1.67,5.69,0,23,10,1,1,0,1,0.0,7.69,3.34,0.33,0.33,0.0,0.33
國立,進修部,化工群,13,0,0,3,2,1,1,0,0,0,0,0,0,0,53.85,0.0,0.0,23.08,15.38,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0,1,1,1,1,0,0,0.0,7.69,7.69,7.69,7.69,0.0,0.0
國立,進修部,土木與建築群,26,0,0,1,11,0,0,0,0,0,0,0,0,0,46.15,0.0,0.0,3.85,42.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,4,46.15,0.0,0.0,7.69,0.0,0.0,11.54,0.0,0.0,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,3.85,15.38,0,2,0,0,0,0,0,0.0,7.69,0.0,0.0,0.0,0.0,0.0
國立,進修部,商業與管理群,668,20,20,76,61,1,8,2,5,0,0,5,0,17,32.19,2.99,2.99,11.38,9.13,0.15,1.2,0.3,0.75,0.0,0.0,0.75,0.0,2.54,9,1,58,3,0,24,43,9,85,2,4,2,7,23,10,0,6,38,35,53.74,1.35,0.15,8.68,0.45,0.0,3.59,6.44,1.35,12.72,0.3,0.6,0.3,1.05,3.44,1.5,0.0,0.9,5.69,5.24,1,16,27,3,8,0,25,0.15,2.4,4.04,0.45,1.2,0.0,3.74
國立,進修部,設計群,150,4,8,30,7,0,0,0,3,0,0,0,0,1,35.33,2.67,5.33,20.0,4.67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.67,1,0,27,0,0,7,4,1,12,2,0,2,2,10,0,0,0,1,15,56.0,0.67,0.0,18.0,0.0,0.0,4.67,2.67,0.67,8.0,1.33,0.0,1.33,1.33,6.67,0.0,0.0,0.0,0.67,10.0,0,3,8,1,0,0,1,0.0,2.0,5.33,0.67,0.0,0.0,0.67
國立,進修部,農業群,41,2,5,5,5,2,0,0,0,0,0,0,0,0,46.34,4.88,12.2,12.2,12.2,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,1,4,0,0,0,1,0,0,0,0,0,1,34.15,0.0,0.0,0.0,0.0,0.0,0.0,17.07,2.44,9.76,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,2.44,0,5,2,0,0,0,1,0.0,12.2,4.88,0.0,0.0,0.0,2.44
國立,進修部,食品群,97,5,4,15,10,0,0,0,0,0,0,0,0,0,35.05,5.15,4.12,15.46,10.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0,0,1,2,3,20,1,0,0,4,4,0,0,4,5,5,55.67,3.09,0.0,2.06,0.0,0.0,1.03,2.06,3.09,20.62,1.03,0.0,0.0,4.12,4.12,0.0,0.0,4.12,5.15,5.15,1,1,4,0,1,0,2,1.03,1.03,4.12,0.0,1.03,0.0,2.06
國立,進修部,家政群,143,1,3,12,19,0,4,0,0,0,0,0,0,0,27.27,0.7,2.1,8.39,13.29,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,6,0,0,1,17,2,21,0,0,0,8,3,4,0,5,9,9,65.03,5.59,0.0,4.2,0.0,0.0,0.7,11.89,1.4,14.69,0.0,0.0,0.0,5.59,2.1,2.8,0.0,3.5,6.29,6.29,1,4,2,0,3,0,1,0.7,2.8,1.4,0.0,2.1,0.0,0.7
國立,進修部,餐旅群,133,2,6,8,17,0,2,0,2,0,0,2,0,0,29.32,1.5,4.51,6.02,12.78,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,6,0,13,1,0,6,10,6,31,1,0,0,2,3,2,0,1,2,2,64.66,4.51,0.0,9.77,0.75,0.0,4.51,7.52,4.51,23.31,0.75,0.0,0.0,1.5,2.26,1.5,0.0,0.75,1.5,1.5,0,1,4,0,1,0,2,0.0,0.75,3.01,0.0,0.75,0.0,1.5
縣市立,普通科,普通科,46052,18221,127,24650,243,2,0,1,1,43,85,453,264,2,95.74,39.57,0.28,53.53,0.53,0.0,0.0,0.0,0.0,0.09,0.18,0.98,0.57,0.0,9,10,17,4,2,8,27,8,59,3,4,0,8,21,136,4,1,29,32,0.83,0.02,0.02,0.04,0.01,0.0,0.02,0.06,0.02,0.13,0.01,0.01,0.0,0.02,0.05,0.3,0.01,0.0,0.06,0.07,26,145,11,1249,13,25,33,0.06,0.31,0.02,2.71,0.03,0.05,0.07
縣市立,專業群科,機械群,2295,882,98,889,134,5,4,0,0,0,1,17,1,0,88.5,38.43,4.27,38.74,5.84,0.22,0.17,0.0,0.0,0.0,0.04,0.74,0.04,0.0,2,0,131,3,1,9,6,2,11,6,0,0,11,7,9,1,1,8,10,9.5,0.09,0.0,5.71,0.13,0.04,0.39,0.26,0.09,0.48,0.26,0.0,0.0,0.48,0.31,0.39,0.04,0.04,0.35,0.44,2,13,17,6,0,1,1,0.09,0.57,0.74,0.26,0.0,0.04,0.04
縣市立,專業群科,動力機械群,762,306,26,301,14,7,0,0,0,0,0,5,0,0,86.48,40.16,3.41,39.5,1.84,0.92,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0,0,18,0,0,1,0,15,5,0,0,0,35,2,3,0,0,0,3,10.76,0.0,0.0,2.36,0.0,0.0,0.13,0.0,1.97,0.66,0.0,0.0,0.0,4.59,0.26,0.39,0.0,0.0,0.0,0.39,0,6,3,8,0,0,1,0.0,0.79,0.39,1.05,0.0,0.0,0.13
