設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 專業群科,家政群,906,170,38,526,24,10,1,3,1,0,0,2,0,0,85.54,18.76,4.19,58.06,2.65,1.1,0.11,0.33,0.11,0.0,0.0,0.22,0.0,0.0,4,1,7,0,1,1,11,0,40,0,1,0,1,0,16,2,1,10,12,11.92,0.44,0.11,0.77,0.0,0.11,0.11,1.21,0.0,4.42,0.0,0.11,0.0,0.11,0.0,1.77,0.22,0.11,1.1,1.32,5,0,9,1,1,1,4,0.55,0.0,0.99,0.11,0.11,0.11,0.44
國立, 專業群科,餐旅群,1093,313,33,507,22,7,7,1,0,1,1,10,0,1,82.62,28.64,3.02,46.39,2.01,0.64,0.64,0.09,0.0,0.09,0.09,0.91,0.0,0.09,3,0,7,3,0,1,6,2,62,0,0,0,0,4,52,0,1,0,12,14.0,0.27,0.0,0.64,0.27,0.0,0.09,0.55,0.18,5.67,0.0,0.0,0.0,0.0,0.37,4.76,0.0,0.09,0.0,1.1,1,6,14,5,2,1,7,0.09,0.55,1.28,0.46,0.18,0.09,0.64
國立, 專業群科,水產群,149,81,7,17,2,0,0,2,0,0,0,0,0,0,73.15,54.36,4.7,11.41,1.34,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,2,2,0,6,0,0,0,1,0,0,0,0,0,2,11.41,2.01,0.0,0.67,0.0,0.0,1.34,1.34,0.0,4.03,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.34,1,7,3,1,1,0,9,0.67,4.7,2.01,0.67,0.67,0.0,6.04
國立, 專業群科,海事群,249,80,2,43,4,3,1,0,3,0,0,6,0,0,57.03,32.13,0.8,17.27,1.61,1.2,0.4,0.0,1.2,0.0,0.0,2.41,0.0,0.0,4,0,10,1,0,6,3,27,3,0,0,0,1,0,21,0,0,1,5,32.93,1.61,0.0,4.02,0.4,0.0,2.41,1.2,10.84,1.2,0.0,0.0,0.0,0.4,0.0,8.43,0.0,0.0,0.4,2.01,1,10,8,1,0,0,3,0.4,4.02,3.21,0.4,0.0,0.0,1.2
國立, 專業群科,藝術群,131,79,0,30,1,0,0,0,0,0,0,1,0,1,85.5,60.31,0.0,22.9,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,4,5,0,2,0,0,1,3.05,3.82,0.0,1.53,0.0,0.0,0.76
國立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國立, 專業群科,綜合,567,0,0,70,11,0,0,1,0,0,0,0,0,0,14.46,0.0,0.0,12.35,1.94,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,16,0,53,9,3,20,30,5,86,3,0,0,8,25,6,0,3,6,69,60.32,2.82,0.0,9.35,1.59,0.53,3.53,5.29,0.88,15.17,0.53,0.0,0.0,1.41,4.41,1.06,0.0,0.53,1.06,12.17,32,6,91,1,5,1,7,5.64,1.06,16.05,0.18,0.88,0.18,1.23
國立, 綜合高中,機械群,93,54,1,30,2,0,0,0,0,0,0,0,0,0,93.55,58.06,1.08,32.26,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.23,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0,0,0,1,0,0,0,0.0,0.0,0.0,1.08,0.0,0.0,0.0
國立, 綜合高中,動力機械群,8,0,2,5,0,0,0,0,0,0,0,0,0,0,87.5,0.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,12.5,0.0,0.0,0.0,0.0,0.0
國立, 綜合高中,電機與電子群,107,53,1,43,0,0,0,0,0,0,1,0,0,0,91.59,49.53,0.93,40.19,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,1,7.48,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.0,2.8,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.93,0,0,1,0,0,0,0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
