設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 實用技能學程,餐旅群,333,22,16,148,23,0,3,0,0,0,0,2,0,0,64.26,6.61,4.8,44.44,6.91,0.0,0.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,4,0,9,0,0,1,7,0,34,0,0,0,1,6,10,0,0,4,16,27.63,1.2,0.0,2.7,0.0,0.0,0.3,2.1,0.0,10.21,0.0,0.0,0.0,0.3,1.8,3.0,0.0,0.0,1.2,4.8,1,4,10,1,2,0,1,0.3,1.2,3.0,0.3,0.6,0.0,0.3
國立, 實用技能學程,水產群,15,5,0,5,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,0.0,0.0,26.67,0.0,0.0,0.0,0.0
國立, 實用技能學程,海事群,12,0,0,1,0,0,0,1,0,0,0,0,0,0,16.67,0.0,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,50.0,8.33,0.0,8.33,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,0,0,2,1,0,0,0,0.0,0.0,16.67,8.33,0.0,0.0,0.0
國立, 實用技能學程,美容造型群,133,6,0,65,11,8,0,1,0,0,0,0,0,0,68.42,4.51,0.0,48.87,8.27,6.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,5,0,0,0,0,2,1,0,1,17,1,21.8,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,3.76,0.0,0.0,0.0,0.0,1.5,0.75,0.0,0.75,12.78,0.75,0,1,2,0,0,0,0,0.0,0.75,1.5,0.0,0.0,0.0,0.0
國立, 進修部,機械群,218,10,6,26,39,1,1,0,3,0,0,0,0,0,39.45,4.59,2.75,11.93,17.89,0.46,0.46,0.0,1.38,0.0,0.0,0.0,0.0,0.0,2,0,56,0,1,5,3,1,20,0,0,0,6,7,4,1,0,1,7,52.29,0.92,0.0,25.69,0.0,0.46,2.29,1.38,0.46,9.17,0.0,0.0,0.0,2.75,3.21,1.83,0.46,0.0,0.46,3.21,2,10,2,0,0,0,2,0.92,4.59,0.92,0.0,0.0,0.0,0.92
國立, 進修部,動力機械群,73,1,2,4,15,0,1,0,0,0,0,0,0,0,31.51,1.37,2.74,5.48,20.55,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,1,1,5,1,0,5,1,0,0,5,2,4,0,0,0,7,61.64,6.85,0.0,10.96,1.37,1.37,6.85,1.37,0.0,6.85,1.37,0.0,0.0,6.85,2.74,5.48,0.0,0.0,0.0,9.59,0,2,2,1,0,0,0,0.0,2.74,2.74,1.37,0.0,0.0,0.0
國立, 進修部,電機與電子群,273,15,14,32,36,0,1,0,3,0,0,0,0,0,37.0,5.49,5.13,11.72,13.19,0.0,0.37,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1,0,35,11,1,12,14,3,8,1,0,0,12,9,2,0,4,1,18,48.35,0.37,0.0,12.82,4.03,0.37,4.4,5.13,1.1,2.93,0.37,0.0,0.0,4.4,3.3,0.73,0.0,1.47,0.37,6.59,1,26,6,2,0,0,3,0.37,9.52,2.2,0.73,0.0,0.0,1.1
國立, 進修部,化工群,10,0,3,1,2,0,0,0,0,0,0,0,0,0,60.0,0.0,30.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0
國立, 進修部,土木與建築群,17,1,0,4,5,0,0,0,0,0,0,0,0,0,58.82,5.88,0.0,23.53,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,29.41,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,5.88,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,5.88,0.0,0.0,0.0,0.0,0.0,5.88
國立, 進修部,商業與管理群,629,34,35,72,31,1,6,1,9,0,2,3,0,11,32.59,5.41,5.56,11.45,4.93,0.16,0.95,0.16,1.43,0.0,0.32,0.48,0.0,1.75,15,0,50,2,1,15,48,14,79,0,7,2,11,12,8,2,19,32,40,56.76,2.38,0.0,7.95,0.32,0.16,2.38,7.63,2.23,12.56,0.0,1.11,0.32,1.75,1.91,1.27,0.32,3.02,5.09,6.36,3,5,17,7,6,0,19,0.48,0.79,2.7,1.11,0.95,0.0,3.02
國立, 進修部,設計群,93,2,3,6,16,0,1,1,0,0,0,1,0,4,36.56,2.15,3.23,6.45,17.2,0.0,1.08,1.08,0.0,0.0,0.0,1.08,0.0,4.3,5,0,11,1,0,2,4,0,8,0,0,1,0,2,2,0,0,4,9,52.69,5.38,0.0,11.83,1.08,0.0,2.15,4.3,0.0,8.6,0.0,0.0,1.08,0.0,2.15,2.15,0.0,0.0,4.3,9.68,0,0,4,1,0,0,2,0.0,0.0,4.3,1.08,0.0,0.0,2.15
國立, 進修部,農業群,38,0,7,11,3,0,0,0,0,0,0,0,0,0,55.26,0.0,18.42,28.95,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,2,0,0,0,4,1,0,0,0,3,0,34.21,0.0,0.0,2.63,0.0,0.0,2.63,2.63,0.0,5.26,0.0,0.0,0.0,10.53,2.63,0.0,0.0,0.0,7.89,0.0,1,1,0,1,1,0,0,2.63,2.63,0.0,2.63,2.63,0.0,0.0
國立, 進修部,食品群,120,1,9,21,12,0,0,0,0,0,0,0,0,0,35.83,0.83,7.5,17.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,10,0,0,3,10,2,7,0,0,1,0,3,9,1,1,0,7,51.67,6.67,0.0,8.33,0.0,0.0,2.5,8.33,1.67,5.83,0.0,0.0,0.83,0.0,2.5,7.5,0.83,0.83,0.0,5.83,1,3,4,0,4,0,3,0.83,2.5,3.33,0.0,3.33,0.0,2.5
國立, 進修部,家政群,119,0,3,9,15,0,4,0,4,0,0,0,0,0,29.41,0.0,2.52,7.56,12.61,0.0,3.36,0.0,3.36,0.0,0.0,0.0,0.0,0.0,7,1,6,0,0,3,6,3,23,0,0,0,1,3,3,0,7,6,8,64.71,5.88,0.84,5.04,0.0,0.0,2.52,5.04,2.52,19.33,0.0,0.0,0.0,0.84,2.52,2.52,0.0,5.88,5.04,6.72,0,1,1,1,2,0,0,0.0,0.84,0.84,0.84,1.68,0.0,0.0
國立, 進修部,餐旅群,125,0,7,19,17,0,0,0,0,0,0,1,0,0,35.2,0.0,5.6,15.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1,0,9,0,1,2,4,0,28,0,1,0,5,7,2,0,2,0,5,53.6,0.8,0.0,7.2,0.0,0.8,1.6,3.2,0.0,22.4,0.0,0.8,0.0,4.0,5.6,1.6,0.0,1.6,0.0,4.0,1,2,7,0,0,0,3,0.8,1.6,5.6,0.0,0.0,0.0,2.4
縣市立, 專業群科,機械群,2146,1015,171,718,51,3,0,1,0,0,1,15,1,0,92.08,47.3,7.97,33.46,2.38,0.14,0.0,0.05,0.0,0.0,0.05,0.7,0.05,0.0,0,0,45,13,2,2,4,4,6,0,0,0,7,12,16,0,2,0,12,5.82,0.0,0.0,2.1,0.61,0.09,0.09,0.19,0.19,0.28,0.0,0.0,0.0,0.33,0.56,0.75,0.0,0.09,0.0,0.56,9,15,10,2,4,0,0,0.42,0.7,0.47,0.09,0.19,0.0,0.0
縣市立, 專業群科,動力機械群,741,297,20,349,12,4,0,2,0,0,0,6,0,0,93.12,40.08,2.7,47.1,1.62,0.54,0.0,0.27,0.0,0.0,0.0,0.81,0.0,0.0,1,0,16,0,0,1,3,2,0,1,1,0,6,0,1,0,0,0,0,4.32,0.13,0.0,2.16,0.0,0.0,0.13,0.4,0.27,0.0,0.13,0.13,0.0,0.81,0.0,0.13,0.0,0.0,0.0,0.0,2,7,3,5,0,0,1,0.27,0.94,0.4,0.67,0.0,0.0,0.13
縣市立, 專業群科,電機與電子群,3390,2017,96,1088,22,6,0,2,0,0,4,15,2,0,95.93,59.5,2.83,32.09,0.65,0.18,0.0,0.06,0.0,0.0,0.12,0.44,0.06,0.0,0,0,29,7,0,0,7,3,7,0,0,0,5,7,7,0,0,0,2,2.18,0.0,0.0,0.86,0.21,0.0,0.0,0.21,0.09,0.21,0.0,0.0,0.0,0.15,0.21,0.21,0.0,0.0,0.0,0.06,2,13,8,25,1,1,8,0.06,0.38,0.24,0.74,0.03,0.03,0.24
縣市立, 專業群科,化工群,482,343,5,117,3,0,0,0,0,0,0,1,0,0,97.3,71.16,1.04,24.27,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.62,0,2,1,1,0,0,0,0.0,0.41,0.21,0.21,0.0,0.0,0.0
縣市立, 專業群科,土木與建築群,548,336,40,134,5,5,2,0,0,0,0,4,0,0,95.99,61.31,7.3,24.45,0.91,0.91,0.36,0.0,0.0,0.0,0.0,0.73,0.0,0.0,1,0,1,0,0,9,1,0,1,0,0,0,1,1,3,0,0,0,0,3.28,0.18,0.0,0.18,0.0,0.0,1.64,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.18,0.55,0.0,0.0,0.0,0.0,0,2,0,1,0,0,0,0.0,0.36,0.0,0.18,0.0,0.0,0.0
縣市立, 專業群科,商業與管理群,3409,1841,38,1377,53,5,2,0,0,0,0,18,1,0,97.83,54.0,1.11,40.39,1.55,0.15,0.06,0.0,0.0,0.0,0.0,0.53,0.03,0.0,2,0,2,0,0,0,6,1,14,0,3,5,0,0,11,0,1,1,2,1.41,0.06,0.0,0.06,0.0,0.0,0.0,0.18,0.03,0.41,0.0,0.09,0.15,0.0,0.0,0.32,0.0,0.03,0.03,0.06,0,5,6,9,1,1,2,0.0,0.15,0.18,0.26,0.03,0.03,0.06
縣市立, 專業群科,外語群,571,247,0,302,3,0,1,0,0,0,0,4,2,0,97.9,43.26,0.0,52.89,0.53,0.0,0.18,0.0,0.0,0.0,0.0,0.7,0.35,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0,0,2,1,1,2,1,0.0,0.0,0.35,0.18,0.18,0.35,0.18
縣市立, 專業群科,設計群,1229,346,57,782,5,4,0,0,0,0,0,0,1,0,97.23,28.15,4.64,63.63,0.41,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,1,6,3,1.95,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.49,0.24,0,1,1,6,0,1,1,0.0,0.08,0.08,0.49,0.0,0.08,0.08
縣市立, 專業群科,農業群,290,159,9,97,1,0,0,0,0,0,0,1,0,0,92.07,54.83,3.1,33.45,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,10,6.21,0.0,0.0,0.69,0.0,0.0,0.34,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.69,0.34,0.0,0.34,3.45,4,0,1,0,0,0,0,1.38,0.0,0.34,0.0,0.0,0.0,0.0
縣市立, 專業群科,食品群,127,82,0,30,2,0,0,0,0,0,0,1,0,0,90.55,64.57,0.0,23.62,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 專業群科,家政群,412,101,1,292,5,0,0,0,0,0,0,0,2,0,97.33,24.51,0.24,70.87,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0,0,0,3,2,0,0,0.0,0.0,0.0,0.73,0.49,0.0,0.0
縣市立, 專業群科,餐旅群,240,106,1,121,1,0,0,0,0,0,0,2,0,0,96.25,44.17,0.42,50.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.83,0.42,0.0,0.0,0.0,0.0,0,1,0,1,0,0,2,0.0,0.42,0.0,0.42,0.0,0.0,0.83
縣市立, 專業群科,藝術群,116,20,2,93,0,0,0,0,0,0,0,1,0,0,100.0,17.24,1.72,80.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 專業群科,綜合,472,1,0,40,4,0,0,1,0,0,0,0,0,0,9.75,0.21,0.0,8.47,0.85,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0,19,1,2,2,26,5,56,2,0,0,8,68,1,0,10,2,44,52.54,0.42,0.0,4.03,0.21,0.42,0.42,5.51,1.06,11.86,0.42,0.0,0.0,1.69,14.41,0.21,0.0,2.12,0.42,9.32,20,2,78,15,26,0,36,4.24,0.42,16.53,3.18,5.51,0.0,7.63
縣市立, 綜合高中,機械群,18,2,2,14,0,0,0,0,0,0,0,0,0,0,100.0,11.11,11.11,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,電機與電子群,118,86,9,23,0,0,0,0,0,0,0,0,0,0,100.0,72.88,7.63,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,化工群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,土木與建築群,47,36,0,11,0,0,0,0,0,0,0,0,0,0,100.0,76.6,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,商業群,124,32,1,71,2,0,0,0,0,0,0,7,0,0,91.13,25.81,0.81,57.26,1.61,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.81,1.61,0.0,0.0,0.81,0.0,0,0,1,2,0,0,0,0.0,0.0,0.81,1.61,0.0,0.0,0.0
縣市立, 綜合高中,外語群,11,4,0,7,0,0,0,0,0,0,0,0,0,0,100.0,36.36,0.0,63.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,設計群,117,17,0,94,3,0,0,0,0,0,0,1,0,0,98.29,14.53,0.0,80.34,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,0,0,1,0,0,0,0.0,0.0,0.0,0.85,0.0,0.0,0.0
縣市立, 綜合高中,農業群,13,8,0,5,0,0,0,0,0,0,0,0,0,0,100.0,61.54,0.0,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,餐旅群,99,15,3,56,1,0,0,0,0,0,0,1,0,0,76.77,15.15,3.03,56.57,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0,0,0,1,0,2,3,0,4,0,0,0,0,2,1,0,0,0,1,14.14,0.0,0.0,0.0,1.01,0.0,2.02,3.03,0.0,4.04,0.0,0.0,0.0,0.0,2.02,1.01,0.0,0.0,0.0,1.01,0,4,5,0,0,0,0,0.0,4.04,5.05,0.0,0.0,0.0,0.0
縣市立, 綜合高中,藝術群,4,0,0,4,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 綜合高中,綜合,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 實用技能學程,機械群,106,8,34,7,28,0,0,0,0,0,0,0,0,0,72.64,7.55,32.08,6.6,26.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,0,1,0,3,0,0,0,4,0,1,0,0,1,1,19.81,0.0,0.0,9.43,0.0,0.0,0.0,0.94,0.0,2.83,0.0,0.0,0.0,3.77,0.0,0.94,0.0,0.0,0.94,0.94,0,5,1,1,1,0,0,0.0,4.72,0.94,0.94,0.94,0.0,0.0
縣市立, 實用技能學程,動力機械群,36,0,0,0,11,0,0,0,0,0,0,0,0,0,30.56,0.0,0.0,0.0,30.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,47.22,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,38.89,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,1,1,0.0,16.67,0.0,0.0,0.0,2.78,2.78
縣市立, 實用技能學程,電機與電子群,91,6,30,2,20,0,0,0,0,0,0,0,0,0,63.74,6.59,32.97,2.2,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,0,0,3,1,0,3,0,0,0,6,4,0,0,0,0,0,31.87,0.0,0.0,13.19,0.0,0.0,3.3,1.1,0.0,3.3,0.0,0.0,0.0,6.59,4.4,0.0,0.0,0.0,0.0,0.0,1,2,0,1,0,0,0,1.1,2.2,0.0,1.1,0.0,0.0,0.0
縣市立, 實用技能學程,土木與建築群,7,0,0,0,5,0,0,0,0,0,0,0,0,0,71.43,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 實用技能學程,商業群,31,7,0,10,0,0,7,0,1,0,0,0,0,0,80.65,22.58,0.0,32.26,0.0,0.0,22.58,0.0,3.23,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,0.0,0.0,0.0,6.45,0.0,0.0,0.0,3.23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 實用技能學程,設計群,21,1,1,10,0,0,0,0,0,0,0,0,0,0,57.14,4.76,4.76,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,42.86,0.0,0.0,14.29,0.0,0.0,4.76,0.0,0.0,4.76,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,9.52,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
縣市立, 實用技能學程,食品群,17,0,0,5,5,0,0,0,0,0,0,0,0,0,58.82,0.0,0.0,29.41,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0,0.0,0.0,5.88,11.76,0.0,0.0,0.0
縣市立, 實用技能學程,餐旅群,66,3,5,12,24,0,1,0,0,0,0,0,0,0,68.18,4.55,7.58,18.18,36.36,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,11,0,0,1,2,0,1,0,0,1,0,25.76,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,1.52,3.03,0.0,1.52,0.0,0.0,1.52,0.0,0,0,1,0,1,0,0,0.0,0.0,1.52,0.0,1.52,0.0,0.0
縣市立, 進修部,機械群,196,12,9,35,32,0,0,0,0,0,0,1,0,0,45.41,6.12,4.59,17.86,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,1,0,17,3,1,4,8,4,16,0,1,1,13,2,0,0,0,8,3,41.84,0.51,0.0,8.67,1.53,0.51,2.04,4.08,2.04,8.16,0.0,0.51,0.51,6.63,1.02,0.0,0.0,0.0,4.08,1.53,1,14,4,2,1,0,0,0.51,7.14,2.04,1.02,0.51,0.0,0.0
