設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,職業科,食品群,1297,293,100,680,26,1,0,0,0,0,0,25,0,1,86.82,22.59,7.71,52.43,2.0,0.08,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.08,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18,9.02,0.15,0.15,0.46,0.23,0.0,0.39,1.08,0.0,2.08,0.15,0.0,0.0,0.46,0.08,2.31,0.0,0.08,0.0,1.39,5,12,16,6,3,2,5,0.39,0.93,1.23,0.46,0.23,0.15,0.39
國立,職業科,家政群,1414,308,24,832,72,19,2,20,3,0,0,8,2,0,91.23,21.78,1.7,58.84,5.09,1.34,0.14,1.41,0.21,0.0,0.0,0.57,0.14,0.0,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31,6.58,0.28,0.0,0.64,0.0,0.0,0.0,0.28,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.42,0.07,0.07,0.5,2.19,0,4,11,4,2,0,5,0.0,0.28,0.78,0.28,0.14,0.0,0.35
國立,職業科,餐旅群,978,276,79,478,14,1,2,3,1,0,0,3,1,0,87.73,28.22,8.08,48.88,1.43,0.1,0.2,0.31,0.1,0.0,0.0,0.31,0.1,0.0,2,1,3,1,2,1,7,2,44,1,1,0,1,0,17,0,0,0,22,10.74,0.2,0.1,0.31,0.1,0.2,0.1,0.72,0.2,4.5,0.1,0.1,0.0,0.1,0.0,1.74,0.0,0.0,0.0,2.25,0,7,1,2,2,0,3,0.0,0.72,0.1,0.2,0.2,0.0,0.31
國立,職業科,水產群,305,140,13,60,6,0,0,4,0,0,0,6,0,1,75.41,45.9,4.26,19.67,1.97,0.0,0.0,1.31,0.0,0.0,0.0,1.97,0.0,0.33,2,0,6,2,1,2,6,1,6,0,0,0,3,3,7,0,2,0,21,20.33,0.66,0.0,1.97,0.66,0.33,0.66,1.97,0.33,1.97,0.0,0.0,0.0,0.98,0.98,2.3,0.0,0.66,0.0,6.89,0,5,4,0,1,0,1,0.0,1.64,1.31,0.0,0.33,0.0,0.33
國立,職業科,海事群,269,82,5,56,3,1,0,17,1,0,0,3,0,0,62.45,30.48,1.86,20.82,1.12,0.37,0.0,6.32,0.37,0.0,0.0,1.12,0.0,0.0,1,0,2,6,0,3,2,10,6,1,0,0,4,0,26,0,0,2,3,24.54,0.37,0.0,0.74,2.23,0.0,1.12,0.74,3.72,2.23,0.37,0.0,0.0,1.49,0.0,9.67,0.0,0.0,0.74,1.12,4,17,2,1,0,0,4,1.49,6.32,0.74,0.37,0.0,0.0,1.49
國立,職業科,藝術群,151,97,5,20,2,0,0,0,0,0,0,0,0,0,82.12,64.24,3.31,13.25,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,5,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.0,0.0,0.66,0.0,0.0,3.31,3.31,0,6,0,2,0,1,3,0.0,3.97,0.0,1.32,0.0,0.66,1.99
國立,職業科,綜合,879,2,0,80,9,0,1,0,0,0,0,0,0,0,10.47,0.23,0.0,9.1,1.02,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,83,4,1,9,65,7,143,0,1,0,21,62,0,1,7,9,98,61.09,2.5,0.46,9.44,0.46,0.11,1.02,7.39,0.8,16.27,0.0,0.11,0.0,2.39,7.05,0.0,0.11,0.8,1.02,11.15,25,3,141,2,25,0,33,2.84,0.34,16.04,0.23,2.84,0.0,3.75
國立,綜合高中,,6293,1460,47,4278,58,2,1,0,0,0,82,101,17,18,96.3610360718,23.2003813761,0.7468615922,67.9802955665,0.9216589862,0.0317813444,0.0158906722,0.0,0.0,0.0,1.3030351184,1.6049578897,0.270141427,0.2860320992,0,0,1,0,0,2,3,0,11,1,0,0,0,0,10,0,0,5,24,0.905768314,0.0,0.0,0.0158906722,0.0,0.0,0.0317813444,0.0476720165,0.0,0.1747973939,0.0158906722,0.0,0.0,0.0,0.0,0.1589067218,0.0,0.0,0.0794533609,0.3813761322,1,17,4,110,1,4,11,0.0158906722,0.270141427,0.0635626887,1.7479739393,0.0158906722,0.0635626887,0.1747973939
國立,綜合高中,機械群,251,77,5,115,10,0,0,0,0,0,0,2,0,0,83.27,30.68,1.99,45.82,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,3,0,3,1,0,1,1,1,1,0,0,0,1,3,12,1,0,0,1,11.55,1.2,0.0,1.2,0.4,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.4,1.2,4.78,0.4,0.0,0.0,0.4,0,4,1,2,1,0,5,0.0,1.59,0.4,0.8,0.4,0.0,1.99
國立,綜合高中,動力機械群,31,0,4,6,1,0,0,0,0,2,0,0,0,0,41.94,0.0,12.9,19.35,3.23,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,38.71,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,0,6,0,0,0,0,0,0.0,19.35,0.0,0.0,0.0,0.0,0.0
