設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,25395,11077,129,11455,114,1,0,0,0,39,341,446,305,25,94.24,43.62,0.51,45.11,0.45,0.0,0.0,0.0,0.0,0.15,1.34,1.76,1.2,0.1,11,4,18,0,1,14,8,3,49,5,4,0,8,22,101,4,1,30,29,1.23,0.04,0.02,0.07,0.0,0.0,0.06,0.03,0.01,0.19,0.02,0.02,0.0,0.03,0.09,0.4,0.02,0.0,0.12,0.11,17,76,14,893,6,9,75,0.07,0.3,0.06,3.52,0.02,0.04,0.3
國立,專業群科,機械群,3201,939,195,1193,209,17,5,5,5,1,7,51,1,1,82.13,29.33,6.09,37.27,6.53,0.53,0.16,0.16,0.16,0.03,0.22,1.59,0.03,0.03,20,3,135,6,1,18,4,6,35,3,0,0,14,8,53,0,0,4,15,10.15,0.62,0.09,4.22,0.19,0.03,0.56,0.12,0.19,1.09,0.09,0.0,0.0,0.44,0.25,1.66,0.0,0.0,0.12,0.47,11,79,49,48,2,0,7,0.34,2.47,1.53,1.5,0.06,0.0,0.22
國立,專業群科,動力機械群,996,153,67,271,61,20,4,0,0,0,8,18,0,0,60.44,15.36,6.73,27.21,6.12,2.01,0.4,0.0,0.0,0.0,0.8,1.81,0.0,0.0,21,1,30,6,0,10,19,16,16,2,0,0,60,2,67,0,0,2,8,26.1,2.11,0.1,3.01,0.6,0.0,1.0,1.91,1.61,1.61,0.2,0.0,0.0,6.02,0.2,6.73,0.0,0.0,0.2,0.8,2,69,33,9,1,0,3,0.2,6.93,3.31,0.9,0.1,0.0,0.3
國立,專業群科,電機與電子群,3672,1141,133,1520,147,40,1,1,0,0,6,48,0,0,82.71,31.07,3.62,41.39,4.0,1.09,0.03,0.03,0.0,0.0,0.16,1.31,0.0,0.0,35,0,62,18,0,16,16,7,70,2,0,0,41,5,85,1,0,12,20,10.62,0.95,0.0,1.69,0.49,0.0,0.44,0.44,0.19,1.91,0.05,0.0,0.0,1.12,0.14,2.31,0.03,0.0,0.33,0.54,14,94,18,45,8,4,13,0.38,2.56,0.49,1.23,0.22,0.11,0.35
國立,專業群科,化工群,836,425,20,296,7,2,0,1,0,0,1,12,0,0,91.39,50.84,2.39,35.41,0.84,0.24,0.0,0.12,0.0,0.0,0.12,1.44,0.0,0.0,0,0,13,0,0,0,1,0,5,0,0,0,0,0,5,0,3,4,4,4.19,0.0,0.0,1.56,0.0,0.0,0.0,0.12,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.36,0.48,0.48,0,11,8,6,1,1,1,0.0,1.32,0.96,0.72,0.12,0.12,0.12
國立,專業群科,土木與建築群,949,278,77,368,40,14,0,0,0,0,2,8,2,0,83.14,29.29,8.11,38.78,4.21,1.48,0.0,0.0,0.0,0.0,0.21,0.84,0.21,0.0,11,0,6,0,0,18,5,0,11,2,0,0,5,0,23,0,1,0,9,9.59,1.16,0.0,0.63,0.0,0.0,1.9,0.53,0.0,1.16,0.21,0.0,0.0,0.53,0.0,2.42,0.0,0.11,0.0,0.95,2,14,15,23,1,0,10,0.21,1.48,1.58,2.42,0.11,0.0,1.05
國立,專業群科,商業與管理群,5553,1826,252,2813,105,8,1,0,1,0,3,59,9,0,91.43,32.88,4.54,50.66,1.89,0.14,0.02,0.0,0.02,0.0,0.05,1.06,0.16,0.0,9,0,10,2,0,4,40,11,77,5,4,1,2,8,70,0,4,18,31,5.33,0.16,0.0,0.18,0.04,0.0,0.07,0.72,0.2,1.39,0.09,0.07,0.02,0.04,0.14,1.26,0.0,0.07,0.32,0.56,4,53,17,48,1,2,18,0.07,0.95,0.31,0.86,0.02,0.04,0.32
國立,專業群科,外語群,884,380,22,430,10,0,0,0,0,2,2,7,5,0,97.06,42.99,2.49,48.64,1.13,0.0,0.0,0.0,0.0,0.23,0.23,0.79,0.57,0.0,0,0,1,1,0,0,2,0,4,0,0,0,0,0,3,0,1,0,0,1.36,0.0,0.0,0.11,0.11,0.0,0.0,0.23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.11,0.0,0.0,0,2,2,6,1,0,0,0.0,0.23,0.23,0.68,0.11,0.0,0.0
國立,專業群科,設計群,1065,207,7,729,18,1,0,0,0,0,3,5,2,0,91.27,19.44,0.66,68.45,1.69,0.09,0.0,0.0,0.0,0.0,0.28,0.47,0.19,0.0,5,0,3,0,0,5,3,0,13,3,0,0,3,0,8,0,1,0,4,4.51,0.47,0.0,0.28,0.0,0.0,0.47,0.28,0.0,1.22,0.28,0.0,0.0,0.28,0.0,0.75,0.0,0.09,0.0,0.38,5,9,12,15,0,0,1,0.47,0.85,1.13,1.41,0.0,0.0,0.09
國立,專業群科,農業群,1414,478,102,446,28,22,0,0,0,0,1,3,0,0,76.38,33.8,7.21,31.54,1.98,1.56,0.0,0.0,0.0,0.0,0.07,0.21,0.0,0.0,42,0,21,2,0,4,11,3,45,0,0,0,5,7,57,0,2,18,23,16.97,2.97,0.0,1.49,0.14,0.0,0.28,0.78,0.21,3.18,0.0,0.0,0.0,0.35,0.5,4.03,0.0,0.14,1.27,1.63,4,24,42,8,4,0,10,0.28,1.7,2.97,0.57,0.28,0.0,0.71
