,年份,設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
10,102,國立,職業科,食品群,1297,293,100,680,26,1,0,0,0,0,0,25,0,1,86.82,22.59,7.71,52.43,2.0,0.08,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.08,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18,9.02,0.15,0.15,0.46,0.23,0.0,0.39,1.08,0.0,2.08,0.15,0.0,0.0,0.46,0.08,2.31,0.0,0.08,0.0,1.39,5,12,16,6,3,2,5,0.39,0.93,1.23,0.46,0.23,0.15,0.39
11,102,國立,職業科,家政群,1414,308,24,832,72,19,2,20,3,0,0,8,2,0,91.23,21.78,1.7,58.84,5.09,1.34,0.14,1.41,0.21,0.0,0.0,0.57,0.14,0.0,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31,6.58,0.28,0.0,0.64,0.0,0.0,0.0,0.28,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.42,0.07,0.07,0.5,2.19,0,4,11,4,2,0,5,0.0,0.28,0.78,0.28,0.14,0.0,0.35
12,102,國立,職業科,餐旅群,978,276,79,478,14,1,2,3,1,0,0,3,1,0,87.73,28.22,8.08,48.88,1.43,0.1,0.2,0.31,0.1,0.0,0.0,0.31,0.1,0.0,2,1,3,1,2,1,7,2,44,1,1,0,1,0,17,0,0,0,22,10.74,0.2,0.1,0.31,0.1,0.2,0.1,0.72,0.2,4.5,0.1,0.1,0.0,0.1,0.0,1.74,0.0,0.0,0.0,2.25,0,7,1,2,2,0,3,0.0,0.72,0.1,0.2,0.2,0.0,0.31
13,102,國立,職業科,水產群,305,140,13,60,6,0,0,4,0,0,0,6,0,1,75.41,45.9,4.26,19.67,1.97,0.0,0.0,1.31,0.0,0.0,0.0,1.97,0.0,0.33,2,0,6,2,1,2,6,1,6,0,0,0,3,3,7,0,2,0,21,20.33,0.66,0.0,1.97,0.66,0.33,0.66,1.97,0.33,1.97,0.0,0.0,0.0,0.98,0.98,2.3,0.0,0.66,0.0,6.89,0,5,4,0,1,0,1,0.0,1.64,1.31,0.0,0.33,0.0,0.33
14,102,國立,職業科,海事群,269,82,5,56,3,1,0,17,1,0,0,3,0,0,62.45,30.48,1.86,20.82,1.12,0.37,0.0,6.32,0.37,0.0,0.0,1.12,0.0,0.0,1,0,2,6,0,3,2,10,6,1,0,0,4,0,26,0,0,2,3,24.54,0.37,0.0,0.74,2.23,0.0,1.12,0.74,3.72,2.23,0.37,0.0,0.0,1.49,0.0,9.67,0.0,0.0,0.74,1.12,4,17,2,1,0,0,4,1.49,6.32,0.74,0.37,0.0,0.0,1.49
15,102,國立,職業科,藝術群,151,97,5,20,2,0,0,0,0,0,0,0,0,0,82.12,64.24,3.31,13.25,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,5,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.0,0.0,0.66,0.0,0.0,3.31,3.31,0,6,0,2,0,1,3,0.0,3.97,0.0,1.32,0.0,0.66,1.99
16,102,國立,職業科,綜合,879,2,0,80,9,0,1,0,0,0,0,0,0,0,10.47,0.23,0.0,9.1,1.02,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,83,4,1,9,65,7,143,0,1,0,21,62,0,1,7,9,98,61.09,2.5,0.46,9.44,0.46,0.11,1.02,7.39,0.8,16.27,0.0,0.11,0.0,2.39,7.05,0.0,0.11,0.8,1.02,11.15,25,3,141,2,25,0,33,2.84,0.34,16.04,0.23,2.84,0.0,3.75
17,102,國立,綜合高中,無,6293,1460,47,4278,58,2,1,0,0,0,82,101,17,18,96.3610360718,23.2003813761,0.7468615922,67.9802955665,0.9216589862,0.0317813444,0.0158906722,0.0,0.0,0.0,1.3030351184,1.6049578897,0.270141427,0.2860320992,0,0,1,0,0,2,3,0,11,1,0,0,0,0,10,0,0,5,24,0.905768314,0.0,0.0,0.0158906722,0.0,0.0,0.0317813444,0.0476720165,0.0,0.1747973939,0.0158906722,0.0,0.0,0.0,0.0,0.1589067218,0.0,0.0,0.0794533609,0.3813761322,1,17,4,110,1,4,11,0.0158906722,0.270141427,0.0635626887,1.7479739393,0.0158906722,0.0635626887,0.1747973939
18,102,國立,綜合高中,機械群,251,77,5,115,10,0,0,0,0,0,0,2,0,0,83.27,30.68,1.99,45.82,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,3,0,3,1,0,1,1,1,1,0,0,0,1,3,12,1,0,0,1,11.55,1.2,0.0,1.2,0.4,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.4,1.2,4.78,0.4,0.0,0.0,0.4,0,4,1,2,1,0,5,0.0,1.59,0.4,0.8,0.4,0.0,1.99
19,102,國立,綜合高中,動力機械群,31,0,4,6,1,0,0,0,0,2,0,0,0,0,41.94,0.0,12.9,19.35,3.23,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,38.71,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,0,6,0,0,0,0,0,0.0,19.35,0.0,0.0,0.0,0.0,0.0
20,102,國立,綜合高中,電機與電子群,396,86,4,232,25,0,0,0,0,0,0,11,0,7,92.17,21.72,1.01,58.59,6.31,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,1.77,0,0,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,4.04,0.0,0.0,2.02,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,2,8,0,0,0,1,2,0.51,2.02,0.0,0.0,0.0,0.25,0.51
21,102,國立,綜合高中,化工群,71,23,5,38,0,0,0,0,0,0,0,2,0,0,95.77,32.39,7.04,53.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,1.41,0,0,0,1,0,0,0,0.0,0.0,0.0,1.41,0.0,0.0,0.0
22,102,國立,綜合高中,土木與建築群,215,68,14,110,9,1,0,0,0,0,0,2,0,0,94.88,31.63,6.51,51.16,4.19,0.47,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2.79,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.47,0,1,2,1,0,0,1,0.0,0.47,0.93,0.47,0.0,0.0,0.47
23,102,國立,綜合高中,商業與管理群,1672,305,50,1075,39,3,0,1,0,0,0,10,3,0,88.88,18.24,2.99,64.29,2.33,0.18,0.0,0.06,0.0,0.0,0.0,0.6,0.18,0.0,1,1,9,1,0,9,12,2,13,1,0,0,1,4,47,0,1,5,8,6.88,0.06,0.06,0.54,0.06,0.0,0.54,0.72,0.12,0.78,0.06,0.0,0.0,0.06,0.24,2.81,0.0,0.06,0.3,0.48,2,30,10,7,0,1,7,0.12,1.79,0.6,0.42,0.0,0.06,0.42
24,102,國立,綜合高中,外語群,294,42,6,218,2,1,0,0,0,0,0,3,0,0,92.52,14.29,2.04,74.15,0.68,0.34,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,2,1,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.36,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.68,0.34,0,0,1,1,0,0,1,0.0,0.0,0.34,0.34,0.0,0.0,0.34
25,102,國立,綜合高中,設計群,390,41,1,287,21,0,0,0,0,0,0,2,0,0,90.26,10.51,0.26,73.59,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,1,4,0,3.59,0.26,0.0,0.51,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.26,1.03,0.0,2,4,0,2,0,0,6,0.51,1.03,0.0,0.51,0.0,0.0,1.54
26,102,國立,綜合高中,農業群,95,39,0,38,4,0,0,0,0,0,0,0,0,0,85.26,41.05,0.0,40.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,10.53,2.11,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.05,0.0,3.16,0.0,0.0,0.0,3.16,0,3,0,1,0,0,0,0.0,3.16,0.0,1.05,0.0,0.0,0.0
27,102,國立,綜合高中,食品群,279,62,22,139,16,6,0,1,0,0,0,4,0,0,89.61,22.22,7.89,49.82,5.73,2.15,0.0,0.36,0.0,0.0,0.0,1.43,0.0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,1,2,6,0,0,2,7,8.6,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.36,0.72,2.15,0.0,0.0,0.72,2.51,0,0,4,0,0,0,0,0.0,0.0,1.43,0.0,0.0,0.0,0.0
28,102,國立,綜合高中,家政群,108,5,4,80,3,0,0,0,0,0,0,0,0,0,85.19,4.63,3.7,74.07,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,12.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.93,10.19,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
29,102,國立,綜合高中,餐旅群,566,79,6,355,6,1,0,3,1,0,0,7,0,0,80.92,13.96,1.06,62.72,1.06,0.18,0.0,0.53,0.18,0.0,0.0,1.24,0.0,0.0,1,1,0,2,0,1,6,0,29,0,0,0,1,1,11,0,0,6,15,13.07,0.18,0.18,0.0,0.35,0.0,0.18,1.06,0.0,5.12,0.0,0.0,0.0,0.18,0.18,1.94,0.0,0.0,1.06,2.65,0,20,4,2,1,0,4,0.0,3.53,0.71,0.35,0.18,0.0,0.71
30,102,國立,綜合高中,水產群,28,11,0,3,0,0,0,0,0,0,0,0,0,0,50.0,39.29,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29,0.0,0.0,0.0,3.57,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,7.14
31,102,國立,綜合高中,海事群,19,9,0,7,0,0,0,0,0,0,0,0,0,0,84.21,47.37,0.0,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,10.53
32,102,國立,綜合高中,藝術群,9,1,0,5,0,0,0,0,0,0,0,0,0,0,66.67,11.11,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,11.11,0.0,0.0,0.0,0.0,0.0
33,102,國立,綜合高中,綜合,11,1,0,7,2,0,0,0,0,0,0,0,0,0,90.91,9.09,0.0,63.64,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,9.09,0.0,0.0,0.0
34,102,國立,實用技能學程,機械群,437,18,20,148,61,0,0,0,2,0,0,2,1,0,57.67,4.12,4.58,33.87,13.96,0.0,0.0,0.0,0.46,0.0,0.0,0.46,0.23,0.0,8,1,44,2,0,2,13,1,17,1,0,0,11,14,16,0,0,2,6,31.58,1.83,0.23,10.07,0.46,0.0,0.46,2.97,0.23,3.89,0.23,0.0,0.0,2.52,3.2,3.66,0.0,0.0,0.46,1.37,2,18,2,2,2,1,10,0.46,4.12,0.46,0.46,0.46,0.23,2.29
35,102,國立,實用技能學程,動力機械群,167,5,2,31,22,0,0,0,1,0,0,0,0,0,36.53,2.99,1.2,18.56,13.17,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1,1,10,2,0,3,4,7,7,2,0,0,14,5,11,0,0,0,8,44.91,0.6,0.6,5.99,1.2,0.0,1.8,2.4,4.19,4.19,1.2,0.0,0.0,8.38,2.99,6.59,0.0,0.0,0.0,4.79,0,17,9,0,0,0,2,0.0,10.18,5.39,0.0,0.0,0.0,1.2
36,102,國立,實用技能學程,電機與電子群,762,24,41,163,132,0,11,10,2,0,1,2,0,0,50.66,3.15,5.38,21.39,17.32,0.0,1.44,1.31,0.26,0.0,0.13,0.26,0.0,0.0,30,19,75,12,1,9,7,10,30,5,0,0,12,0,16,0,1,5,30,34.38,3.94,2.49,9.84,1.57,0.13,1.18,0.92,1.31,3.94,0.66,0.0,0.0,1.57,0.0,2.1,0.0,0.13,0.66,3.94,7,66,16,4,0,0,12,0.92,8.66,2.1,0.52,0.0,0.0,1.57
37,102,國立,實用技能學程,土木與建築群,132,9,9,59,19,1,0,0,0,0,0,0,0,0,73.48,6.82,6.82,44.7,14.39,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,2,0,5,0,0,3,0,1,0,4,1,0,0,1,0,1,19.7,2.27,3.03,0.76,1.52,0.0,3.79,0.0,0.0,2.27,0.0,0.76,0.0,3.03,0.76,0.0,0.0,0.76,0.0,0.76,0,7,2,0,0,0,0,0.0,5.3,1.52,0.0,0.0,0.0,0.0
38,102,國立,實用技能學程,商業與管理群,677,14,17,287,104,5,2,1,0,0,0,0,0,0,63.52,2.07,2.51,42.39,15.36,0.74,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,3,0,19,3,0,6,25,6,28,3,1,0,23,2,25,1,6,16,32,29.39,0.44,0.0,2.81,0.44,0.0,0.89,3.69,0.89,4.14,0.44,0.15,0.0,3.4,0.3,3.69,0.15,0.89,2.36,4.73,7,21,5,1,1,0,7,1.03,3.1,0.74,0.15,0.15,0.0,1.03
39,102,國立,實用技能學程,設計群,167,6,2,57,27,2,1,0,0,0,0,2,0,0,58.08,3.59,1.2,34.13,16.17,1.2,0.6,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0,0,5,0,0,1,9,1,13,0,0,0,3,0,1,0,2,0,13,28.74,0.0,0.0,2.99,0.0,0.0,0.6,5.39,0.6,7.78,0.0,0.0,0.0,1.8,0.0,0.6,0.0,1.2,0.0,7.78,2,10,3,2,0,0,2,1.2,5.99,1.8,1.2,0.0,0.0,1.2
40,102,國立,實用技能學程,農業群,181,9,6,75,20,7,3,0,0,0,0,3,0,0,67.96,4.97,3.31,41.44,11.05,3.87,1.66,0.0,0.0,0.0,0.0,1.66,0.0,0.0,9,0,1,1,0,0,3,1,10,0,1,0,1,2,1,1,0,1,1,18.23,4.97,0.0,0.55,0.55,0.0,0.0,1.66,0.55,5.52,0.0,0.55,0.0,0.55,1.1,0.55,0.55,0.0,0.55,0.55,0,12,3,2,1,0,3,0.0,6.63,1.66,1.1,0.55,0.0,1.66
41,102,國立,實用技能學程,食品群,285,7,6,81,61,0,0,8,0,0,0,5,0,0,58.95,2.46,2.11,28.42,21.4,0.0,0.0,2.81,0.0,0.0,0.0,1.75,0.0,0.0,2,0,19,1,0,1,3,1,40,1,0,0,2,1,1,0,0,1,6,27.72,0.7,0.0,6.67,0.35,0.0,0.35,1.05,0.35,14.04,0.35,0.0,0.0,0.7,0.35,0.35,0.0,0.0,0.35,2.11,1,19,7,0,0,0,3,0.35,6.67,2.46,0.0,0.0,0.0,1.05
42,102,國立,實用技能學程,餐旅群,423,9,2,182,69,0,0,2,0,0,0,0,0,0,62.41,2.13,0.47,43.03,16.31,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,3,0,5,1,0,4,6,6,59,0,1,1,1,2,11,1,0,5,19,29.55,0.71,0.0,1.18,0.24,0.0,0.95,1.42,1.42,13.95,0.0,0.24,0.24,0.24,0.47,2.6,0.24,0.0,1.18,4.49,1,5,13,3,1,0,4,0.24,1.18,3.07,0.71,0.24,0.0,0.95
43,102,國立,實用技能學程,水產群,35,14,2,8,2,0,0,0,0,0,0,0,0,0,74.29,40.0,5.71,22.86,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,5.71,0.0,0.0,0.0,0.0,0.0
44,102,國立,實用技能學程,海事群,62,7,0,24,4,0,0,0,0,0,0,0,0,0,56.45,11.29,0.0,38.71,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,19.35,4.84,0.0,8.06,1.61,0.0,1.61,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,0,0,0,0.0,24.19,0.0,0.0,0.0,0.0,0.0
