升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率,年份_102,年份_103,年份_104,年份_105,年份_106,年份_107,年份_108,年份_109,年份_110,設立別_國立,設立別_私立,設立別_縣市立,學程別_實用技能學程,學程別_專業群科,學程別_普通科,學程別_綜合高中,學程別_職業科,學程別_進修部,群科別_其他(綜合),群科別_動力機械群,群科別_化工群,群科別_商業群,群科別_商業與管理群,群科別_土木與建築群,群科別_外語群,群科別_學術學程,群科別_學術群,群科別_家政群,群科別_普通科,群科別_服務群,群科別_機械群,群科別_水產群,群科別_海事群,群科別_無,群科別_綜合,群科別_美容造型群,群科別_藝術群,群科別_設計群,群科別_農業群,群科別_電機與電子群,群科別_食品群,群科別_餐旅群
22.59,7.71,52.43,2.0,0.08,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.08,0.15,0.15,0.46,0.23,0.0,0.39,1.08,0.0,2.08,0.15,0.0,0.0,0.46,0.08,2.31,0.0,0.08,0.0,1.39,0.39,0.93,1.23,0.46,0.23,0.15,0.39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21.78,1.7,58.84,5.09,1.34,0.14,1.41,0.21,0.0,0.0,0.57,0.14,0.0,0.28,0.0,0.64,0.0,0.0,0.0,0.28,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.42,0.07,0.07,0.5,2.19,0.0,0.28,0.78,0.28,0.14,0.0,0.35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.22,8.08,48.88,1.43,0.1,0.2,0.31,0.1,0.0,0.0,0.31,0.1,0.0,0.2,0.1,0.31,0.1,0.2,0.1,0.72,0.2,4.5,0.1,0.1,0.0,0.1,0.0,1.74,0.0,0.0,0.0,2.25,0.0,0.72,0.1,0.2,0.2,0.0,0.31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.9,4.26,19.67,1.97,0.0,0.0,1.31,0.0,0.0,0.0,1.97,0.0,0.33,0.66,0.0,1.97,0.66,0.33,0.66,1.97,0.33,1.97,0.0,0.0,0.0,0.98,0.98,2.3,0.0,0.66,0.0,6.89,0.0,1.64,1.31,0.0,0.33,0.0,0.33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30.48,1.86,20.82,1.12,0.37,0.0,6.32,0.37,0.0,0.0,1.12,0.0,0.0,0.37,0.0,0.74,2.23,0.0,1.12,0.74,3.72,2.23,0.37,0.0,0.0,1.49,0.0,9.67,0.0,0.0,0.74,1.12,1.49,6.32,0.74,0.37,0.0,0.0,1.49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64.24,3.31,13.25,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.0,0.0,0.66,0.0,0.0,3.31,3.31,0.0,3.97,0.0,1.32,0.0,0.66,1.99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.23,0.0,9.1,1.02,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.46,9.44,0.46,0.11,1.02,7.39,0.8,16.27,0.0,0.11,0.0,2.39,7.05,0.0,0.11,0.8,1.02,11.15,2.84,0.34,16.04,0.23,2.84,0.0,3.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.2003813761,0.7468615922,67.9802955665,0.9216589862,0.0317813444,0.0158906722,0.0,0.0,0.0,1.3030351184,1.6049578897,0.270141427,0.2860320992,0.0,0.0,0.0158906722,0.0,0.0,0.0317813444,0.0476720165,0.0,0.1747973939,0.0158906722,0.0,0.0,0.0,0.0,0.1589067218,0.0,0.0,0.0794533609,0.3813761322,0.0158906722,0.270141427,0.0635626887,1.7479739393,0.0158906722,0.0635626887,0.1747973939,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.68,1.99,45.82,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,1.2,0.4,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.4,1.2,4.78,0.4,0.0,0.0,0.4,0.0,1.59,0.4,0.8,0.4,0.0,1.99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,12.9,19.35,3.23,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,0.0,19.35,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
