設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,普通科,普通科,34072,15803,107,15669,83,2,0,0,0,53,451,434,230,8,96.384127729514,46.3811927682555,0.314040854660718,45.9879079596149,0.243601784456445,0.005869922517023,0,0,0,0.155552946701104,1.32366752758864,1.27377318619394,0.675041089457619,0.023479690068091
國立,專業群(職業)科,機械群,4353,1379,343,1717,214,24,2,7,2,0,4,57,2,0,86.1704571559844,31.679301631059,7.87962324833448,39.4440615667356,4.91614978175971,0.551343900758098,0.045945325063175,0.160808637721112,0.045945325063175,0,0.09189065012635,1.30944176430048,0.045945325063175,0
國立,專業群(職業)科,動力機械群,1279,268,76,480,92,14,0,0,0,0,2,13,0,0,73.8858483189992,20.9538702111024,5.94214229867084,37.529319781079,7.1931196247068,1.09460516028147,0,0,0,0,0.156372165754496,1.01641907740422,0,0
國立,專業群(職業)科,電機與電子群,5101,1935,267,2012,103,26,5,2,2,0,6,112,5,2,87.7671044893158,37.9337384826505,5.23426779062929,39.4432464222701,2.01921191923152,0.509703979611841,0.0980199960792,0.03920799843168,0.03920799843168,0,0.11762399529504,2.19564791217408,0.0980199960792,0.03920799843168
國立,專業群(職業)科,化工群,1208,494,21,564,33,1,0,2,2,1,3,7,2,0,93.5430463576159,40.8940397350993,1.73841059602649,46.6887417218543,2.7317880794702,0.082781456953642,0,0.165562913907285,0.165562913907285,0.082781456953642,0.248344370860927,0.579470198675497,0.165562913907285,0
國立,專業群(職業)科,土木與建築群,1230,345,52,569,45,19,1,1,0,0,2,17,2,0,85.609756097561,28.0487804878049,4.22764227642276,46.260162601626,3.65853658536585,1.54471544715447,0.08130081300813,0.08130081300813,0,0,0.16260162601626,1.38211382113821,0.16260162601626,0
國立,專業群(職業)科,商業與管理群,7676,2753,258,3975,108,9,8,2,2,0,6,87,7,3,94.0333507034914,35.8650338718082,3.36112558624283,51.784783741532,1.40698280354351,0.117248566961959,0.104220948410631,0.026055237102658,0.026055237102658,0,0.078165711307973,1.13340281396561,0.091193329859302,0.039082855653986
國立,專業群(職業)科,外語群,974,500,11,424,2,1,0,0,0,1,0,7,2,0,97.3305954825462,51.3347022587269,1.12936344969199,43.5318275154004,0.205338809034908,0.102669404517454,0,0,0,0.102669404517454,0,0.718685831622177,0.205338809034908,0
國立,專業群(職業)科,設計群,1297,267,21,885,27,0,0,1,0,0,0,7,3,0,93.3693138010794,20.585967617579,1.61912104857363,68.2343870470316,2.08172706245181,0,0,0.07710100231303,0,0,0,0.539707016191211,0.23130300693909,0
國立,專業群(職業)科,農業群,1761,540,84,700,36,32,0,2,3,1,0,9,3,0,80.0681431005111,30.664395229983,4.77001703577513,39.7501419647927,2.0442930153322,1.81714934696195,0,0.113571834185122,0.170357751277683,0.056785917092561,0,0.511073253833049,0.170357751277683,0
國立,專業群(職業)科,食品群,1311,308,82,615,36,3,2,0,0,0,0,15,1,0,81.0068649885583,23.4935163996949,6.25476735316552,46.9107551487414,2.74599542334096,0.22883295194508,0.15255530129672,0,0,0,0,1.1441647597254,0.07627765064836,0
國立,專業群(職業)科,家政群,1430,274,22,911,24,14,10,1,3,0,0,21,0,1,89.5804195804196,19.1608391608392,1.53846153846154,63.7062937062937,1.67832167832168,0.979020979020979,0.699300699300699,0.06993006993007,0.20979020979021,0,0,1.46853146853147,0,0.06993006993007
國立,專業群(職業)科,餐旅群,1053,258,24,579,21,15,4,0,0,0,1,7,2,0,86.5147198480532,24.5014245014245,2.27920227920228,54.985754985755,1.99430199430199,1.42450142450142,0.379867046533713,0,0,0,0.094966761633428,0.664767331433998,0.189933523266857,0
國立,專業群(職業)科,水產群,242,123,7,33,2,0,0,0,0,0,0,0,0,0,68.1818181818182,50.8264462809917,2.89256198347107,13.6363636363636,0.826446280991735,0,0,0,0,0,0,0,0,0
國立,專業群(職業)科,海事群,288,93,4,31,6,0,0,0,0,0,0,1,0,0,46.875,32.2916666666667,1.38888888888889,10.7638888888889,2.08333333333333,0,0,0,0,0,0,0.347222222222222,0,0
國立,專業群(職業)科,藝術群,132,72,0,41,0,0,0,0,0,0,0,0,1,0,86.3636363636364,54.5454545454546,0,31.0606060606061,0,0,0,0,0,0,0,0,0.757575757575758,0
國立,專業群(職業)科,綜合,881,9,8,76,5,1,0,0,1,0,0,0,0,2,11.577752553916,1.02156640181612,0.908059023836549,8.62656072644722,0.567536889897843,0.113507377979569,0,0,0.113507377979569,0,0,0,0,0.227014755959137
國立,綜合高中,學術群,4856,1176,20,3238,34,1,2,1,0,1,73,91,44,0,96.3962108731466,24.2174629324547,0.411861614497529,66.6803953871499,0.700164744645799,0.020593080724876,0.041186161449753,0.020593080724876,0,0.020593080724876,1.50329489291598,1.87397034596376,0.906095551894564,0
國立,綜合高中,機械群,264,111,3,93,1,0,0,0,0,0,0,7,0,0,81.4393939393939,42.0454545454546,1.13636363636364,35.2272727272727,0.378787878787879,0,0,0,0,0,0,2.65151515151515,0,0
國立,綜合高中,動力機械群,31,1,0,8,0,0,0,0,0,0,0,0,0,0,29.0322580645161,3.2258064516129,0,25.8064516129032,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,電機與電子群,349,91,4,183,18,1,0,0,0,0,1,3,0,0,86.2464183381089,26.0744985673352,1.14613180515759,52.4355300859599,5.15759312320917,0.286532951289398,0,0,0,0,0.286532951289398,0.859598853868195,0,0
國立,綜合高中,化工群,55,27,3,21,2,0,0,0,0,0,0,1,0,0,98.1818181818182,49.0909090909091,5.45454545454545,38.1818181818182,3.63636363636364,0,0,0,0,0,0,1.81818181818182,0,0
國立,綜合高中,土木與建築群,194,75,5,89,14,0,0,0,0,0,0,4,0,0,96.3917525773196,38.659793814433,2.57731958762887,45.8762886597938,7.21649484536083,0,0,0,0,0,0,2.06185567010309,0,0
國立,綜合高中,商業與管理群,1217,264,24,752,26,4,0,0,0,0,1,13,4,0,89.4001643385374,21.6926869350863,1.97206244864421,61.7912900575185,2.13640098603122,0.328677074774034,0,0,0,0,0.082169268693509,1.06820049301561,0.328677074774034,0
