設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
國立,普通科,,34267,15733,73,16005,141,0,1,6,3,48,407,458,226,7,96.6177371815,45.9129775002,0.2130329472,46.7067440978,0.4114745966,0,0.0029182596,0.0175095573,0.0087547787,0.1400764584,1.1877316369,1.3365628739,0.6595266583,0.0204278169
國立,職業科,機械群,4502,1356,416,1828,296,21,0,4,4,0,2,90,1,4,89.34,30.12,9.24,40.6,6.57,0.47,0,0.09,0.09,0,0.04,2,0.02,0.09
國立,職業科,動力機械群,1239,308,47,466,65,12,7,0,1,0,2,34,0,0,76.03,24.86,3.79,37.61,5.25,0.97,0.56,0,0.08,0,0.16,2.74,0,0
國立,職業科,電機與電子群,5195,1762,171,2478,122,18,4,5,6,0,3,101,0,2,89.93,33.92,3.29,47.7,2.35,0.35,0.08,0.1,0.12,0,0.06,1.94,0,0.04
國立,職業科,化工群,1268,566,35,537,32,2,1,0,1,0,0,26,0,0,94.64,44.64,2.76,42.35,2.52,0.16,0.08,0,0.08,0,0,2.05,0,0
國立,職業科,土木與建築群,1267,316,67,676,30,25,1,2,2,0,0,21,1,1,90.13,24.94,5.29,53.35,2.37,1.97,0.08,0.16,0.16,0,0,1.66,0.08,0.08
國立,職業科,商業與管理群,7990,2663,440,4304,99,1,4,3,2,1,1,62,5,2,94.96,33.33,5.51,53.87,1.24,0.01,0.05,0.04,0.03,0.01,0.01,0.78,0.06,0.03
國立,職業科,外語群,887,496,8,359,5,0,1,0,0,0,1,1,2,1,98.53,55.92,0.9,40.47,0.56,0,0.11,0,0,0,0.11,0.11,0.23,0.11
國立,職業科,設計群,1193,266,88,728,16,0,0,0,0,0,1,13,1,1,93.38,22.3,7.38,61.02,1.34,0,0,0,0,0,0.08,1.09,0.08,0.08
國立,職業科,農業群,1803,498,97,776,64,36,0,1,0,0,2,14,0,1,82.58,27.62,5.38,43.04,3.55,2,0,0.06,0,0,0.11,0.78,0,0.06
國立,職業科,食品群,1297,293,100,680,26,1,0,0,0,0,0,25,0,1,86.82,22.59,7.71,52.43,2,0.08,0,0,0,0,0,1.93,0,0.08
國立,職業科,家政群,1414,308,24,832,72,19,2,20,3,0,0,8,2,0,91.23,21.78,1.7,58.84,5.09,1.34,0.14,1.41,0.21,0,0,0.57,0.14,0
國立,職業科,餐旅群,978,276,79,478,14,1,2,3,1,0,0,3,1,0,87.73,28.22,8.08,48.88,1.43,0.1,0.2,0.31,0.1,0,0,0.31,0.1,0
國立,職業科,水產群,305,140,13,60,6,0,0,4,0,0,0,6,0,1,75.41,45.9,4.26,19.67,1.97,0,0,1.31,0,0,0,1.97,0,0.33
國立,職業科,海事群,269,82,5,56,3,1,0,17,1,0,0,3,0,0,62.45,30.48,1.86,20.82,1.12,0.37,0,6.32,0.37,0,0,1.12,0,0
國立,職業科,藝術群,151,97,5,20,2,0,0,0,0,0,0,0,0,0,82.12,64.24,3.31,13.25,1.32,0,0,0,0,0,0,0,0,0
國立,職業科,綜合,879,2,0,80,9,0,1,0,0,0,0,0,0,0,10.47,0.23,0,9.1,1.02,0,0.11,0,0,0,0,0,0,0
國立,綜合高中,,6293,1460,47,4278,58,2,1,0,0,0,82,101,17,18,96.3610360718,23.2003813761,0.7468615922,67.9802955665,0.9216589862,0.0317813444,0.0158906722,0,0,0,1.3030351184,1.6049578897,0.270141427,0.2860320992
國立,綜合高中,,4435,849,121,2715,138,12,0,5,1,2,0,43,3,7,87.8466741826,19.1431792559,2.7282976325,61.2175873732,3.1116121759,0.2705749718,0,0.1127395716,0.0225479143,0.0450958286,0,0.9695603157,0.067643743,0.1578354002
國立,綜合高中,機械群,251,77,5,115,10,0,0,0,0,0,0,2,0,0,83.27,30.68,1.99,45.82,3.98,0,0,0,0,0,0,0.8,0,0
國立,綜合高中,動力機械群,31,0,4,6,1,0,0,0,0,2,0,0,0,0,41.94,0,12.9,19.35,3.23,0,0,0,0,6.45,0,0,0,0
國立,綜合高中,電機與電子群,396,86,4,232,25,0,0,0,0,0,0,11,0,7,92.17,21.72,1.01,58.59,6.31,0,0,0,0,0,0,2.78,0,1.77
國立,綜合高中,化工群,71,23,5,38,0,0,0,0,0,0,0,2,0,0,95.77,32.39,7.04,53.52,0,0,0,0,0,0,0,2.82,0,0
國立,綜合高中,土木與建築群,215,68,14,110,9,1,0,0,0,0,0,2,0,0,94.88,31.63,6.51,51.16,4.19,0.47,0,0,0,0,0,0.93,0,0
國立,綜合高中,商業與管理群,1672,305,50,1075,39,3,0,1,0,0,0,10,3,0,88.88,18.24,2.99,64.29,2.33,0.18,0,0.06,0,0,0,0.6,0.18,0
國立,綜合高中,外語群,294,42,6,218,2,1,0,0,0,0,0,3,0,0,92.52,14.29,2.04,74.15,0.68,0.34,0,0,0,0,0,1.02,0,0
國立,綜合高中,設計群,390,41,1,287,21,0,0,0,0,0,0,2,0,0,90.26,10.51,0.26,73.59,5.38,0,0,0,0,0,0,0.51,0,0
國立,綜合高中,農業群,95,39,0,38,4,0,0,0,0,0,0,0,0,0,85.26,41.05,0,40,4.21,0,0,0,0,0,0,0,0,0
國立,綜合高中,食品群,279,62,22,139,16,6,0,1,0,0,0,4,0,0,89.61,22.22,7.89,49.82,5.73,2.15,0,0.36,0,0,0,1.43,0,0
國立,綜合高中,家政群,108,5,4,80,3,0,0,0,0,0,0,0,0,0,85.19,4.63,3.7,74.07,2.78,0,0,0,0,0,0,0,0,0
國立,綜合高中,餐旅群,566,79,6,355,6,1,0,3,1,0,0,7,0,0,80.92,13.96,1.06,62.72,1.06,0.18,0,0.53,0.18,0,0,1.24,0,0
國立,綜合高中,水產群,28,11,0,3,0,0,0,0,0,0,0,0,0,0,50,39.29,0,10.71,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,海事群,19,9,0,7,0,0,0,0,0,0,0,0,0,0,84.21,47.37,0,36.84,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,藝術群,9,1,0,5,0,0,0,0,0,0,0,0,0,0,66.67,11.11,0,55.56,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,綜合,11,1,0,7,2,0,0,0,0,0,0,0,0,0,90.91,9.09,0,63.64,18.18,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,437,18,20,148,61,0,0,0,2,0,0,2,1,0,57.67,4.12,4.58,33.87,13.96,0,0,0,0.46,0,0,0.46,0.23,0
國立,實用技能學程,動力機械群,167,5,2,31,22,0,0,0,1,0,0,0,0,0,36.53,2.99,1.2,18.56,13.17,0,0,0,0.6,0,0,0,0,0
國立,實用技能學程,電機與電子群,762,24,41,163,132,0,11,10,2,0,1,2,0,0,50.66,3.15,5.38,21.39,17.32,0,1.44,1.31,0.26,0,0.13,0.26,0,0
國立,實用技能學程,土木與建築群,132,9,9,59,19,1,0,0,0,0,0,0,0,0,73.48,6.82,6.82,44.7,14.39,0.76,0,0,0,0,0,0,0,0
國立,實用技能學程,商業與管理群,677,14,17,287,104,5,2,1,0,0,0,0,0,0,63.52,2.07,2.51,42.39,15.36,0.74,0.3,0.15,0,0,0,0,0,0
國立,實用技能學程,設計群,167,6,2,57,27,2,1,0,0,0,0,2,0,0,58.08,3.59,1.2,34.13,16.17,1.2,0.6,0,0,0,0,1.2,0,0
國立,實用技能學程,農業群,181,9,6,75,20,7,3,0,0,0,0,3,0,0,67.96,4.97,3.31,41.44,11.05,3.87,1.66,0,0,0,0,1.66,0,0
國立,實用技能學程,食品群,285,7,6,81,61,0,0,8,0,0,0,5,0,0,58.95,2.46,2.11,28.42,21.4,0,0,2.81,0,0,0,1.75,0,0
國立,實用技能學程,餐旅群,423,9,2,182,69,0,0,2,0,0,0,0,0,0,62.41,2.13,0.47,43.03,16.31,0,0,0.47,0,0,0,0,0,0
國立,實用技能學程,水產群,35,14,2,8,2,0,0,0,0,0,0,0,0,0,74.29,40,5.71,22.86,5.71,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,62,7,0,24,4,0,0,0,0,0,0,0,0,0,56.45,11.29,0,38.71,6.45,0,0,0,0,0,0,0,0,0
國立,實用技能學程,美容造型群,152,1,1,55,18,5,2,8,0,0,0,0,0,0,59.21,0.66,0.66,36.18,11.84,3.29,1.32,5.26,0,0,0,0,0,0
縣市立,普通科,,40753,15200,123,22972,248,11,1,5,0,33,224,342,222,2,96.6382842981,37.2978676416,0.301818271,56.3688562805,0.6085441563,0.0269918779,0.0024538071,0.0122690354,0,0.0809756337,0.5496527863,0.8392020219,0.5447451721,0.0049076142
縣市立,職業科,機械群,1852,652,37,954,98,2,2,0,3,0,0,10,1,1,95.03,35.21,2,51.51,5.29,0.11,0.11,0,0.16,0,0,0.54,0.05,0.05
縣市立,職業科,動力機械群,670,207,12,339,49,3,0,0,5,0,1,3,0,0,92.39,30.9,1.79,50.6,7.31,0.45,0,0,0.75,0,0.15,0.45,0,0
縣市立,職業科,電機與電子群,3001,1207,42,1516,91,5,2,0,0,0,2,20,2,0,96.2,40.22,1.4,50.52,3.03,0.17,0.07,0,0,0,0.07,0.67,0.07,0
縣市立,職業科,化工群,170,112,2,51,0,0,0,0,0,0,1,0,0,0,97.65,65.88,1.18,30,0,0,0,0,0,0,0.59,0,0,0
縣市立,職業科,土木與建築群,448,208,7,193,17,7,0,0,0,0,0,0,0,0,96.43,46.43,1.56,43.08,3.79,1.56,0,0,0,0,0,0,0,0
縣市立,職業科,商業與管理群,2566,993,183,1219,71,1,2,0,0,0,0,9,3,3,96.8,38.7,7.13,47.51,2.77,0.04,0.08,0,0,0,0,0.35,0.12,0.12
縣市立,職業科,外語群,254,110,3,115,12,1,0,0,0,0,0,0,1,0,95.28,43.31,1.18,45.28,4.72,0.39,0,0,0,0,0,0,0.39,0
縣市立,職業科,設計群,1175,269,21,806,27,0,0,0,2,0,0,3,1,0,96.09,22.89,1.79,68.6,2.3,0,0,0,0.17,0,0,0.26,0.09,0
縣市立,職業科,農業群,112,69,0,41,0,0,0,0,0,0,0,0,0,0,98.21,61.61,0,36.61,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,食品群,79,46,0,30,0,0,0,0,0,0,0,0,0,0,96.2,58.23,0,37.97,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,家政群,142,52,0,80,0,0,0,0,0,0,0,0,2,0,94.37,36.62,0,56.34,0,0,0,0,0,0,0,0,1.41,0
縣市立,職業科,餐旅群,238,107,0,124,0,0,0,0,0,0,0,1,0,0,97.48,44.96,0,52.1,0,0,0,0,0,0,0,0.42,0,0
縣市立,職業科,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,綜合,265,2,0,23,0,0,0,0,0,0,0,0,0,0,9.43,0.75,0,8.68,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,,2409,532,9,1733,28,1,0,1,0,0,11,16,4,1,96.9696969697,22.0838522208,0.3735990037,71.9385637194,1.1623080116,0.0415110004,0,0.0415110004,0,0,0.4566210046,0.6641760066,0.1660440017,0.0415110004
縣市立,綜合高中,機械群,25,3,0,19,0,0,0,0,0,0,0,0,0,0,88,12,0,76,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,263,123,1,133,0,0,0,0,0,0,0,0,0,0,97.72,46.77,0.38,50.57,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,化工群,82,52,0,22,0,0,0,0,0,0,0,1,0,0,91.46,63.41,0,26.83,0,0,0,0,0,0,0,1.22,0,0
縣市立,綜合高中,土木與建築群,110,46,0,60,1,2,0,0,0,0,0,0,0,0,99.09,41.82,0,54.55,0.91,1.82,0,0,0,0,0,0,0,0
縣市立,綜合高中,商業與管理群,544,134,12,361,7,0,0,0,0,0,0,0,0,1,94.67,24.63,2.21,66.36,1.29,0,0,0,0,0,0,0,0,0.18
縣市立,綜合高中,外語群,36,5,0,30,0,0,0,0,0,0,0,1,0,0,100,13.89,0,83.33,0,0,0,0,0,0,0,2.78,0,0
縣市立,綜合高中,設計群,147,10,4,119,5,0,0,0,0,0,0,0,1,0,94.56,6.8,2.72,80.95,3.4,0,0,0,0,0,0,0,0.68,0
縣市立,綜合高中,農業群,19,9,0,10,0,0,0,0,0,0,0,0,0,0,100,47.37,0,52.63,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,20,9,0,11,0,0,0,0,0,0,0,0,0,0,100,45,0,55,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,102,14,0,59,0,0,0,0,0,0,0,0,0,0,71.57,13.73,0,57.84,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,機械群,46,0,20,3,9,0,0,0,0,0,0,0,0,0,69.57,0,43.48,6.52,19.57,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,27,0,0,1,11,0,0,0,0,0,0,0,0,0,44.44,0,0,3.7,40.74,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,81,4,13,10,7,0,0,0,0,0,0,0,0,0,41.98,4.94,16.05,12.35,8.64,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,土木與建築群,37,2,7,7,1,0,1,0,0,0,0,0,0,0,48.65,5.41,18.92,18.92,2.7,0,2.7,0,0,0,0,0,0,0
縣市立,實用技能學程,商業與管理群,122,4,6,20,38,0,0,0,3,0,0,0,0,0,58.2,3.28,4.92,16.39,31.15,0,0,0,2.46,0,0,0,0,0
縣市立,實用技能學程,設計群,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
