設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
縣市立,實用技能學程,餐旅群,31,0,0,9,5,0,0,0,0,0,0,0,0,0,45.16,0,0,29.03,16.13,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,美容造型群,34,0,0,20,2,0,0,0,0,0,0,1,0,0,67.65,0,0,58.82,5.88,0,0,0,0,0,0,2.94,0,0
私立,普通科,,28518,6099,72,19636,647,4,0,3,1,16,141,264,558,20,96.293568974,21.3864927414,0.2524721229,68.8547583982,2.2687425486,0.014026229,0,0.0105196718,0.0035065573,0.0561049162,0.494424574,0.9257311172,1.9566589522,0.0701311452
私立,職業科,機械群,1739,161,48,929,198,3,2,0,0,4,2,11,0,0,78.09,9.26,2.76,53.42,11.39,0.17,0.12,0,0,0.23,0.12,0.63,0,0
私立,職業科,動力機械群,3972,75,67,1214,410,3,1,17,33,0,0,52,10,0,47.38,1.89,1.69,30.56,10.32,0.08,0.03,0.43,0.83,0,0,1.31,0.25,0
私立,職業科,電機與電子群,12542,759,177,7132,1363,15,22,48,80,0,5,125,7,18,77.75,6.05,1.41,56.86,10.87,0.12,0.18,0.38,0.64,0,0.04,1,0.06,0.14
私立,職業科,土木與建築群,212,19,1,125,20,1,0,1,0,0,1,3,1,0,81.13,8.96,0.47,58.96,9.43,0.47,0,0.47,0,0,0.47,1.42,0.47,0
私立,職業科,商業與管理群,13321,829,367,8841,1115,24,52,47,84,0,0,95,10,11,86.14,6.22,2.76,66.37,8.37,0.18,0.39,0.35,0.63,0,0,0.71,0.08,0.08
私立,職業科,外語群,5197,479,127,3974,257,4,0,5,6,3,1,31,51,2,95.05,9.22,2.44,76.47,4.95,0.08,0,0.1,0.12,0.06,0.02,0.6,0.98,0.04
私立,職業科,設計群,6484,241,111,4703,617,13,0,6,9,0,0,26,33,6,88.91,3.72,1.71,72.53,9.52,0.2,0,0.09,0.14,0,0,0.4,0.51,0.09
私立,職業科,家政群,6950,162,83,3329,697,41,48,110,135,5,1,16,3,31,67.06,2.33,1.19,47.9,10.03,0.59,0.69,1.58,1.94,0.07,0.01,0.23,0.04,0.45
私立,職業科,餐旅群,18903,541,331,9335,2118,59,73,240,96,2,3,84,27,46,68.53,2.86,1.75,49.38,11.2,0.31,0.39,1.27,0.51,0.01,0.02,0.44,0.14,0.24
私立,職業科,海事群,50,2,0,31,0,0,0,0,0,0,0,0,0,0,66,4,0,62,0,0,0,0,0,0,0,0,0,0
私立,職業科,藝術群,2382,148,54,1454,228,0,1,4,2,1,0,4,27,9,81.11,6.21,2.27,61.04,9.57,0,0.04,0.17,0.08,0.04,0,0.17,1.13,0.38
私立,職業科,綜合,418,0,0,23,5,0,0,0,0,0,0,0,0,0,6.7,0,0,5.5,1.2,0,0,0,0,0,0,0,0,0
私立,綜合高中,,2151,311,5,1557,103,0,0,0,0,0,4,17,34,4,94.6071594607,14.4583914458,0.2324500232,72.3849372385,4.7884704788,0,0,0,0,0,0.1859600186,0.790330079,1.5806601581,0.1859600186
私立,綜合高中,機械群,71,1,0,21,25,0,0,0,0,0,0,0,0,0,66.2,1.41,0,29.58,35.21,0,0,0,0,0,0,0,0,0
私立,綜合高中,動力機械群,97,5,0,34,15,0,0,0,0,0,0,0,0,0,55.67,5.15,0,35.05,15.46,0,0,0,0,0,0,0,0,0
私立,綜合高中,電機與電子群,1311,168,18,882,68,1,0,0,0,0,5,3,2,0,87.49,12.81,1.37,67.28,5.19,0.08,0,0,0,0,0.38,0.23,0.15,0
私立,綜合高中,化工群,170,17,0,153,0,0,0,0,0,0,0,0,0,0,100,10,0,90,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,2623,268,52,1954,119,4,8,2,4,0,0,21,3,0,92.83,10.22,1.98,74.49,4.54,0.15,0.3,0.08,0.15,0,0,0.8,0.11,0
私立,綜合高中,外語群,1243,78,5,1049,47,3,0,0,0,0,0,3,14,0,96.46,6.28,0.4,84.39,3.78,0.24,0,0,0,0,0,0.24,1.13,0
私立,綜合高中,設計群,794,57,2,642,28,9,1,0,2,0,0,1,5,0,94.08,7.18,0.25,80.86,3.53,1.13,0.13,0,0.25,0,0,0.13,0.63,0
私立,綜合高中,家政群,609,15,7,472,21,0,0,0,0,0,0,1,0,0,84.73,2.46,1.15,77.5,3.45,0,0,0,0,0,0,0.16,0,0
私立,綜合高中,餐旅群,1570,115,10,1062,93,3,0,0,12,0,0,13,2,0,83.44,7.32,0.64,67.64,5.92,0.19,0,0,0.76,0,0,0.83,0.13,0
私立,綜合高中,藝術群,18,0,0,5,0,0,0,0,0,0,0,0,0,0,27.78,0,0,27.78,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,綜合,278,13,0,197,9,6,0,0,0,0,0,4,1,0,82.73,4.68,0,70.86,3.24,2.16,0,0,0,0,0,1.44,0.36,0
私立,實用技能學程,機械群,79,0,0,4,7,0,0,0,3,0,0,0,0,0,17.72,0,0,5.06,8.86,0,0,0,3.8,0,0,0,0,0
私立,實用技能學程,動力機械群,1140,9,6,167,42,10,0,0,24,0,0,7,0,0,23.25,0.79,0.53,14.65,3.68,0.88,0,0,2.11,0,0,0.61,0,0
私立,實用技能學程,電機與電子群,643,7,8,227,112,0,0,2,3,0,0,6,1,10,58.48,1.09,1.24,35.3,17.42,0,0,0.31,0.47,0,0,0.93,0.16,1.56
私立,實用技能學程,土木與建築群,17,0,0,8,0,0,0,0,0,0,0,0,0,0,47.06,0,0,47.06,0,0,0,0,0,0,0,0,0,0
私立,實用技能學程,商業與管理群,1357,14,18,477,137,19,17,6,26,0,0,4,2,0,53.06,1.03,1.33,35.15,10.1,1.4,1.25,0.44,1.92,0,0,0.29,0.15,0
私立,實用技能學程,設計群,96,3,0,43,7,0,0,0,3,0,0,0,0,0,58.33,3.13,0,44.79,7.29,0,0,0,3.13,0,0,0,0,0
私立,實用技能學程,食品群,140,1,0,38,24,1,1,0,0,0,0,3,0,0,48.57,0.71,0,27.14,17.14,0.71,0.71,0,0,0,0,2.14,0,0
私立,實用技能學程,餐旅群,3719,40,18,1006,444,4,11,7,66,0,0,22,0,4,43.61,1.08,0.48,27.05,11.94,0.11,0.3,0.19,1.77,0,0,0.59,0,0.11
私立,實用技能學程,美容造型群,1517,21,4,340,139,1,4,17,29,2,0,1,0,13,37.64,1.38,0.26,22.41,9.16,0.07,0.26,1.12,1.91,0.13,0,0.07,0,0.86
