設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
私立,專業群科,商業與管理群,7155,995,244,4385,518,21,27,8,16,0,1,48,18,6,87.87,13.91,3.41,61.29,7.24,0.29,0.38,0.11,0.22,0,0.01,0.67,0.25,0.08
私立,專業群科,外語群,5084,649,73,3677,222,2,4,4,5,2,4,18,46,5,92.66,12.77,1.44,72.32,4.37,0.04,0.08,0.08,0.1,0.04,0.08,0.35,0.9,0.1
私立,專業群科,設計群,5821,340,86,4061,463,4,9,4,6,1,1,18,38,3,86.48,5.84,1.48,69.76,7.95,0.07,0.15,0.07,0.1,0.02,0.02,0.31,0.65,0.05
私立,專業群科,食品群,170,1,5,65,37,0,0,0,0,0,0,12,0,0,70.59,0.59,2.94,38.24,21.76,0,0,0,0,0,0,7.06,0,0
私立,專業群科,家政群,5505,200,81,2777,505,26,25,37,45,0,0,16,4,7,67.63,3.63,1.47,50.45,9.17,0.47,0.45,0.67,0.82,0,0,0.29,0.07,0.13
私立,專業群科,餐旅群,16745,626,410,8245,1658,88,56,49,54,17,1,73,13,16,67.52,3.74,2.45,49.24,9.9,0.53,0.33,0.29,0.32,0.1,0.01,0.44,0.08,0.1
私立,專業群科,海事群,51,5,1,36,0,0,0,0,0,0,0,0,0,0,82.35,9.8,1.96,70.59,0,0,0,0,0,0,0,0,0,0
私立,專業群科,藝術群,2790,151,50,1710,237,9,4,12,1,0,2,13,14,0,78.96,5.41,1.79,61.29,8.49,0.32,0.14,0.43,0.04,0,0.07,0.47,0.5,0
私立,專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,專業群科,其他(綜合),392,3,2,55,2,0,0,2,1,0,0,0,0,1,16.84,0.77,0.51,14.03,0.51,0,0,0.51,0.26,0,0,0,0,0.26
私立,綜合高中,學術學程,1196,203,86,721,38,0,0,0,0,2,5,20,36,0,92.89,16.97,7.19,60.28,3.18,0,0,0,0,0.17,0.42,1.67,3.01,0
私立,綜合高中,動力機械群,27,11,0,0,0,0,0,0,0,0,0,0,0,0,40.74,40.74,0,0,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,電機與電子群,481,65,12,270,7,0,0,3,0,0,0,13,1,5,78.17,13.51,2.49,56.13,1.46,0,0,0.62,0,0,0,2.7,0.21,1.04
私立,綜合高中,化工群,160,31,0,129,0,0,0,0,0,0,0,0,0,0,100,19.38,0,80.63,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,861,64,41,628,27,0,4,0,0,0,0,12,1,0,90.24,7.43,4.76,72.94,3.14,0,0.46,0,0,0,0,1.39,0.12,0
私立,綜合高中,外語群,706,53,8,546,27,0,0,0,0,0,0,8,21,1,94.05,7.51,1.13,77.34,3.82,0,0,0,0,0,0,1.13,2.97,0.14
私立,綜合高中,設計群,386,13,5,317,9,0,0,0,0,0,0,3,4,0,90.93,3.37,1.3,82.12,2.33,0,0,0,0,0,0,0.78,1.04,0
私立,綜合高中,家政群,276,18,3,202,8,0,0,0,0,0,0,3,0,1,85.14,6.52,1.09,73.19,2.9,0,0,0,0,0,0,1.09,0,0.36
私立,綜合高中,餐旅群,760,47,8,462,34,1,0,0,0,0,0,7,1,2,73.95,6.18,1.05,60.79,4.47,0.13,0,0,0,0,0,0.92,0.13,0.26
私立,綜合高中,其他(綜合),156,1,1,96,12,0,0,0,0,0,0,1,0,0,71.15,0.64,0.64,61.54,7.69,0,0,0,0,0,0,0.64,0,0
