設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,綜合高中,外語群,190,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,4.21,0,0,0,0,0,0.53,0,0,1.05,0,0,0,0,0,2.63,0,0,0,0
國立,綜合高中,設計群,191,1,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,7.33,0.52,0,2.62,0,0,0,0,0,0,1.57,0,0,0,0,1.57,0,0,0,1.05
國立,綜合高中,農業群,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8.47,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0
國立,綜合高中,食品群,163,0,0,1,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,3,6.75,0,0,0.61,0,0,0,0.61,0,1.23,0,0,0,0,0,1.84,0,0,0.61,1.84
國立,綜合高中,家政群,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35
國立,綜合高中,餐旅群,403,0,0,1,0,0,2,3,1,36,0,0,0,2,0,15,0,0,5,3,16.87,0,0,0.25,0,0,0.5,0.74,0.25,8.93,0,0,0,0.5,0,3.72,0,0,1.24,0.74
國立,綜合高中,水產群,32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,12.5,0,0,0,0,0,3.13,0,0,3.13,0,0,0,0,0,3.13,0,0,0,3.13
國立,綜合高中,海事群,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,17.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,11.76
國立,綜合高中,藝術群,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,綜合,66,0,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,2,18.18,0,0,4.55,0,0,0,1.52,0,1.52,0,0,0,0,0,4.55,0,0,3.03,3.03
