設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,專業群科,水產群,163,3,0,3,2,0,3,3,2,7,0,0,1,3,0,0,0,0,1,4,19.63,1.84,0,1.84,1.23,0,1.84,1.84,1.23,4.29,0,0,0.61,1.84,0,0,0,0,0.61,2.45
國立,專業群科,海事群,250,5,0,11,4,0,6,2,12,10,0,0,0,3,0,30,0,0,1,7,36.4,2,0,4.4,1.6,0,2.4,0.8,4.8,4,0,0,0,1.2,0,12,0,0,0.4,2.8
國立,專業群科,藝術群,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0
國立,專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,專業群科,其他(綜合),637,27,0,51,12,4,4,33,7,120,1,1,0,2,51,3,1,5,3,34,56.36,4.24,0,8.01,1.88,0.63,0.63,5.18,1.1,18.84,0.16,0.16,0,0.31,8.01,0.47,0.16,0.78,0.47,5.34
國立,綜合高中,學術學程,3084,0,0,1,0,0,0,5,0,20,0,1,0,3,4,16,0,0,2,1,1.72,0,0,0.03,0,0,0,0.16,0,0.65,0,0.03,0,0.1,0.13,0.52,0,0,0.06,0.03
國立,綜合高中,機械群,121,0,0,5,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,7.44,0,0,4.13,0,0,0.83,0,0,1.65,0,0,0,0,0,0.83,0,0,0,0
國立,綜合高中,動力機械群,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,電機與電子群,120,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4.17,0,0,1.67,0,0,0,0.83,0,1.67,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,化工群,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,92,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,10.87,0,0,5.43,0,0,0,1.09,0,3.26,0,0,0,0,0,0,0,0,0,1.09
國立,綜合高中,商業與管理群,447,0,0,2,1,0,0,0,0,9,0,0,0,0,2,10,0,0,0,2,5.82,0,0,0.45,0.22,0,0,0,0,2.01,0,0,0,0,0.45,2.24,0,0,0,0.45
國立,綜合高中,外語群,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
國立,綜合高中,設計群,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0
國立,綜合高中,農業群,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,2.04
國立,綜合高中,食品群,95,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4.21,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,1.05
國立,綜合高中,家政群,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0
國立,綜合高中,餐旅群,308,3,0,1,0,0,1,3,1,15,0,0,0,0,2,9,0,0,0,7,13.64,0.97,0,0.32,0,0,0.32,0.97,0.32,4.87,0,0,0,0,0.65,2.92,0,0,0,2.27
國立,綜合高中,水產群,21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,33.33,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,19.05,0,0,0,4.76
國立,綜合高中,藝術群,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0
國立,綜合高中,其他(綜合),82,0,0,3,0,0,0,0,1,2,0,0,0,1,0,5,0,0,1,0,15.85,0,0,3.66,0,0,0,0,1.22,2.44,0,0,0,1.22,0,6.1,0,0,1.22,0
國立,實用技能學程,機械群,278,2,0,20,0,0,0,7,1,11,1,0,0,0,2,9,0,0,0,2,19.78,0.72,0,7.19,0,0,0,2.52,0.36,3.96,0.36,0,0,0,0.72,3.24,0,0,0,0.72
國立,實用技能學程,動力機械群,117,5,0,7,0,0,1,0,6,4,0,0,0,10,0,15,0,0,1,8,48.72,4.27,0,5.98,0,0,0.85,0,5.13,3.42,0,0,0,8.55,0,12.82,0,0,0.85,6.84
國立,實用技能學程,電機與電子群,362,5,0,15,2,2,11,7,5,15,0,0,0,2,1,14,0,0,2,8,24.59,1.38,0,4.14,0.55,0.55,3.04,1.93,1.38,4.14,0,0,0,0.55,0.28,3.87,0,0,0.55,2.21
國立,實用技能學程,土木與建築群,69,1,0,2,0,0,6,4,0,0,0,0,0,0,0,4,0,1,0,0,26.09,1.45,0,2.9,0,0,8.7,5.8,0,0,0,0,0,0,0,5.8,0,1.45,0,0
國立,實用技能學程,商業與管理群,314,6,0,5,0,0,3,13,1,19,2,1,0,2,4,6,0,1,3,0,21.02,1.91,0,1.59,0,0,0.96,4.14,0.32,6.05,0.64,0.32,0,0.64,1.27,1.91,0,0.32,0.96,0
國立,實用技能學程,設計群,148,2,0,0,0,0,6,2,0,3,0,0,0,0,10,2,0,1,0,2,18.92,1.35,0,0,0,0,4.05,1.35,0,2.03,0,0,0,0,6.76,1.35,0,0.68,0,1.35
國立,實用技能學程,農業群,131,10,0,1,0,0,5,3,0,4,0,0,0,2,3,8,0,0,0,0,27.48,7.63,0,0.76,0,0,3.82,2.29,0,3.05,0,0,0,1.53,2.29,6.11,0,0,0,0
國立,實用技能學程,食品群,181,2,0,11,0,0,0,12,1,26,0,0,0,1,2,3,0,0,3,4,35.91,1.1,0,6.08,0,0,0,6.63,0.55,14.36,0,0,0,0.55,1.1,1.66,0,0,1.66,2.21
國立,實用技能學程,餐旅群,316,2,0,2,0,0,2,9,0,44,0,0,1,1,1,22,0,1,2,4,28.8,0.63,0,0.63,0,0,0.63,2.85,0,13.92,0,0,0.32,0.32,0.32,6.96,0,0.32,0.63,1.27
國立,實用技能學程,水產群,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,4.17
國立,實用技能學程,海事群,21,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,28.57,0,0,4.76,4.76,0,9.52,0,0,0,0,0,0,0,0,4.76,0,0,0,4.76
國立,實用技能學程,美容造型群,157,0,0,2,0,1,0,2,0,13,0,0,0,1,10,2,0,0,2,20,33.76,0,0,1.27,0,0.64,0,1.27,0,8.28,0,0,0,0.64,6.37,1.27,0,0,1.27,12.74
國立,進修部,普通科,77,1,0,1,0,0,2,2,1,4,0,0,2,0,1,6,0,0,1,0,27.27,1.3,0,1.3,0,0,2.6,2.6,1.3,5.19,0,0,2.6,0,1.3,7.79,0,0,1.3,0
國立,進修部,機械群,250,3,0,54,3,1,5,2,3,12,2,0,0,0,1,1,0,1,5,13,42.4,1.2,0,21.6,1.2,0.4,2,0.8,1.2,4.8,0.8,0,0,0,0.4,0.4,0,0.4,2,5.2
國立,進修部,動力機械群,112,0,0,12,1,0,2,4,2,5,1,0,0,4,0,5,0,0,7,13,50,0,0,10.71,0.89,0,1.79,3.57,1.79,4.46,0.89,0,0,3.57,0,4.46,0,0,6.25,11.61
國立,進修部,電機與電子群,299,9,1,26,5,1,12,11,9,17,2,0,0,11,3,7,0,2,5,17,46.15,3.01,0.33,8.7,1.67,0.33,4.01,3.68,3.01,5.69,0.67,0,0,3.68,1,2.34,0,0.67,1.67,5.69
國立,進修部,化工群,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15.38,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69
國立,進修部,土木與建築群,26,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,4,46.15,0,0,7.69,0,0,11.54,0,0,3.85,0,0,0,3.85,0,0,0,0,3.85,15.38
國立,進修部,商業與管理群,668,9,1,58,3,0,24,43,9,85,2,4,2,7,23,10,0,6,38,35,53.74,1.35,0.15,8.68,0.45,0,3.59,6.44,1.35,12.72,0.3,0.6,0.3,1.05,3.44,1.5,0,0.9,5.69,5.24
國立,進修部,設計群,150,1,0,27,0,0,7,4,1,12,2,0,2,2,10,0,0,0,1,15,56,0.67,0,18,0,0,4.67,2.67,0.67,8,1.33,0,1.33,1.33,6.67,0,0,0,0.67,10
國立,進修部,農業群,41,0,0,0,0,0,0,7,1,4,0,0,0,1,0,0,0,0,0,1,34.15,0,0,0,0,0,0,17.07,2.44,9.76,0,0,0,2.44,0,0,0,0,0,2.44
國立,進修部,食品群,97,3,0,2,0,0,1,2,3,20,1,0,0,4,4,0,0,4,5,5,55.67,3.09,0,2.06,0,0,1.03,2.06,3.09,20.62,1.03,0,0,4.12,4.12,0,0,4.12,5.15,5.15
國立,進修部,家政群,143,8,0,6,0,0,1,17,2,21,0,0,0,8,3,4,0,5,9,9,65.03,5.59,0,4.2,0,0,0.7,11.89,1.4,14.69,0,0,0,5.59,2.1,2.8,0,3.5,6.29,6.29
國立,進修部,餐旅群,133,6,0,13,1,0,6,10,6,31,1,0,0,2,3,2,0,1,2,2,64.66,4.51,0,9.77,0.75,0,4.51,7.52,4.51,23.31,0.75,0,0,1.5,2.26,1.5,0,0.75,1.5,1.5
縣市立,普通科,普通科,46052,9,10,17,4,2,8,27,8,59,3,4,0,8,21,136,4,1,29,32,0.83,0.02,0.02,0.04,0.01,0,0.02,0.06,0.02,0.13,0.01,0.01,0,0.02,0.05,0.3,0.01,0,0.06,0.07
縣市立,專業群科,機械群,2295,2,0,131,3,1,9,6,2,11,6,0,0,11,7,9,1,1,8,10,9.5,0.09,0,5.71,0.13,0.04,0.39,0.26,0.09,0.48,0.26,0,0,0.48,0.31,0.39,0.04,0.04,0.35,0.44
縣市立,專業群科,動力機械群,762,0,0,18,0,0,1,0,15,5,0,0,0,35,2,3,0,0,0,3,10.76,0,0,2.36,0,0,0.13,0,1.97,0.66,0,0,0,4.59,0.26,0.39,0,0,0,0.39
縣市立,專業群科,電機與電子群,3542,1,0,93,7,0,3,8,2,17,2,2,0,9,5,6,0,0,0,12,4.71,0.03,0,2.63,0.2,0,0.08,0.23,0.06,0.48,0.06,0.06,0,0.25,0.14,0.17,0,0,0,0.34
縣市立,專業群科,化工群,502,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1.59,0,0,0.6,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6
縣市立,專業群科,土木與建築群,646,0,0,1,0,0,10,2,0,3,0,0,0,0,0,4,0,0,0,0,3.1,0,0,0.15,0,0,1.55,0.31,0,0.46,0,0,0,0,0,0.62,0,0,0,0
縣市立,專業群科,商業與管理群,3594,1,0,5,0,0,2,5,0,25,1,2,0,4,2,12,0,0,2,2,1.75,0.03,0,0.14,0,0,0.06,0.14,0,0.7,0.03,0.06,0,0.11,0.06,0.33,0,0,0.06,0.06
縣市立,專業群科,外語群,615,0,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.65,0,0.16,0,0.16,0.33,0,0,0,0,0
縣市立,專業群科,設計群,1230,0,0,1,0,0,0,2,0,2,10,0,0,0,3,3,0,0,4,0,2.03,0,0,0.08,0,0,0,0.16,0,0.16,0.81,0,0,0,0.24,0.24,0,0,0.33,0
縣市立,專業群科,農業群,286,3,0,1,0,0,0,1,0,2,0,0,0,0,1,5,0,0,2,4,6.64,1.05,0,0.35,0,0,0,0.35,0,0.7,0,0,0,0,0.35,1.75,0,0,0.7,1.4
縣市立,專業群科,食品群,126,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,2.38,0,0,0,0,1.59,0,0,0,0,0
縣市立,專業群科,家政群,493,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.81,0,0,0,0,0,0,0.41,0,0.2,0,0,0,0,0,0,0,0,0,0.2
縣市立,專業群科,餐旅群,245,0,0,0,0,0,0,0,0,13,1,0,0,1,0,1,0,0,0,2,7.35,0,0,0,0,0,0,0,0,5.31,0.41,0,0,0.41,0,0.41,0,0,0,0.82
縣市立,專業群科,藝術群,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,專業群科,其他(綜合),516,4,0,33,0,1,5,29,2,76,3,0,0,15,50,0,0,8,13,43,54.65,0.78,0,6.4,0,0.19,0.97,5.62,0.39,14.73,0.58,0,0,2.91,9.69,0,0,1.55,2.52,8.33
縣市立,綜合高中,學術學程,1935,0,0,4,0,1,0,1,2,7,0,0,0,0,0,14,0,0,2,8,2.02,0,0,0.21,0,0.05,0,0.05,0.1,0.36,0,0,0,0,0,0.72,0,0,0.1,0.41
縣市立,綜合高中,機械群,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,149,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0.67,0,0,0,0.67,0,0,0,0,0,0
縣市立,綜合高中,化工群,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,土木與建築群,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,商業與管理群,175,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,4,0,0,1.14,0,0,0,0.57,0,1.14,0,0,0,0,0,0.57,0,0,0.57,0
縣市立,綜合高中,外語群,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
縣市立,綜合高中,設計群,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,農業群,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,103,0,0,0,0,0,1,1,0,8,0,0,0,0,0,8,0,0,4,0,21.36,0,0,0,0,0,0.97,0.97,0,7.77,0,0,0,0,0,7.77,0,0,3.88,0
縣市立,綜合高中,藝術群,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,其他(綜合),9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,100,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,88.89,0,0,0,0
縣市立,實用技能學程,機械群,62,0,0,11,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,30.65,0,0,17.74,0,0,0,3.23,0,1.61,0,0,0,8.06,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,32,0,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,34.38,0,0,18.75,0,0,0,6.25,0,0,0,0,0,9.38,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,124,0,0,4,0,0,3,1,2,5,0,0,0,24,1,3,0,0,1,1,36.29,0,0,3.23,0,0,2.42,0.81,1.61,4.03,0,0,0,19.35,0.81,2.42,0,0,0.81,0.81
縣市立,實用技能學程,土木與建築群,17,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,47.06,0,0,0,11.76,0,11.76,11.76,0,0,0,0,0,11.76,0,0,0,0,0,0
縣市立,實用技能學程,商業與管理群,31,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,12.9,0,0,0,0,0,0,3.23,0,3.23,0,0,0,3.23,3.23,0,0,0,0,0
縣市立,實用技能學程,設計群,22,0,0,2,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,36.36,0,0,9.09,0,0,4.55,0,0,13.64,0,0,0,9.09,0,0,0,0,0,0
縣市立,實用技能學程,食品群,20,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,25,0,5,0,0,0,0,10,0,5,0,0,0,5,0,0,0,0,0,0
縣市立,實用技能學程,餐旅群,63,0,0,1,0,0,0,1,1,5,1,0,0,0,0,0,0,0,1,0,15.87,0,0,1.59,0,0,0,1.59,1.59,7.94,1.59,0,0,0,0,0,0,0,1.59,0
縣市立,進修部,普通科,257,0,0,24,2,0,11,7,3,10,1,4,0,0,6,3,3,6,8,53,54.86,0,0,9.34,0.78,0,4.28,2.72,1.17,3.89,0.39,1.56,0,0,2.33,1.17,1.17,2.33,3.11,20.62
縣市立,進修部,機械群,233,1,0,39,2,0,2,2,9,13,1,2,0,19,4,7,0,1,5,5,48.07,0.43,0,16.74,0.86,0,0.86,0.86,3.86,5.58,0.43,0.86,0,8.15,1.72,3,0,0.43,2.15,2.15
縣市立,進修部,動力機械群,180,0,0,29,1,0,2,6,4,3,2,1,0,19,1,1,0,1,6,1,42.78,0,0,16.11,0.56,0,1.11,3.33,2.22,1.67,1.11,0.56,0,10.56,0.56,0.56,0,0.56,3.33,0.56
縣市立,進修部,電機與電子群,247,0,0,21,5,0,10,5,3,12,0,1,0,10,4,2,1,2,5,17,39.68,0,0,8.5,2.02,0,4.05,2.02,1.21,4.86,0,0.4,0,4.05,1.62,0.81,0.4,0.81,2.02,6.88
縣市立,進修部,化工群,30,0,0,5,0,0,1,1,0,5,0,0,0,2,1,1,0,0,2,2,66.67,0,0,16.67,0,0,3.33,3.33,0,16.67,0,0,0,6.67,3.33,3.33,0,0,6.67,6.67
縣市立,進修部,土木與建築群,51,1,0,5,1,0,5,1,0,2,0,0,0,1,0,1,0,0,4,2,45.1,1.96,0,9.8,1.96,0,9.8,1.96,0,3.92,0,0,0,1.96,0,1.96,0,0,7.84,3.92
縣市立,進修部,商業與管理群,328,0,1,16,0,0,5,17,0,18,0,5,0,4,4,1,1,3,2,5,25,0,0.3,4.88,0,0,1.52,5.18,0,5.49,0,1.52,0,1.22,1.22,0.3,0.3,0.91,0.61,1.52
縣市立,進修部,外語群,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9.09,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,3.03,0,3.03
縣市立,進修部,設計群,53,0,0,5,0,0,2,0,1,6,0,0,0,0,0,0,0,0,4,0,33.96,0,0,9.43,0,0,3.77,0,1.89,11.32,0,0,0,0,0,0,0,0,7.55,0
縣市立,進修部,食品群,33,0,0,0,0,0,0,2,0,2,2,3,1,0,2,1,0,2,2,2,57.58,0,0,0,0,0,0,6.06,0,6.06,6.06,9.09,3.03,0,6.06,3.03,0,6.06,6.06,6.06
縣市立,進修部,家政群,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0
縣市立,進修部,餐旅群,13,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,38.46,0,0,0,0,0,0,7.69,0,23.08,0,0,0,0,0,0,7.69,0,0,0
私立,普通科,普通科,21148,10,0,10,0,0,6,5,3,38,4,1,1,10,2,37,1,1,29,11,0.8,0.05,0,0.05,0,0,0.03,0.02,0.01,0.18,0.02,0,0,0.05,0.01,0.17,0,0,0.14,0.05
私立,專業群科,機械群,1424,3,3,138,1,0,9,17,5,34,0,0,0,24,3,44,0,1,6,17,21.42,0.21,0.21,9.69,0.07,0,0.63,1.19,0.35,2.39,0,0,0,1.69,0.21,3.09,0,0.07,0.42,1.19
私立,專業群科,動力機械群,3540,35,17,170,8,1,48,42,78,84,5,1,0,290,38,206,0,2,24,57,31.24,0.99,0.48,4.8,0.23,0.03,1.36,1.19,2.2,2.37,0.14,0.03,0,8.19,1.07,5.82,0,0.06,0.68,1.61
私立,專業群科,電機與電子群,5790,22,3,147,48,4,27,38,19,115,11,2,0,125,36,148,1,3,41,54,14.58,0.38,0.05,2.54,0.83,0.07,0.47,0.66,0.33,1.99,0.19,0.03,0,2.16,0.62,2.56,0.02,0.05,0.71,0.93
私立,專業群科,土木與建築群,105,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,4.76,0.95,0,1.9,0,0,0,0,0,0,0,0,0,0
私立,專業群科,商業與管理群,5421,6,1,22,10,5,15,78,17,115,11,8,0,11,19,87,1,3,27,54,9.04,0.11,0.02,0.41,0.18,0.09,0.28,1.44,0.31,2.12,0.2,0.15,0,0.2,0.35,1.6,0.02,0.06,0.5,1
私立,專業群科,外語群,3906,3,0,8,0,0,4,14,1,65,7,4,2,8,9,32,0,2,7,14,4.61,0.08,0,0.2,0,0,0.1,0.36,0.03,1.66,0.18,0.1,0.05,0.2,0.23,0.82,0,0.05,0.18,0.36
私立,專業群科,設計群,4627,4,1,25,1,0,15,27,5,83,18,1,0,12,23,33,2,4,49,54,7.72,0.09,0.02,0.54,0.02,0,0.32,0.58,0.11,1.79,0.39,0.02,0,0.26,0.5,0.71,0.04,0.09,1.06,1.17
私立,專業群科,食品群,122,0,0,9,0,0,0,2,0,15,0,0,0,0,0,2,1,0,1,9,31.97,0,0,7.38,0,0,0,1.64,0,12.3,0,0,0,0,0,1.64,0.82,0,0.82,7.38
私立,專業群科,家政群,4378,3,0,22,0,0,6,63,21,205,7,0,0,221,41,42,26,23,75,352,25.29,0.07,0,0.5,0,0,0.14,1.44,0.48,4.68,0.16,0,0,5.05,0.94,0.96,0.59,0.53,1.71,8.04
