設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,普通科,普通科,24428,5,1,15,2,2,6,16,4,30,0,1,0,8,16,126,0,3,10,19,1.08,0.02,0,0.06,0.01,0.01,0.02,0.07,0.02,0.12,0,0,0,0.03,0.07,0.52,0,0.01,0.04,0.08
國立,專業群科,機械群,3182,7,1,87,7,2,18,17,8,42,4,0,0,21,11,63,0,1,3,14,9.62,0.22,0.03,2.73,0.22,0.06,0.57,0.53,0.25,1.32,0.13,0,0,0.66,0.35,1.98,0,0.03,0.09,0.44
國立,專業群科,動力機械群,953,24,0,13,5,0,18,8,9,22,0,0,0,72,8,47,0,0,2,9,24.87,2.52,0,1.36,0.52,0,1.89,0.84,0.94,2.31,0,0,0,7.56,0.84,4.93,0,0,0.21,0.94
國立,專業群科,電機與電子群,3632,27,0,59,15,0,12,16,8,36,2,1,0,26,13,84,0,0,5,29,9.17,0.74,0,1.62,0.41,0,0.33,0.44,0.22,0.99,0.06,0.03,0,0.72,0.36,2.31,0,0,0.14,0.8
國立,專業群科,化工群,733,4,0,17,0,0,2,1,0,9,0,0,0,1,0,4,0,0,3,1,5.73,0.55,0,2.32,0,0,0.27,0.14,0,1.23,0,0,0,0.14,0,0.55,0,0,0.41,0.14
國立,專業群科,土木與建築群,894,8,1,7,1,4,20,9,1,7,1,0,0,1,2,33,0,2,0,7,11.63,0.89,0.11,0.78,0.11,0.45,2.24,1.01,0.11,0.78,0.11,0,0,0.11,0.22,3.69,0,0.22,0,0.78
國立,專業群科,商業與管理群,5206,2,0,17,3,1,5,33,2,75,4,4,0,3,7,70,1,0,3,8,4.57,0.04,0,0.33,0.06,0.02,0.1,0.63,0.04,1.44,0.08,0.08,0,0.06,0.13,1.34,0.02,0,0.06,0.15
國立,專業群科,外語群,885,1,0,0,0,0,1,2,0,3,0,0,0,0,0,4,0,0,0,0,1.24,0.11,0,0,0,0,0.11,0.23,0,0.34,0,0,0,0,0,0.45,0,0,0,0
國立,專業群科,設計群,1099,5,0,3,1,0,0,4,0,5,1,0,0,8,0,19,0,1,3,1,4.64,0.45,0,0.27,0.09,0,0,0.36,0,0.45,0.09,0,0,0.73,0,1.73,0,0.09,0.27,0.09
國立,專業群科,農業群,1262,31,1,29,2,0,6,13,2,47,2,0,0,5,8,52,0,0,11,9,17.27,2.46,0.08,2.3,0.16,0,0.48,1.03,0.16,3.72,0.16,0,0,0.4,0.63,4.12,0,0,0.87,0.71
國立,專業群科,食品群,1008,6,1,12,1,1,2,12,1,51,0,0,0,0,3,31,0,1,2,16,13.89,0.6,0.1,1.19,0.1,0.1,0.2,1.19,0.1,5.06,0,0,0,0,0.3,3.08,0,0.1,0.2,1.59
國立,專業群科,家政群,903,4,0,10,0,0,0,6,0,35,0,0,0,4,3,14,3,1,2,16,10.85,0.44,0,1.11,0,0,0,0.66,0,3.88,0,0,0,0.44,0.33,1.55,0.33,0.11,0.22,1.77
國立,專業群科,餐旅群,1141,3,0,5,0,0,6,18,7,91,0,0,0,2,3,44,0,1,3,13,17.18,0.26,0,0.44,0,0,0.53,1.58,0.61,7.98,0,0,0,0.18,0.26,3.86,0,0.09,0.26,1.14
