設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
國立,綜合高中,土木與建築群,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2.79,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,1.86,0,0,0,0.47
國立,綜合高中,商業與管理群,1672,1,1,9,1,0,9,12,2,13,1,0,0,1,4,47,0,1,5,8,6.88,0.06,0.06,0.54,0.06,0,0.54,0.72,0.12,0.78,0.06,0,0,0.06,0.24,2.81,0,0.06,0.3,0.48
國立,綜合高中,外語群,294,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,2,1,4.76,0,0,0,0,0,0,0.34,0,1.36,0,0,0,0,0,2.04,0,0,0.68,0.34
國立,綜合高中,設計群,390,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,1,4,0,3.59,0.26,0,0.51,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0.26,1.03,0
國立,綜合高中,農業群,95,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,10.53,2.11,0,0,0,0,0,1.05,0,0,0,0,0,1.05,0,3.16,0,0,0,3.16
國立,綜合高中,食品群,279,0,0,2,0,0,0,0,0,4,0,0,0,1,2,6,0,0,2,7,8.6,0,0,0.72,0,0,0,0,0,1.43,0,0,0,0.36,0.72,2.15,0,0,0.72,2.51
國立,綜合高中,家政群,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,12.96,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0.93,0,0,0.93,10.19
國立,綜合高中,餐旅群,566,1,1,0,2,0,1,6,0,29,0,0,0,1,1,11,0,0,6,15,13.07,0.18,0.18,0,0.35,0,0.18,1.06,0,5.12,0,0,0,0.18,0.18,1.94,0,0,1.06,2.65
國立,綜合高中,水產群,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29,0,0,0,3.57
國立,綜合高中,海事群,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26
國立,綜合高中,藝術群,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0
國立,綜合高中,綜合,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,437,8,1,44,2,0,2,13,1,17,1,0,0,11,14,16,0,0,2,6,31.58,1.83,0.23,10.07,0.46,0,0.46,2.97,0.23,3.89,0.23,0,0,2.52,3.2,3.66,0,0,0.46,1.37
國立,實用技能學程,動力機械群,167,1,1,10,2,0,3,4,7,7,2,0,0,14,5,11,0,0,0,8,44.91,0.6,0.6,5.99,1.2,0,1.8,2.4,4.19,4.19,1.2,0,0,8.38,2.99,6.59,0,0,0,4.79
國立,實用技能學程,電機與電子群,762,30,19,75,12,1,9,7,10,30,5,0,0,12,0,16,0,1,5,30,34.38,3.94,2.49,9.84,1.57,0.13,1.18,0.92,1.31,3.94,0.66,0,0,1.57,0,2.1,0,0.13,0.66,3.94
國立,實用技能學程,土木與建築群,132,3,4,1,2,0,5,0,0,3,0,1,0,4,1,0,0,1,0,1,19.7,2.27,3.03,0.76,1.52,0,3.79,0,0,2.27,0,0.76,0,3.03,0.76,0,0,0.76,0,0.76
國立,實用技能學程,商業與管理群,677,3,0,19,3,0,6,25,6,28,3,1,0,23,2,25,1,6,16,32,29.39,0.44,0,2.81,0.44,0,0.89,3.69,0.89,4.14,0.44,0.15,0,3.4,0.3,3.69,0.15,0.89,2.36,4.73
國立,實用技能學程,設計群,167,0,0,5,0,0,1,9,1,13,0,0,0,3,0,1,0,2,0,13,28.74,0,0,2.99,0,0,0.6,5.39,0.6,7.78,0,0,0,1.8,0,0.6,0,1.2,0,7.78
國立,實用技能學程,農業群,181,9,0,1,1,0,0,3,1,10,0,1,0,1,2,1,1,0,1,1,18.23,4.97,0,0.55,0.55,0,0,1.66,0.55,5.52,0,0.55,0,0.55,1.1,0.55,0.55,0,0.55,0.55
國立,實用技能學程,食品群,285,2,0,19,1,0,1,3,1,40,1,0,0,2,1,1,0,0,1,6,27.72,0.7,0,6.67,0.35,0,0.35,1.05,0.35,14.04,0.35,0,0,0.7,0.35,0.35,0,0,0.35,2.11
國立,實用技能學程,餐旅群,423,3,0,5,1,0,4,6,6,59,0,1,1,1,2,11,1,0,5,19,29.55,0.71,0,1.18,0.24,0,0.95,1.42,1.42,13.95,0,0.24,0.24,0.24,0.47,2.6,0.24,0,1.18,4.49
國立,實用技能學程,水產群,35,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,5.71,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,62,3,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,19.35,4.84,0,8.06,1.61,0,1.61,0,0,3.23,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,美容造型群,152,0,0,2,2,0,0,4,6,7,0,0,0,12,0,0,1,1,3,11,32.24,0,0,1.32,1.32,0,0,2.63,3.95,4.61,0,0,0,7.89,0,0,0.66,0.66,1.97,7.24
縣市立,普通科,,40753,5,0,10,4,0,8,13,3,31,3,0,1,8,2,99,5,3,25,54,0.6723431404,0.0122690354,0,0.0245380708,0.0098152283,0,0.0196304567,0.0318994921,0.0073614212,0.0760680195,0.0073614212,0,0.0024538071,0.0196304567,0.0049076142,0.2429269011,0.0122690354,0.0073614212,0.061345177,0.1325055824
縣市立,職業科,機械群,1852,0,0,10,0,0,0,2,0,12,0,0,0,7,6,1,0,1,3,7,2.65,0,0,0.54,0,0,0,0.11,0,0.65,0,0,0,0.38,0.32,0.05,0,0.05,0.16,0.38
縣市立,職業科,動力機械群,670,0,0,0,1,0,5,0,0,4,0,0,0,9,3,2,0,0,0,5,4.33,0,0,0,0.15,0,0.75,0,0,0.6,0,0,0,1.34,0.45,0.3,0,0,0,0.75
縣市立,職業科,電機與電子群,3001,0,0,2,0,0,1,0,0,7,0,3,0,9,3,1,0,0,0,6,1.07,0,0,0.07,0,0,0.03,0,0,0.23,0,0.1,0,0.3,0.1,0.03,0,0,0,0.2
縣市立,職業科,化工群,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,土木與建築群,448,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,2.01,0,0,0.45,0,0,0.22,0,0,0.45,0,0,0,0,0,0,0,0,0,0.89
縣市立,職業科,商業與管理群,2566,1,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,1,4,6,0.86,0.04,0,0,0,0,0,0,0,0.27,0,0.04,0,0,0,0.08,0,0.04,0.16,0.23
縣市立,職業科,外語群,254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.79,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0.39
