設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,普通科,普通科,25540,12,0,12,0,0,9,8,4,40,1,2,0,5,8,144,1,1,12,19,1.09,0.05,0,0.05,0,0,0.04,0.03,0.02,0.16,0,0.01,0,0.02,0.03,0.56,0,0,0.05,0.07
國立,普通科,機械群,3255,9,0,91,4,0,17,10,4,22,2,0,1,21,15,52,1,0,2,10,8.02,0.28,0,2.8,0.12,0,0.52,0.31,0.12,0.68,0.06,0,0.03,0.65,0.46,1.6,0.03,0,0.06,0.31
國立,普通科,動力機械群,945,14,0,13,1,1,4,7,15,17,0,0,0,50,3,56,0,0,3,31,22.75,1.48,0,1.38,0.11,0.11,0.42,0.74,1.59,1.8,0,0,0,5.29,0.32,5.93,0,0,0.32,3.28
國立,普通科,電機與電子群,3831,9,3,58,19,2,17,21,11,67,1,0,0,38,6,91,0,5,11,38,10.36,0.23,0.08,1.51,0.5,0.05,0.44,0.55,0.29,1.75,0.03,0,0,0.99,0.16,2.38,0,0.13,0.29,0.99
國立,普通科,化工群,813,1,0,12,0,0,2,2,0,6,3,0,0,0,0,8,0,0,1,1,4.43,0.12,0,1.48,0,0,0.25,0.25,0,0.74,0.37,0,0,0,0,0.98,0,0,0.12,0.12
國立,普通科,土木與建築群,951,7,0,15,1,5,6,6,1,16,0,0,0,1,3,29,0,0,2,4,10.09,0.74,0,1.58,0.11,0.53,0.63,0.63,0.11,1.68,0,0,0,0.11,0.32,3.05,0,0,0.21,0.42
國立,普通科,商業與管理群,5594,6,0,25,1,0,2,38,1,63,5,2,0,8,19,88,6,3,9,16,5.22,0.11,0,0.45,0.02,0,0.04,0.68,0.02,1.13,0.09,0.04,0,0.14,0.34,1.57,0.11,0.05,0.16,0.29
國立,普通科,外語群,910,0,0,0,0,0,0,2,0,4,1,0,0,0,3,6,0,0,0,1,1.87,0,0,0,0,0,0,0.22,0,0.44,0.11,0,0,0,0.33,0.66,0,0,0,0.11
國立,普通科,設計群,1156,8,0,12,1,0,1,4,1,9,1,0,0,6,1,11,0,2,10,3,6.06,0.69,0,1.04,0.09,0,0.09,0.35,0.09,0.78,0.09,0,0,0.52,0.09,0.95,0,0.17,0.87,0.26
國立,普通科,農業群,1428,37,0,13,1,0,4,12,1,32,3,0,0,5,15,57,1,3,8,18,14.71,2.59,0,0.91,0.07,0,0.28,0.84,0.07,2.24,0.21,0,0,0.35,1.05,3.99,0.07,0.21,0.56,1.26
國立,普通科,食品群,1086,1,0,7,0,0,2,17,1,56,0,0,0,2,9,38,2,0,3,16,14.18,0.09,0,0.64,0,0,0.18,1.57,0.09,5.16,0,0,0,0.18,0.83,3.5,0.18,0,0.28,1.47
國立,普通科,家政群,976,1,0,2,0,0,0,13,0,22,0,0,0,9,1,20,4,1,6,15,9.63,0.1,0,0.2,0,0,0,1.33,0,2.25,0,0,0,0.92,0.1,2.05,0.41,0.1,0.61,1.54
國立,普通科,餐旅群,1233,5,0,3,0,0,1,10,0,106,5,0,0,2,4,37,0,0,4,5,14.76,0.41,0,0.24,0,0,0.08,0.81,0,8.6,0.41,0,0,0.16,0.32,3,0,0,0.32,0.41
國立,普通科,水產群,205,4,0,1,2,0,2,3,0,13,0,0,0,5,0,6,0,0,2,8,22.44,1.95,0,0.49,0.98,0,0.98,1.46,0,6.34,0,0,0,2.44,0,2.93,0,0,0.98,3.9
國立,普通科,海事群,288,3,0,4,4,0,6,6,14,8,0,0,0,7,1,30,1,0,1,4,30.9,1.04,0,1.39,1.39,0,2.08,2.08,4.86,2.78,0,0,0,2.43,0.35,10.42,0.35,0,0.35,1.39
國立,普通科,藝術群,151,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,2,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0.66,0,0,2.65,1.32
國立,普通科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,普通科,其他(綜合),630,15,2,38,19,0,7,43,7,120,1,0,0,7,32,2,0,7,11,56,58.25,2.38,0.32,6.03,3.02,0,1.11,6.83,1.11,19.05,0.16,0,0,1.11,5.08,0.32,0,1.11,1.75,8.89
國立,綜合高中,學術學程,3346,1,0,0,1,1,0,13,0,17,1,0,0,3,13,21,0,1,6,5,2.48,0.03,0,0,0.03,0.03,0,0.39,0,0.51,0.03,0,0,0.09,0.39,0.63,0,0.03,0.18,0.15
國立,綜合高中,機械群,108,2,0,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,12.96,1.85,0,7.41,0,0,0,0,0,0.93,0,0,0,0,0,2.78,0,0,0,0
國立,綜合高中,動力機械群,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,電機與電子群,139,1,0,5,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,9.35,0.72,0,3.6,0,0,0.72,0,0,2.16,0,0,0,0,0,2.16,0,0,0,0
國立,綜合高中,化工群,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,81,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,4.94,0,0,0,0,0,0,1.23,0,1.23,0,0,0,0,2.47,0,0,0,0,0
國立,綜合高中,商業與管理群,537,0,0,0,0,0,0,6,1,3,0,0,0,1,7,9,0,0,0,3,5.59,0,0,0,0,0,0,1.12,0.19,0.56,0,0,0,0.19,1.3,1.68,0,0,0,0.56
國立,綜合高中,外語群,122,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4.1,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0.82,0
國立,綜合高中,設計群,128,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,4.69,0,0,0,0,0,0,0,0.78,1.56,0,0,0,0,0,0.78,0,0,0.78,0.78
國立,綜合高中,農業群,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0
國立,綜合高中,食品群,143,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,3,0,9.09,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,1.4,0,0,2.1,0
國立,綜合高中,家政群,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,22.22,0,0,0,2.78,0,0,0,0,2.78,0,0,0,0,0,8.33,0,8.33,0,0
國立,綜合高中,餐旅群,295,1,0,0,0,0,1,9,1,22,0,0,0,1,3,15,0,1,1,2,19.32,0.34,0,0,0,0,0.34,3.05,0.34,7.46,0,0,0,0.34,1.02,5.08,0,0.34,0.34,0.68
國立,綜合高中,水產群,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,16.67,0,0,0,0
國立,綜合高中,其他(綜合),100,0,0,3,1,0,1,3,2,6,0,1,0,1,1,1,0,1,1,0,22,0,0,3,1,0,1,3,2,6,0,1,0,1,1,1,0,1,1,0
國立,實用技能學程,機械群,395,3,0,43,2,0,4,9,3,11,0,0,0,3,3,13,0,1,2,5,25.82,0.76,0,10.89,0.51,0,1.01,2.28,0.76,2.78,0,0,0,0.76,0.76,3.29,0,0.25,0.51,1.27
國立,實用技能學程,動力機械群,107,5,0,9,0,0,4,1,1,4,0,0,0,5,0,11,0,0,0,3,40.19,4.67,0,8.41,0,0,3.74,0.93,0.93,3.74,0,0,0,4.67,0,10.28,0,0,0,2.8
國立,實用技能學程,電機與電子群,292,3,0,20,2,0,2,2,1,4,2,0,0,2,3,7,0,1,3,6,19.86,1.03,0,6.85,0.68,0,0.68,0.68,0.34,1.37,0.68,0,0,0.68,1.03,2.4,0,0.34,1.03,2.05
國立,實用技能學程,土木與建築群,121,0,0,2,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,5,14.88,0,0,1.65,0.83,0,4.96,0,0,3.31,0,0,0,0,0,0,0,0,0,4.13
