設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
國立,普通科,,34986,6,1,10,1,0,5,10,3,51,0,0,0,9,17,122,1,0,5,26,0.7631624078,0.017149717,0.0028582862,0.0285828617,0.0028582862,0,0.0142914309,0.0285828617,0.0085748585,0.1457725948,0,0,0,0.0257245755,0.0485908649,0.3487109129,0.0028582862,0,0.0142914309,0.0743154405
國立,專業群(職業)科,機械群,4426,14,0,97,0,0,14,13,6,39,2,1,1,26,6,52,0,1,9,18,6.7555354722,0.3163126977,0,2.1915951197,0,0,0.3163126977,0.2937189336,0.1355625847,0.8811568007,0.0451875282,0.0225937641,0.0225937641,0.5874378671,0.1355625847,1.1748757343,0,0.0225937641,0.2033438771,0.4066877542
國立,專業群(職業)科,動力機械群,1283,11,0,28,0,0,8,6,13,16,0,0,2,59,6,25,0,1,2,18,15.1987529228,0.8573655495,0,2.1823850351,0,0,0.6235385814,0.4676539361,1.0132501949,1.2470771629,0,0,0.1558846454,4.5985970382,0.4676539361,1.948558067,0,0.0779423227,0.1558846454,1.4029618083
國立,專業群(職業)科,電機與電子群,5081,9,2,45,13,2,13,20,4,47,7,0,0,41,5,69,0,4,8,22,6.1208423539,0.1771304861,0.0393623302,0.8856524306,0.2558551466,0.0393623302,0.2558551466,0.3936233025,0.0787246605,0.9250147609,0.1377681559,0,0,0.8069277701,0.0984058256,1.3580003936,0,0.0787246605,0.157449321,0.4329856327
國立,專業群(職業)科,化工群,1217,0,0,8,0,0,0,4,2,6,0,0,0,3,2,3,0,0,2,2,2.6294165982,0,0,0.6573541495,0,0,0,0.3286770748,0.1643385374,0.4930156122,0,0,0,0.2465078061,0.1643385374,0.2465078061,0,0,0.1643385374,0.1643385374
國立,專業群(職業)科,土木與建築群,1255,2,0,15,0,0,12,6,1,19,0,0,0,4,0,33,0,0,4,9,8.3665338645,0.1593625498,0,1.1952191235,0,0,0.9561752988,0.4780876494,0.0796812749,1.5139442231,0,0,0,0.3187250996,0,2.6294820717,0,0,0.3187250996,0.7171314741
國立,專業群(職業)科,商業與管理群,8054,1,0,20,1,0,5,28,1,72,0,1,0,9,13,36,0,6,20,22,2.9178048175,0.0124161907,0,0.2483238143,0.0124161907,0,0.0620809536,0.34765334,0.0124161907,0.8939657313,0,0.0124161907,0,0.1117457164,0.1614104793,0.4469828657,0,0.0744971443,0.2483238143,0.2731561957
國立,專業群(職業)科,外語群,942,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0.6369426752,0,0,0,0,0,0,0,0,0.3184713376,0,0,0,0,0,0.1061571125,0,0,0,0.2123142251
國立,專業群(職業)科,設計群,1193,1,0,0,0,0,3,5,0,10,1,2,0,5,1,7,0,1,0,5,3.436714166,0.0838222967,0,0,0,0,0.2514668902,0.4191114837,0,0.8382229673,0.0838222967,0.1676445935,0,0.4191114837,0.0838222967,0.5867560771,0,0.0838222967,0,0.4191114837
國立,專業群(職業)科,農業群,1819,54,2,5,3,2,4,13,2,35,1,1,0,14,7,63,0,4,6,16,12.7542605827,2.9686641012,0.1099505223,0.2748763057,0.1649257834,0.1099505223,0.2199010445,0.7146783947,0.1099505223,1.9241341396,0.0549752611,0.0549752611,0,0.7696536559,0.3848268279,3.4634414513,0,0.2199010445,0.3298515668,0.8796041781
國立,專業群(職業)科,食品群,1414,2,0,16,0,0,1,14,1,63,0,1,1,3,1,30,1,5,0,21,11.315417256,0.1414427157,0,1.1315417256,0,0,0.0707213579,0.9900990099,0.0707213579,4.4554455446,0,0.0707213579,0.0707213579,0.2121640736,0.0707213579,2.1216407355,0.0707213579,0.3536067893,0,1.4851485149
國立,專業群(職業)科,家政群,1428,0,0,3,0,0,0,7,1,32,0,0,0,13,0,15,0,4,12,22,7.6330532213,0,0,0.2100840336,0,0,0,0.4901960784,0.0700280112,2.2408963585,0,0,0,0.9103641457,0,1.0504201681,0,0.2801120448,0.8403361345,1.5406162465
國立,專業群(職業)科,餐旅群,1043,0,0,0,0,0,0,8,1,47,1,0,0,6,0,12,0,1,4,5,8.1495685523,0,0,0,0,0,0,0.7670182167,0.0958772771,4.506232023,0.0958772771,0,0,0.5752636625,0,1.150527325,0,0.0958772771,0.3835091083,0.4793863854
