設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
私立, 普通科, 普通科,22119,10,0,8,0,0,5,10,3,30,2,3,0,2,12,67,0,2,11,18,0.83,0.05,0,0.04,0,0,0.02,0.05,0.01,0.14,0.01,0.01,0,0.01,0.05,0.3,0,0.01,0.05,0.08
私立, 專業群科,機械群,1312,4,2,105,1,2,57,14,3,16,0,0,0,10,10,41,0,0,0,5,20.58,0.3,0.15,8,0.08,0.15,4.34,1.07,0.23,1.22,0,0,0,0.76,0.76,3.13,0,0,0,0.38
私立, 專業群科,動力機械群,3020,26,4,164,7,17,59,39,61,69,0,0,0,187,20,188,0,2,10,56,30.1,0.86,0.13,5.43,0.23,0.56,1.95,1.29,2.02,2.28,0,0,0,6.19,0.66,6.23,0,0.07,0.33,1.85
私立, 專業群科,電機與電子群,5356,14,1,141,18,1,44,31,27,52,8,0,1,68,29,78,0,2,18,52,10.92,0.26,0.02,2.63,0.34,0.02,0.82,0.58,0.5,0.97,0.15,0,0.02,1.27,0.54,1.46,0,0.04,0.34,0.97
私立, 專業群科,土木與建築群,102,0,0,0,1,0,4,0,0,2,0,0,0,2,0,0,0,0,0,2,10.78,0,0,0,0.98,0,3.92,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96
私立, 專業群科,商業與管理群,5425,53,0,36,7,1,15,51,13,90,23,7,0,7,26,92,1,3,9,54,9,0.98,0,0.66,0.13,0.02,0.28,0.94,0.24,1.66,0.42,0.13,0,0.13,0.48,1.7,0.02,0.06,0.17,1
私立, 專業群科,外語群,3737,2,0,13,0,0,5,10,4,28,1,0,0,1,7,26,1,0,8,20,3.37,0.05,0,0.35,0,0,0.13,0.27,0.11,0.75,0.03,0,0,0.03,0.19,0.7,0.03,0,0.21,0.54
私立, 專業群科,設計群,4090,6,3,16,1,1,22,20,4,58,5,0,0,13,16,31,1,2,31,21,6.14,0.15,0.07,0.39,0.02,0.02,0.54,0.49,0.1,1.42,0.12,0,0,0.32,0.39,0.76,0.02,0.05,0.76,0.51
私立, 專業群科,農業群,60,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,11.67,5,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,1.67,1.67,0
私立, 專業群科,食品群,103,2,0,3,0,0,2,1,1,10,0,0,0,0,0,1,0,0,5,4,28.16,1.94,0,2.91,0,0,1.94,0.97,0.97,9.71,0,0,0,0,0,0.97,0,0,4.85,3.88
私立, 專業群科,家政群,3947,4,0,44,1,1,2,37,6,125,5,1,1,207,66,39,17,37,93,241,23.49,0.1,0,1.11,0.03,0.03,0.05,0.94,0.15,3.17,0.13,0.03,0.03,5.24,1.67,0.99,0.43,0.94,2.36,6.11
私立, 專業群科,餐旅群,10698,37,6,188,34,2,55,142,68,1210,18,1,1,39,57,258,0,9,51,161,21.85,0.35,0.06,1.76,0.32,0.02,0.51,1.33,0.64,11.31,0.17,0.01,0.01,0.36,0.53,2.41,0,0.08,0.48,1.5
私立, 專業群科,海事群,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立, 專業群科,藝術群,2245,4,1,8,0,0,9,15,8,60,2,0,0,7,4,26,1,0,34,31,9.35,0.18,0.04,0.36,0,0,0.4,0.67,0.36,2.67,0.09,0,0,0.31,0.18,1.16,0.04,0,1.51,1.38
私立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立, 專業群科,綜合,320,4,0,6,2,0,4,13,5,41,0,0,0,9,22,0,0,2,0,38,45.63,1.25,0,1.88,0.63,0,1.25,4.06,1.56,12.81,0,0,0,2.81,6.88,0,0,0.63,0,11.88
私立, 綜合高中,  學術學程,904,0,0,1,0,0,0,1,2,9,1,0,2,0,1,0,0,0,6,4,2.99,0,0,0.11,0,0,0,0.11,0.22,1,0.11,0,0.22,0,0.11,0,0,0,0.66,0.44
私立, 綜合高中,動力機械群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立, 綜合高中,電機與電子群,222,1,0,1,4,2,2,0,0,4,0,0,0,1,1,28,0,0,2,2,21.62,0.45,0,0.45,1.8,0.9,0.9,0,0,1.8,0,0,0,0.45,0.45,12.61,0,0,0.9,0.9
私立, 綜合高中,化工群,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立, 綜合高中,商業群,382,2,0,1,0,0,2,2,1,6,0,0,0,0,0,17,0,0,3,11,11.78,0.52,0,0.26,0,0,0.52,0.52,0.26,1.57,0,0,0,0,0,4.45,0,0,0.79,2.88
私立, 綜合高中,外語群,270,0,0,0,0,0,0,0,0,2,1,0,0,1,3,7,0,1,0,1,5.93,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0.37,1.11,2.59,0,0.37,0,0.37
私立, 綜合高中,設計群,99,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,4,9.09,0,0,0,0,0,1.01,0,0,2.02,0,0,0,0,0,2.02,0,0,0,4.04
私立, 綜合高中,家政群,171,2,0,0,0,0,0,0,0,5,0,0,0,0,2,2,1,0,1,7,11.7,1.17,0,0,0,0,0,0,0,2.92,0,0,0,0,1.17,1.17,0.58,0,0.58,4.09
私立, 綜合高中,餐旅群,421,0,0,2,0,0,0,5,3,17,1,0,0,2,2,23,0,0,4,1,14.25,0,0,0.48,0,0,0,1.19,0.71,4.04,0.24,0,0,0.48,0.48,5.46,0,0,0.95,0.24
私立, 綜合高中,綜合,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25,0,0,0,0
私立, 實用技能學程,機械群,79,0,0,26,0,0,1,4,0,3,0,0,0,0,0,3,0,0,0,1,48.1,0,0,32.91,0,0,1.27,5.06,0,3.8,0,0,0,0,0,3.8,0,0,0,1.27
私立, 實用技能學程,動力機械群,926,29,2,85,4,4,41,19,30,34,1,0,0,119,19,28,0,1,2,21,47.41,3.13,0.22,9.18,0.43,0.43,4.43,2.05,3.24,3.67,0.11,0,0,12.85,2.05,3.02,0,0.11,0.22,2.27
私立, 實用技能學程,電機與電子群,628,9,0,30,20,2,46,11,4,15,0,0,0,45,2,13,0,1,10,16,35.67,1.43,0,4.78,3.18,0.32,7.32,1.75,0.64,2.39,0,0,0,7.17,0.32,2.07,0,0.16,1.59,2.55
私立, 實用技能學程,商業群,383,0,0,9,2,0,6,15,1,15,1,0,1,0,0,2,0,1,2,8,16.45,0,0,2.35,0.52,0,1.57,3.92,0.26,3.92,0.26,0,0.26,0,0,0.52,0,0.26,0.52,2.09
私立, 實用技能學程,農業群,68,0,0,2,0,0,1,0,1,5,0,0,0,0,0,0,0,2,0,7,26.47,0,0,2.94,0,0,1.47,0,1.47,7.35,0,0,0,0,0,0,0,2.94,0,10.29
私立, 實用技能學程,食品群,236,0,2,4,1,0,0,3,2,42,0,0,0,1,5,9,0,1,0,5,31.78,0,0.85,1.69,0.42,0,0,1.27,0.85,17.8,0,0,0,0.42,2.12,3.81,0,0.42,0,2.12
私立, 實用技能學程,餐旅群,2474,19,3,97,9,0,36,71,38,508,4,1,2,21,16,80,1,4,17,65,40.1,0.77,0.12,3.92,0.36,0,1.46,2.87,1.54,20.53,0.16,0.04,0.08,0.85,0.65,3.23,0.04,0.16,0.69,2.63
私立, 實用技能學程,藝術群,110,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,4,3,14.55,0,0,0,0,0,0,0.91,0,6.36,0,0,0,0.91,0,0,0,0,3.64,2.73
私立, 實用技能學程,美容造型群,727,3,3,7,0,0,1,29,9,60,1,1,0,48,4,6,0,1,22,139,45.94,0.41,0.41,0.96,0,0,0.14,3.99,1.24,8.25,0.14,0.14,0,6.6,0.55,0.83,0,0.14,3.03,19.12
私立, 進修部,  普通科,127,6,4,1,0,0,12,8,0,0,0,0,0,0,0,2,0,0,0,0,25.98,4.72,3.15,0.79,0,0,9.45,6.3,0,0,0,0,0,0,0,1.57,0,0,0,0
私立, 進修部,機械群,59,0,0,15,0,0,3,3,2,2,0,0,0,4,0,5,0,0,3,0,62.71,0,0,25.42,0,0,5.08,5.08,3.39,3.39,0,0,0,6.78,0,8.47,0,0,5.08,0
私立, 進修部,動力機械群,350,5,0,48,1,0,17,27,34,33,0,0,0,30,8,2,0,0,7,31,69.43,1.43,0,13.71,0.29,0,4.86,7.71,9.71,9.43,0,0,0,8.57,2.29,0.57,0,0,2,8.86
私立, 進修部,電機與電子群,190,2,1,24,1,0,17,9,12,21,0,2,2,4,8,0,1,0,3,19,66.32,1.05,0.53,12.63,0.53,0,8.95,4.74,6.32,11.05,0,1.05,1.05,2.11,4.21,0,0.53,0,1.58,10
私立, 進修部,商業與管理群,1123,9,7,79,9,1,27,73,56,94,13,18,12,27,67,10,7,4,47,99,58.68,0.8,0.62,7.03,0.8,0.09,2.4,6.5,4.99,8.37,1.16,1.6,1.07,2.4,5.97,0.89,0.62,0.36,4.19,8.82
私立, 進修部,外語群,133,1,0,5,1,0,2,9,1,11,0,0,2,0,5,0,0,1,5,15,43.61,0.75,0,3.76,0.75,0,1.5,6.77,0.75,8.27,0,0,1.5,0,3.76,0,0,0.75,3.76,11.28
私立, 進修部,設計群,282,0,0,12,0,1,10,13,11,19,7,8,6,6,6,3,2,7,6,28,51.42,0,0,4.26,0,0.35,3.55,4.61,3.9,6.74,2.48,2.84,2.13,2.13,2.13,1.06,0.71,2.48,2.13,9.93
私立, 進修部,家政群,766,2,0,7,1,0,3,23,11,47,0,1,0,73,35,0,0,1,92,123,54.7,0.26,0,0.91,0.13,0,0.39,3,1.44,6.14,0,0.13,0,9.53,4.57,0,0,0.13,12.01,16.06
私立, 進修部,餐旅群,2529,38,4,162,7,1,79,163,106,493,17,20,19,30,80,44,9,22,106,206,63.5,1.5,0.16,6.41,0.28,0.04,3.12,6.45,4.19,19.49,0.67,0.79,0.75,1.19,3.16,1.74,0.36,0.87,4.19,8.15
私立, 進修部,藝術群,104,1,0,4,1,1,4,14,8,7,2,1,1,6,1,0,0,0,7,2,57.69,0.96,0,3.85,0.96,0.96,3.85,13.46,7.69,6.73,1.92,0.96,0.96,5.77,0.96,0,0,0,6.73,1.92
