設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,普通科,普通科,25395,11077,129,11455,114,1,0,0,0,39,341,446,305,25,94.24,43.62,0.51,45.11,0.45,0,0,0,0,0.15,1.34,1.76,1.2,0.1
國立,專業群科,機械群,3201,939,195,1193,209,17,5,5,5,1,7,51,1,1,82.13,29.33,6.09,37.27,6.53,0.53,0.16,0.16,0.16,0.03,0.22,1.59,0.03,0.03
國立,專業群科,動力機械群,996,153,67,271,61,20,4,0,0,0,8,18,0,0,60.44,15.36,6.73,27.21,6.12,2.01,0.4,0,0,0,0.8,1.81,0,0
國立,專業群科,電機與電子群,3672,1141,133,1520,147,40,1,1,0,0,6,48,0,0,82.71,31.07,3.62,41.39,4,1.09,0.03,0.03,0,0,0.16,1.31,0,0
國立,專業群科,化工群,836,425,20,296,7,2,0,1,0,0,1,12,0,0,91.39,50.84,2.39,35.41,0.84,0.24,0,0.12,0,0,0.12,1.44,0,0
國立,專業群科,土木與建築群,949,278,77,368,40,14,0,0,0,0,2,8,2,0,83.14,29.29,8.11,38.78,4.21,1.48,0,0,0,0,0.21,0.84,0.21,0
國立,專業群科,商業與管理群,5553,1826,252,2813,105,8,1,0,1,0,3,59,9,0,91.43,32.88,4.54,50.66,1.89,0.14,0.02,0,0.02,0,0.05,1.06,0.16,0
國立,專業群科,外語群,884,380,22,430,10,0,0,0,0,2,2,7,5,0,97.06,42.99,2.49,48.64,1.13,0,0,0,0,0.23,0.23,0.79,0.57,0
國立,專業群科,設計群,1065,207,7,729,18,1,0,0,0,0,3,5,2,0,91.27,19.44,0.66,68.45,1.69,0.09,0,0,0,0,0.28,0.47,0.19,0
國立,專業群科,農業群,1414,478,102,446,28,22,0,0,0,0,1,3,0,0,76.38,33.8,7.21,31.54,1.98,1.56,0,0,0,0,0.07,0.21,0,0
國立,專業群科,食品群,1097,288,73,460,18,0,3,0,0,0,0,14,0,1,78.12,26.25,6.65,41.93,1.64,0,0.27,0,0,0,0,1.28,0,0.09
國立,專業群科,家政群,1010,147,27,626,32,7,4,1,2,0,1,5,0,0,84.36,14.55,2.67,61.98,3.17,0.69,0.4,0.1,0.2,0,0.1,0.5,0,0
國立,專業群科,餐旅群,1139,286,44,563,34,7,0,1,1,0,1,3,0,0,82.53,25.11,3.86,49.43,2.99,0.61,0,0.09,0.09,0,0.09,0.26,0,0
國立,專業群科,水產群,211,110,6,21,1,1,1,0,0,0,0,3,0,0,67.77,52.13,2.84,9.95,0.47,0.47,0.47,0,0,0,0,1.42,0,0
國立,專業群科,海事群,252,91,18,29,0,0,0,0,0,0,0,11,0,0,59.13,36.11,7.14,11.51,0,0,0,0,0,0,0,4.37,0,0
國立,專業群科,藝術群,146,79,0,39,0,0,0,0,0,0,0,0,2,0,82.19,54.11,0,26.71,0,0,0,0,0,0,0,0,1.37,0
國立,專業群科,其他(綜合),607,2,0,110,5,2,0,0,0,0,0,0,0,0,19.6,0.33,0,18.12,0.82,0.33,0,0,0,0,0,0,0,0
國立,綜合高中,學術學程,3403,812,13,2206,24,1,0,0,1,4,47,60,30,0,93.98,23.86,0.38,64.83,0.71,0.03,0,0,0.03,0.12,1.38,1.76,0.88,0
國立,綜合高中,機械群,176,63,5,66,4,3,0,0,0,0,0,3,0,0,81.82,35.8,2.84,37.5,2.27,1.7,0,0,0,0,0,1.7,0,0
國立,綜合高中,動力機械群,7,0,0,2,0,0,0,0,0,0,0,0,0,0,28.57,0,0,28.57,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,電機與電子群,266,97,5,122,12,0,0,0,0,0,1,2,0,0,89.85,36.47,1.88,45.86,4.51,0,0,0,0,0,0.38,0.75,0,0
國立,綜合高中,化工群,52,24,0,15,3,0,0,0,0,0,0,0,0,0,80.77,46.15,0,28.85,5.77,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,123,54,9,52,3,1,0,0,0,0,0,0,0,0,96.75,43.9,7.32,42.28,2.44,0.81,0,0,0,0,0,0,0,0
國立,綜合高中,商業與管理群,724,169,13,425,15,0,0,0,0,0,0,11,1,0,87.57,23.34,1.8,58.7,2.07,0,0,0,0,0,0,1.52,0.14,0
國立,綜合高中,外語群,190,47,0,125,1,0,0,0,0,0,0,2,5,0,94.74,24.74,0,65.79,0.53,0,0,0,0,0,0,1.05,2.63,0
國立,綜合高中,設計群,191,15,5,140,11,0,0,0,0,0,0,1,0,0,90.05,7.85,2.62,73.3,5.76,0,0,0,0,0,0,0.52,0,0
國立,綜合高中,農業群,59,29,0,20,0,1,0,0,0,0,1,0,0,0,86.44,49.15,0,33.9,0,1.69,0,0,0,0,1.69,0,0,0
國立,綜合高中,食品群,163,38,19,77,10,0,0,0,0,0,0,1,0,0,88.96,23.31,11.66,47.24,6.13,0,0,0,0,0,0,0.61,0,0
國立,綜合高中,家政群,31,5,0,18,0,0,0,0,0,0,0,0,0,0,74.19,16.13,0,58.06,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,餐旅群,403,55,14,231,5,0,0,0,0,0,0,0,1,0,75.93,13.65,3.47,57.32,1.24,0,0,0,0,0,0,0,0.25,0
國立,綜合高中,水產群,32,17,0,8,0,0,0,0,0,0,0,0,0,0,78.13,53.13,0,25,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,海事群,17,4,0,8,0,0,0,0,0,0,0,0,0,0,70.59,23.53,0,47.06,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,藝術群,9,0,0,4,0,0,0,0,0,0,0,1,0,0,55.56,0,0,44.44,0,0,0,0,0,0,0,11.11,0,0
國立,綜合高中,其他(綜合),66,2,0,34,6,0,0,0,0,0,0,1,0,0,65.15,3.03,0,51.52,9.09,0,0,0,0,0,0,1.52,0,0
國立,實用技能學程,機械群,390,30,35,146,37,3,5,1,0,0,2,4,0,0,67.44,7.69,8.97,37.44,9.49,0.77,1.28,0.26,0,0,0.51,1.03,0,0
國立,實用技能學程,動力機械群,88,1,5,9,8,0,0,0,0,0,0,1,0,0,27.27,1.14,5.68,10.23,9.09,0,0,0,0,0,0,1.14,0,0
國立,實用技能學程,電機與電子群,375,17,36,120,52,3,0,0,0,0,0,3,0,0,61.6,4.53,9.6,32,13.87,0.8,0,0,0,0,0,0.8,0,0
國立,實用技能學程,土木與建築群,123,11,0,53,14,0,0,0,0,0,0,0,0,0,63.41,8.94,0,43.09,11.38,0,0,0,0,0,0,0,0,0
國立,實用技能學程,商業與管理群,425,14,17,190,19,1,7,0,1,0,0,2,0,0,59.06,3.29,4,44.71,4.47,0.24,1.65,0,0.24,0,0,0.47,0,0
國立,實用技能學程,設計群,132,2,12,68,10,0,0,0,0,0,0,0,0,0,69.7,1.52,9.09,51.52,7.58,0,0,0,0,0,0,0,0,0
國立,實用技能學程,農業群,143,17,15,47,2,9,1,1,0,0,0,0,0,0,64.34,11.89,10.49,32.87,1.4,6.29,0.7,0.7,0,0,0,0,0,0
國立,實用技能學程,食品群,193,2,8,71,25,0,0,0,0,0,0,1,0,0,55.44,1.04,4.15,36.79,12.95,0,0,0,0,0,0,0.52,0,0
國立,實用技能學程,餐旅群,370,16,4,167,35,5,0,0,0,0,0,3,1,0,62.43,4.32,1.08,45.14,9.46,1.35,0,0,0,0,0,0.81,0.27,0
國立,實用技能學程,水產群,40,15,6,5,5,0,0,0,0,0,0,0,0,0,77.5,37.5,15,12.5,12.5,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,56,9,5,6,7,0,0,0,0,0,0,1,0,0,50,16.07,8.93,10.71,12.5,0,0,0,0,0,0,1.79,0,0
國立,實用技能學程,美容造型群,162,11,1,36,2,0,0,1,0,0,0,3,0,21,46.3,6.79,0.62,22.22,1.23,0,0,0.62,0,0,0,1.85,0,12.96
國立,進修部,普通科,108,7,4,24,19,0,0,0,0,0,1,0,0,0,50.93,6.48,3.7,22.22,17.59,0,0,0,0,0,0.93,0,0,0
國立,進修部,機械群,422,8,11,71,58,3,8,0,2,0,0,0,0,11,40.76,1.9,2.61,16.82,13.74,0.71,1.9,0,0.47,0,0,0,0,2.61
國立,進修部,動力機械群,146,1,3,26,13,0,0,1,1,0,1,2,0,1,33.56,0.68,2.05,17.81,8.9,0,0,0.68,0.68,0,0.68,1.37,0,0.68
國立,進修部,電機與電子群,385,14,15,45,56,0,3,1,6,0,0,3,0,1,37.4,3.64,3.9,11.69,14.55,0,0.78,0.26,1.56,0,0,0.78,0,0.26
