設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
縣市立,專業群(職業)科,農業群,177,94,1,68,0,1,0,0,0,0,0,0,0,0,92.66,53.11,0.56,38.42,0,0.56,0,0,0,0,0,0,0,0
縣市立,專業群(職業)科,食品群,109,72,2,33,0,0,0,0,0,0,0,0,0,0,98.17,66.06,1.83,30.28,0,0,0,0,0,0,0,0,0,0
縣市立,專業群(職業)科,家政群,249,100,1,130,2,0,0,0,0,0,0,3,0,1,95.18,40.16,0.4,52.21,0.8,0,0,0,0,0,0,1.2,0,0.4
縣市立,專業群(職業)科,餐旅群,266,104,10,133,4,0,0,0,0,0,0,1,1,0,95.11,39.1,3.76,50,1.5,0,0,0,0,0,0,0.38,0.38,0
縣市立,專業群(職業)科,藝術群,63,13,0,48,0,0,0,0,0,0,0,0,0,0,96.83,20.63,0,76.19,0,0,0,0,0,0,0,0,0,0
縣市立,專業群(職業)科,綜合,390,1,0,36,1,0,0,0,0,0,0,0,0,0,9.74,0.26,0,9.23,0.26,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,學術群,2330,558,7,1646,5,1,0,0,0,0,17,10,3,0,96.44,23.95,0.3,70.64,0.21,0.04,0,0,0,0,0.73,0.43,0.13,0
綜合高中,綜合高中,機械群,43,19,0,22,0,0,0,0,0,0,0,0,0,0,95.35,44.19,0,51.16,0,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,電機與電子群,220,102,8,98,0,0,0,0,0,0,0,0,0,0,94.55,46.36,3.64,44.55,0,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,化工群,57,31,1,23,0,0,0,0,0,0,0,0,0,0,96.49,54.39,1.75,40.35,0,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,土木與建築群,136,72,1,51,0,3,0,0,0,0,0,0,0,0,93.38,52.94,0.74,37.5,0,2.21,0,0,0,0,0,0,0,0
綜合高中,綜合高中,商業與管理群,466,166,10,255,8,0,0,0,0,0,0,6,0,1,95.71,35.62,2.15,54.72,1.72,0,0,0,0,0,0,1.29,0,0.21
綜合高中,綜合高中,外語群,37,2,0,33,1,0,0,0,0,0,0,1,0,0,100,5.41,0,89.19,2.7,0,0,0,0,0,0,2.7,0,0
綜合高中,綜合高中,設計群,279,28,30,203,2,0,0,0,0,0,0,0,0,0,94.27,10.04,10.75,72.76,0.72,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,農業群,18,10,1,7,0,0,0,0,0,0,0,0,0,0,100,55.56,5.56,38.89,0,0,0,0,0,0,0,0,0,0
綜合高中,綜合高中,家政群,43,16,0,24,1,0,0,0,0,0,0,0,1,0,97.67,37.21,0,55.81,2.33,0,0,0,0,0,0,0,2.33,0
綜合高中,綜合高中,餐旅群,127,12,6,76,8,0,0,0,0,0,0,4,0,0,83.46,9.45,4.72,59.84,6.3,0,0,0,0,0,0,3.15,0,0
綜合高中,綜合高中,綜合,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,機械群,93,1,0,37,13,0,0,0,0,0,0,0,0,0,54.84,1.08,0,39.78,13.98,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,49,0,0,1,15,0,0,2,0,0,0,0,0,0,36.73,0,0,2.04,30.61,0,0,4.08,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,83,3,3,23,2,0,0,1,2,0,0,0,0,0,40.96,3.61,3.61,27.71,2.41,0,0,1.2,2.41,0,0,0,0,0
