設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
私立,專業群(職業)科,設計群,6564,207,60,4716,595,5,6,10,23,0,1,23,33,4,86.578305911,3.1535648995,0.9140767824,71.8464351005,9.0645947593,0.0761730652,0.0914076782,0.1523461304,0.3503960999,0,0.015234613,0.3503960999,0.5027422303,0.0609384522
私立,專業群(職業)科,食品群,81,0,0,14,25,0,0,0,0,0,0,0,0,1,49.3827160494,0,0,17.2839506173,30.8641975309,0,0,0,0,0,0,0,0,1.2345679012
私立,專業群(職業)科,家政群,6631,214,86,3226,626,34,25,51,79,2,1,14,10,9,66.0081435681,3.2272658724,1.2969386216,48.6502789926,9.4405067109,0.512743176,0.3770170412,0.769114764,1.1913738501,0.0301613633,0.0150806816,0.2111295431,0.1508068165,0.1357261348
私立,專業群(職業)科,餐旅群,20299,457,411,10131,2206,93,51,101,144,1,4,86,45,54,67.9048228977,2.2513424307,2.0247302823,49.9088625055,10.8675304202,0.4581506478,0.2512439036,0.4975614562,0.7093945515,0.0049263511,0.0197054042,0.4236661905,0.2216857973,0.2660229568
私立,專業群(職業)科,海事群,47,3,0,23,0,0,0,0,0,0,0,0,0,0,55.3191489362,6.3829787234,0,48.9361702128,0,0,0,0,0,0,0,0,0,0
私立,專業群(職業)科,藝術群,2510,139,46,1424,217,52,4,8,6,0,1,5,21,9,76.9721115538,5.5378486056,1.8326693227,56.7330677291,8.6454183267,2.0717131474,0.1593625498,0.3187250996,0.2390438247,0,0.0398406375,0.1992031873,0.8366533865,0.3585657371
私立,專業群(職業)科,綜合,408,2,2,31,5,0,0,0,0,0,0,2,0,1,10.5392156863,0.4901960784,0.4901960784,7.5980392157,1.2254901961,0,0,0,0,0,0,0.4901960784,0,0.2450980392
私立,綜合高中,,1990,335,10,1432,67,0,0,0,0,1,4,15,33,0,95.3266331658,16.8341708543,0.5025125628,71.959798995,3.3668341709,0,0,0,0,0.0502512563,0.2010050251,0.7537688442,1.6582914573,0
私立,綜合高中,機械群,44,0,0,18,17,0,0,0,0,0,0,0,0,0,79.5454545455,0,0,40.9090909091,38.6363636364,0,0,0,0,0,0,0,0,0
私立,綜合高中,動力機械群,109,1,0,42,18,0,0,0,0,0,0,2,0,0,57.7981651376,0.9174311927,0,38.5321100917,16.5137614679,0,0,0,0,0,0,1.8348623853,0,0
私立,綜合高中,電機與電子群,1065,134,12,704,58,0,1,3,0,0,1,17,1,3,87.6995305164,12.5821596244,1.1267605634,66.103286385,5.4460093897,0,0.0938967136,0.2816901408,0,0,0.0938967136,1.5962441315,0.0938967136,0.2816901408
私立,綜合高中,化工群,179,32,0,146,0,0,0,0,0,0,0,1,0,0,100,17.8770949721,0,81.5642458101,0,0,0,0,0,0,0,0.5586592179,0,0
私立,綜合高中,商業與管理群,2173,179,60,1657,79,7,3,1,0,0,0,23,7,0,92.7749654855,8.2374597331,2.7611596871,76.2540266912,3.6355269213,0.3221352968,0.1380579844,0.0460193281,0,0,0,1.0584445467,0.3221352968,0
私立,綜合高中,外語群,1331,97,4,1079,48,0,0,0,2,0,0,7,28,0,95.041322314,7.2877535687,0.3005259204,81.0668670173,3.6063110443,0,0,0,0.1502629602,0,0,0.5259203606,2.1036814425,0
私立,綜合高中,設計群,718,72,0,611,12,0,0,0,0,0,0,1,4,0,97.4930362117,10.0278551532,0,85.0974930362,1.6713091922,0,0,0,0,0,0,0.139275766,0.5571030641,0
私立,綜合高中,家政群,658,13,0,519,18,1,0,0,1,0,0,1,1,0,84.1945288754,1.9756838906,0,78.8753799392,2.73556231,0.1519756839,0,0,0.1519756839,0,0,0.1519756839,0.1519756839,0
私立,綜合高中,餐旅群,1562,139,22,1050,82,1,0,3,0,0,0,22,4,2,84.8271446863,8.8988476312,1.4084507042,67.2215108835,5.2496798976,0.0640204866,0,0.1920614597,0,0,0,1.4084507042,0.2560819462,0.1280409731
私立,綜合高中,藝術群,24,0,0,7,2,0,0,0,0,0,0,1,0,0,41.6666666667,0,0,29.1666666667,8.3333333333,0,0,0,0,0,0,4.1666666667,0,0
私立,綜合高中,綜合,291,34,2,190,13,0,0,0,0,0,0,2,0,0,82.8178694158,11.6838487973,0.6872852234,65.2920962199,4.4673539519,0,0,0,0,0,0,0.6872852234,0,0
私立,實用技能學程,機械群,53,0,0,5,8,0,0,0,2,0,0,5,0,0,37.7358490566,0,0,9.4339622642,15.0943396226,0,0,0,3.7735849057,0,0,9.4339622642,0,0
私立,實用技能學程,動力機械群,1141,4,5,163,134,1,0,13,3,0,0,6,0,0,28.8343558282,0.3505696757,0.4382120947,14.2857142857,11.7440841367,0.0876424189,0,1.1393514461,0.2629272568,0,0,0.5258545136,0,0
私立,實用技能學程,電機與電子群,567,5,4,220,105,0,0,0,3,12,1,11,1,0,63.8447971781,0.8818342152,0.7054673721,38.8007054674,18.5185185185,0,0,0,0.5291005291,2.1164021164,0.176366843,1.9400352734,0.176366843,0
私立,實用技能學程,商業與管理群,1133,15,11,410,160,18,12,0,6,0,1,13,0,1,57.1050308914,1.3239187996,0.9708737864,36.187113857,14.1218005296,1.5887025596,1.0591350397,0,0.5295675199,0,0.0882612533,1.147396293,0,0.0882612533
私立,實用技能學程,設計群,56,2,0,41,0,0,0,1,0,0,0,0,0,0,78.5714285714,3.5714285714,0,73.2142857143,0,0,0,1.7857142857,0,0,0,0,0,0
私立,實用技能學程,食品群,286,3,0,104,41,0,0,0,0,0,0,2,0,3,53.4965034965,1.048951049,0,36.3636363636,14.3356643357,0,0,0,0,0,0,0.6993006993,0,1.048951049
私立,實用技能學程,餐旅群,3791,13,9,1158,459,9,8,21,87,1,3,20,8,10,47.6391453442,0.342917436,0.2374043788,30.5460300712,12.1076233184,0.2374043788,0.2110261145,0.5539435505,2.294908995,0.0263782643,0.0791347929,0.5275652862,0.2110261145,0.2637826431
私立,實用技能學程,美容造型群,1460,20,36,369,180,6,4,32,42,0,0,1,1,3,47.5342465753,1.3698630137,2.4657534247,25.2739726027,12.3287671233,0.4109589041,0.2739726027,2.1917808219,2.8767123288,0,0,0.0684931507,0.0684931507,0.2054794521
私立,進修部(學校),,269,19,2,63,12,0,0,0,0,0,0,0,0,0,35.687732342,7.063197026,0.7434944238,23.4200743494,4.4609665428,0,0,0,0,0,0,0,0,0
私立,進修部(學校),機械群,177,0,1,7,43,0,1,0,3,0,0,0,0,2,32.2033898305,0,0.5649717514,3.9548022599,24.2937853107,0,0.5649717514,0,1.6949152542,0,0,0,0,1.1299435028
私立,進修部(學校),動力機械群,760,4,2,11,71,0,0,0,16,0,0,0,0,0,13.6842105263,0.5263157895,0.2631578947,1.4473684211,9.3421052632,0,0,0,2.1052631579,0,0,0,0,0
私立,進修部(學校),電機與電子群,1101,0,4,76,164,1,1,0,15,0,0,2,0,2,24.0690281562,0,0.3633060854,6.9028156222,14.8955495005,0.0908265213,0.0908265213,0,1.3623978202,0,0,0.1816530427,0,0.1816530427
私立,進修部(學校),商業與管理群,2787,10,24,202,365,0,19,9,57,0,2,3,2,8,25.1524937208,0.3588087549,0.8611410118,7.2479368497,13.0965195551,0,0.6817366344,0.3229278794,2.0452099031,0,0.071761751,0.1076426265,0.071761751,0.2870470039
私立,進修部(學校),外語群,436,5,15,59,89,5,3,0,8,0,0,1,3,1,43.3486238532,1.1467889908,3.4403669725,13.5321100917,20.4128440367,1.1467889908,0.6880733945,0,1.8348623853,0,0,0.2293577982,0.6880733945,0.2293577982
私立,進修部(學校),設計群,572,0,7,87,101,0,3,4,32,0,0,0,1,0,41.0839160839,0,1.2237762238,15.2097902098,17.6573426573,0,0.5244755245,0.6993006993,5.5944055944,0,0,0,0.1748251748,0
私立,進修部(學校),家政群,1630,16,10,91,132,8,9,2,18,0,0,1,0,4,17.8527607362,0.981595092,0.6134969325,5.5828220859,8.0981595092,0.490797546,0.5521472393,0.1226993865,1.1042944785,0,0,0.0613496933,0,0.245398773
私立,進修部(學校),餐旅群,4665,3,20,196,537,1,0,48,210,1,0,10,11,7,22.3794212219,0.0643086817,0.4287245445,4.2015005359,11.5112540193,0.0214362272,0,1.0289389068,4.501607717,0.0214362272,0,0.2143622722,0.2357984995,0.1500535906
私立,進修部(學校),藝術群,195,0,2,19,31,0,0,1,1,0,0,0,1,0,28.2051282051,0,1.0256410256,9.7435897436,15.8974358974,0,0,0.5128205128,0.5128205128,0,0,0,0.5128205128,0
