設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
縣市立, 專業群科,食品群,127,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 專業群科,家政群,412,0,0,0,3,2,0,0,0.00,0.00,0.00,0.73,0.49,0.00,0.00
縣市立, 專業群科,餐旅群,240,0,1,0,1,0,0,2,0.00,0.42,0.00,0.42,0.00,0.00,0.83
縣市立, 專業群科,藝術群,116,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 專業群科,服務群,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 專業群科,綜合,472,20,2,78,15,26,0,36,4.24,0.42,16.53,3.18,5.51,0.00,7.63
縣市立, 綜合高中,學術學程,1868,3,2,3,16,0,0,1,0.16,0.11,0.16,0.86,0.00,0.00,0.05
縣市立, 綜合高中,機械群,18,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,電機與電子群,118,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,化工群,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,土木與建築群,47,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,商業群,124,0,0,1,2,0,0,0,0.00,0.00,0.81,1.61,0.00,0.00,0.00
縣市立, 綜合高中,外語群,11,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,設計群,117,0,0,0,1,0,0,0,0.00,0.00,0.00,0.85,0.00,0.00,0.00
縣市立, 綜合高中,農業群,13,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,餐旅群,99,0,4,5,0,0,0,0,0.00,4.04,5.05,0.00,0.00,0.00,0.00
縣市立, 綜合高中,藝術群,4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 綜合高中,綜合,3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 實用技能學程,機械群,106,0,5,1,1,1,0,0,0.00,4.72,0.94,0.94,0.94,0.00,0.00
縣市立, 實用技能學程,動力機械群,36,0,6,0,0,0,1,1,0.00,16.67,0.00,0.00,0.00,2.78,2.78
縣市立, 實用技能學程,電機與電子群,91,1,2,0,1,0,0,0,1.10,2.20,0.00,1.10,0.00,0.00,0.00
縣市立, 實用技能學程,土木與建築群,7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 實用技能學程,商業群,31,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 實用技能學程,設計群,21,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 實用技能學程,食品群,17,0,0,1,2,0,0,0,0.00,0.00,5.88,11.76,0.00,0.00,0.00
縣市立, 實用技能學程,餐旅群,66,0,0,1,0,1,0,0,0.00,0.00,1.52,0.00,1.52,0.00,0.00
縣市立, 進修部,普通科,292,1,1,4,1,3,0,95,0.34,0.34,1.37,0.34,1.03,0.00,32.53
縣市立, 進修部,機械群,196,1,14,4,2,1,0,0,0.51,7.14,2.04,1.02,0.51,0.00,0.00
縣市立, 進修部,動力機械群,131,0,15,0,0,1,0,0,0.00,11.45,0.00,0.00,0.76,0.00,0.00
縣市立, 進修部,電機與電子群,203,2,10,15,1,0,0,10,0.99,4.93,7.39,0.49,0.00,0.00,4.93
縣市立, 進修部,化工群,21,0,0,3,0,0,0,0,0.00,0.00,14.29,0.00,0.00,0.00,0.00
縣市立, 進修部,土木與建築群,39,0,1,0,0,0,0,0,0.00,2.56,0.00,0.00,0.00,0.00,0.00
縣市立, 進修部,商業與管理群,266,0,4,8,1,2,0,1,0.00,1.50,3.01,0.38,0.75,0.00,0.38
縣市立, 進修部,外語群,22,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 進修部,設計群,54,2,2,3,0,0,1,2,3.70,3.70,5.56,0.00,0.00,1.85,3.70
縣市立, 進修部,食品群,30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,6.67
縣市立, 進修部,家政群,7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
縣市立, 進修部,餐旅群,26,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
私立, 普通科,普通科,22119,7,32,10,354,10,23,5,0.03,0.14,0.05,1.60,0.05,0.10,0.02
私立, 專業群科,機械群,1312,2,12,28,6,2,1,6,0.15,0.91,2.13,0.46,0.15,0.08,0.46
私立, 專業群科,動力機械群,3020,14,78,125,13,2,0,9,0.46,2.58,4.14,0.43,0.07,0.00,0.30
私立, 專業群科,電機與電子群,5356,13,109,104,30,12,2,48,0.24,2.04,1.94,0.56,0.22,0.04,0.90
私立, 專業群科,土木與建築群,102,0,1,1,0,0,0,0,0.00,0.98,0.98,0.00,0.00,0.00,0.00
私立, 專業群科,商業與管理群,5425,13,75,102,12,10,14,15,0.24,1.38,1.88,0.22,0.18,0.26,0.28
私立, 專業群科,外語群,3737,4,8,29,17,5,6,8,0.11,0.21,0.78,0.45,0.13,0.16,0.21
私立, 專業群科,設計群,4090,7,43,68,21,9,8,16,0.17,1.05,1.66,0.51,0.22,0.20,0.39
私立, 專業群科,農業群,60,0,5,0,2,1,0,0,0.00,8.33,0.00,3.33,1.67,0.00,0.00
私立, 專業群科,食品群,103,0,4,16,0,0,0,0,0.00,3.88,15.53,0.00,0.00,0.00,0.00
私立, 專業群科,家政群,3947,12,11,189,8,20,3,18,0.30,0.28,4.79,0.20,0.51,0.08,0.46
私立, 專業群科,餐旅群,10698,22,165,467,33,21,20,75,0.21,1.54,4.37,0.31,0.20,0.19,0.70
私立, 專業群科,海事群,22,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
私立, 專業群科,藝術群,2245,6,12,78,20,2,2,22,0.27,0.53,3.47,0.89,0.09,0.09,0.98
私立, 專業群科,服務群,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
私立, 專業群科,綜合,320,18,0,84,6,10,0,13,5.63,0.00,26.25,1.88,3.13,0.00,4.06
私立, 綜合高中,學術學程,904,0,0,0,9,0,3,0,0.00,0.00,0.00,1.00,0.00,0.33,0.00
私立, 綜合高中,電機與電子群,222,0,2,1,1,1,1,0,0.00,0.90,0.45,0.45,0.45,0.45,0.00
私立, 綜合高中,化工群,153,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
私立, 綜合高中,商業群,382,2,5,1,2,0,0,6,0.52,1.31,0.26,0.52,0.00,0.00,1.57
私立, 綜合高中,外語群,270,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00,0.37,0.00,0.37
私立, 綜合高中,設計群,99,1,1,0,0,0,0,0,1.01,1.01,0.00,0.00,0.00,0.00,0.00
私立, 綜合高中,家政群,171,2,4,2,0,0,0,0,1.17,2.34,1.17,0.00,0.00,0.00,0.00
私立, 綜合高中,餐旅群,421,1,18,5,3,2,1,0,0.24,4.28,1.19,0.71,0.48,0.24,0.00
私立, 綜合高中,綜合,20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
私立, 實用技能學程,機械群,79,1,1,3,0,1,0,0,1.27,1.27,3.80,0.00,1.27,0.00,0.00
私立, 實用技能學程,動力機械群,926,2,38,60,1,1,0,16,0.22,4.10,6.48,0.11,0.11,0.00,1.73
私立, 實用技能學程,電機與電子群,628,5,19,12,1,0,0,8,0.80,3.03,1.91,0.16,0.00,0.00,1.27
私立, 實用技能學程,商業群,383,4,4,23,2,0,3,0,1.04,1.04,6.01,0.52,0.00,0.78,0.00
私立, 實用技能學程,農業群,68,0,1,7,0,0,0,3,0.00,1.47,10.29,0.00,0.00,0.00,4.41
私立, 實用技能學程,食品群,236,2,5,4,1,3,0,2,0.85,2.12,1.69,0.42,1.27,0.00,0.85
私立, 實用技能學程,餐旅群,2474,24,35,215,4,7,1,33,0.97,1.41,8.69,0.16,0.28,0.04,1.33
私立, 實用技能學程,藝術群,110,0,1,7,1,0,0,2,0.00,0.91,6.36,0.91,0.00,0.00,1.82
私立, 實用技能學程,美容造型群,727,7,1,64,1,2,0,0,0.96,0.14,8.80,0.14,0.28,0.00,0.00
私立, 進修部,普通科,127,0,1,0,0,0,0,45,0.00,0.79,0.00,0.00,0.00,0.00,35.43
私立, 進修部,機械群,59,0,3,2,0,0,0,0,0.00,5.08,3.39,0.00,0.00,0.00,0.00
私立, 進修部,動力機械群,350,0,17,18,0,2,0,2,0.00,4.86,5.14,0.00,0.57,0.00,0.57
私立, 進修部,電機與電子群,190,4,3,13,2,2,1,2,2.11,1.58,6.84,1.05,1.05,0.53,1.05
私立, 進修部,商業與管理群,1123,9,19,76,9,11,2,36,0.80,1.69,6.77,0.80,0.98,0.18,3.21
私立, 進修部,外語群,133,0,3,3,1,0,2,3,0.00,2.26,2.26,0.75,0.00,1.50,2.26
私立, 進修部,設計群,282,8,6,7,4,2,0,6,2.84,2.13,2.48,1.42,0.71,0.00,2.13
私立, 進修部,家政群,766,5,1,33,6,11,0,19,0.65,0.13,4.31,0.78,1.44,0.00,2.48
私立, 進修部,餐旅群,2529,40,60,131,14,16,3,23,1.58,2.37,5.18,0.55,0.63,0.12,0.91
私立, 進修部,藝術群,104,0,4,14,0,2,0,3,0.00,3.85,13.46,0.00,1.92,0.00,2.88
