設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,普通科,普通科,23214,11311,134,10253,81,0,0,1,0,20,147,402,139,5,96.89,48.72,0.58,44.17,0.35,0,0,0,0,0.09,0.63,1.73,0.6,0.02
國立, 專業群科,機械群,2983,1146,234,995,130,14,0,2,3,0,0,32,0,1,85.72,38.42,7.84,33.36,4.36,0.47,0,0.07,0.1,0,0,1.07,0,0.03
國立, 專業群科,動力機械群,908,268,39,255,20,12,0,0,0,0,1,13,1,2,67.29,29.52,4.3,28.08,2.2,1.32,0,0,0,0,0.11,1.43,0.11,0.22
國立, 專業群科,電機與電子群,3429,1489,142,1210,69,25,0,2,2,0,2,31,0,0,86.67,43.42,4.14,35.29,2.01,0.73,0,0.06,0.06,0,0.06,0.9,0,0
國立, 專業群科,化工群,712,447,15,197,8,0,0,2,0,0,0,8,0,0,95.08,62.78,2.11,27.67,1.12,0,0,0.28,0,0,0,1.12,0,0
國立, 專業群科,土木與建築群,819,282,23,370,20,13,0,0,0,0,0,4,0,0,86.94,34.43,2.81,45.18,2.44,1.59,0,0,0,0,0,0.49,0,0
國立, 專業群科,商業與管理群,4972,2002,168,2332,51,7,3,0,5,0,0,32,2,0,92.56,40.27,3.38,46.9,1.03,0.14,0.06,0,0.1,0,0,0.64,0.04,0
國立, 專業群科,外語群,850,409,9,373,15,0,0,0,2,0,0,12,1,0,96.59,48.12,1.06,43.88,1.76,0,0,0,0.24,0,0,1.41,0.12,0
國立, 專業群科,設計群,1083,272,15,681,18,3,1,1,0,0,0,10,0,1,92.52,25.12,1.39,62.88,1.66,0.28,0.09,0.09,0,0,0,0.92,0,0.09
國立, 專業群科,農業群,1175,564,67,276,19,7,0,1,0,0,0,6,0,0,80,48,5.7,23.49,1.62,0.6,0,0.09,0,0,0,0.51,0,0
國立, 專業群科,食品群,952,277,57,401,19,0,0,0,0,0,0,10,0,0,80.25,29.1,5.99,42.12,2,0,0,0,0,0,0,1.05,0,0
國立, 專業群科,家政群,906,170,38,526,24,10,1,3,1,0,0,2,0,0,85.54,18.76,4.19,58.06,2.65,1.1,0.11,0.33,0.11,0,0,0.22,0,0
國立, 專業群科,餐旅群,1093,313,33,507,22,7,7,1,0,1,1,10,0,1,82.62,28.64,3.02,46.39,2.01,0.64,0.64,0.09,0,0.09,0.09,0.91,0,0.09
國立, 專業群科,水產群,149,81,7,17,2,0,0,2,0,0,0,0,0,0,73.15,54.36,4.7,11.41,1.34,0,0,1.34,0,0,0,0,0,0
國立, 專業群科,海事群,249,80,2,43,4,3,1,0,3,0,0,6,0,0,57.03,32.13,0.8,17.27,1.61,1.2,0.4,0,1.2,0,0,2.41,0,0
國立, 專業群科,藝術群,131,79,0,30,1,0,0,0,0,0,0,1,0,1,85.5,60.31,0,22.9,0.76,0,0,0,0,0,0,0.76,0,0.76
國立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立, 專業群科,綜合,567,0,0,70,11,0,0,1,0,0,0,0,0,0,14.46,0,0,12.35,1.94,0,0,0.18,0,0,0,0,0,0
國立, 綜合高中,學術學程,2912,787,39,1828,50,1,0,0,0,3,14,70,15,2,96.46,27.03,1.34,62.77,1.72,0.03,0,0,0,0.1,0.48,2.4,0.52,0.07
國立, 綜合高中,機械群,93,54,1,30,2,0,0,0,0,0,0,0,0,0,93.55,58.06,1.08,32.26,2.15,0,0,0,0,0,0,0,0,0
國立, 綜合高中,動力機械群,8,0,2,5,0,0,0,0,0,0,0,0,0,0,87.5,0,25,62.5,0,0,0,0,0,0,0,0,0,0
